Identifier,Index,Chemical Name,Structure File,Coord Atoms,Freq,rmsd
WIPWAT,1,"(2',3'-Dideoxy-β-D-glycero-pent-2'-enopyranosyl)-N-isobutyrylguanosine hemihydrate",WIPWAT.mol,"[29, 20]",1,0.3713395
HIFZUR,1,"1,5-Diphenylbiuret phenyl carbamidonitrile",HIFZUR.mol,"[8, 11]",1,0.371466075
MAVMIF,1,"(9R,16R:9S,16S)-9,16-Dimethyl-8-aza-D-homogona-12,17a-dione",MAVMIF.mol,"[20, 21]",1,0.372562393
BERMUI,1,"Ethyl 2-(4-cyano-5-oxo-3-phenyl-1,5-dihydro-2H-pyrrol-2-ylidene)-3-oxo-3-phenylpropanoate",BERMUI.mol,"[38, 41]",1,0.37326002
DEFFID,1,"8-Benzyl-4-thia-1,8-diazabicyclo(4.3.0)nonane-2,7,9-trione",DEFFID.mol,"[13, 15]",1,0.373639293
ROHPUB,1,"11-Methoxy-6H,7H-chromeno[4,3-b]chromene-6,7-dione",ROHPUB.mol,"[28, 29]",1,0.373846321
HEYJAX,1,"5,7-diamino-1-heptylpyrimido[4,5-d]pyrimidin-6-ium-2,4(1H,3H)-dione formate formic acid solvate",HEYJAX.mol,"[35, 33]",1,0.373936959
BEKQEQ,1,"N'-[3,5,6-trifluoro-4-(phenylsulfonyl)pyridin-2-yl]benzenecarboximidamide",BEKQEQ.mol,"[18, 20]",1,0.374142855
DULKUR,1,"Dimethylammonium 6-cyano-1,3-dimethyl-2,4,5-trioxo-1,3,4,5-tetrahydro-2H-pyrido[2,3-d]pyrimidin-8-ide",DULKUR.mol,"[21, 20]",1,0.374335352
VEWMOA,1,(2E)-1-Ethyl 8-methyl 7-(2-(benzyloxycarbonyl)hydrazono)oct-2-enedioate,VEWMOA.mol,"[7, 3]",1,0.374534031
IMEDUZ,1,"2-((1-amino-2,2-dimethylpropylidene)aminio)pyridin-3-olate",IMEDUZ.mol,"[1, 13]",1,0.374630011
SIVYUR,1,"1-Ethyl-6-methyl-7-phenyl-3H-pyrrolo(1,2-c)imidazole-3,5(2H)-dione",SIVYUR.mol,"[15, 16]",1,0.379415295
RABQUC,1,"8a-Methoxy-1,7-dimethyl-dihydro-imidazo(1,5-a)-1,3,5-triazine-2,4,6,8-tetraone",RABQUC.mol,"[14, 15]",1,0.37966754
DUBHOZ,1,"7-(Diethylamino)-N-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)-2-oxo-2H-chromene-3-carboxamide",DUBHOZ.mol,"[46, 47]",1,0.380690618
VUWYER,1,"N,N'-Diacetyl-imidazolidinetrione",VUWYER.mol,"[5, 16]",1,0.381230105
QEBFOS,1,bis(Dimethylammonium) ortho-dicarbadodecaborane-dithiolate acetonitrile solvate,QEBFOS.mol,"[0, 1]",1,0.381734454
PERGOL,1,"diethyl 2,2'-(3,5-dioxo-1-phenylimidazo[1,5-c]quinazoline-2,6(3H,5H)-diyl)diacetate benzene solvate",PERGOL.mol,"[1, 53]",1,0.382163396
LISZES,1,Guanidiniocarbonyl-1H-pyrrole acetate monohydrate,LISZES.mol,"[10, 9]",1,0.384018689
DIVFOD,1,"(6R)-1'-O,2'-O,3'-O,2-N,5-Penta-acetyl-5,6,7,8-tetrahydro-L-neopterin dihydrate",DIVFOD.mol,"[13, 3]",1,0.385606602
XAQYOF,1,2-Carbamoylguanidinium hydrogen fluorophosphonate,XAQYOF.mol,"[4, 8]",1,0.385631581
MEDRIY,1,"8-Isopropyl-5a,7a-dimethyl-2,3,10-trioxo-3,4,5,5a,6,7,7a,8,9,10-decahydro-2H-1-oxabenzo[cd]cyclopenta[h]azulen-9-yl acetate",MEDRIY.mol,"[27, 26]",1,0.386544329
VECKEU,1,"Morpholinium 1,1,1,5,5,5-hexafluoro-2,4-pentanedionate",VECKEU.mol,"[12, 13]",1,0.387140534
ICESIU,1,"(Z,Z)-((6-Benzylidene-3-((5-t-butyl-1H-imidazol-4-yl)methylene)-5-oxo-3,4,5,6-tetrahydropyrazin-2-yl)oxy)methyl hex-5-ynoate",ICESIU.mol,"[55, 0]",1,0.387551195
WOKPAO,1,"8,9-dimethoxy-1,2-dimethyl-3H,5H-dipyrrolo[1,2-c:2',1'-f]pyrimidine-3,5-dione",WOKPAO.mol,"[29, 30]",1,0.38781328
PONTOB,1,"6-Carbamoyl-2,2-dimethyl-9-(2,4-dimethoxyphenyl)-1,2-dihydropurine",PONTOB.mol,"[6, 13]",1,0.387873996
DAGNEG,1,"Ethyl 5-hydroxy-3-oxo-5,5-diphenylpentanoate",DAGNEG.mol,"[21, 22]",1,0.388082662
BIURSR,1,tetrakis(Biuret) strontium(ii) perchlorate,BIURSR.mol,"[5, 6]",1,0.388135903
LAQSIG,1,Methyl N-acetyloxalamate,LAQSIG.mol,"[15, 16]",1,0.39007276
GUVZON,1,8-Methoxy-2-oxo-2H-chromene-3-carboxylic acid,GUVZON.mol,"[19, 20]",1,0.390155688
YAXFAG,1,Amino(carbamoylamino)methaniminium tetrafluoroborate,YAXFAG.mol,"[4, 8]",1,0.390376512
ZORDIT,1,(N-Benzoyl)-(N'-benzoylpropen-2-yl)hydrazone,ZORDIT.mol,"[36, 31]",1,0.391348156
IYIYAR,1,"3-((2,4-Dinitrophenyl)amino)-2-oxopyrrolidine-1-carboxamide methanol solvate",IYIYAR.mol,"[25, 20]",1,0.392810178
GEKROG,1,"2,6-bis(2-hydroxyethyl)-1-phenyl-2,6-dihydroimidazo[1,5-c]quinazoline-3,5-dione",GEKROG.mol,"[43, 44]",1,0.393035475
IMEDOT,1,N'-(3-Hydroxypyridine-2-yl)pyridine-3-carboximidamide,IMEDOT.mol,"[16, 11]",1,0.39304149
OXUJEY,1,"3-(5-(pyridin-4-yl)-1,3,4-oxadiazol-2-yl)-4H-chromen-4-one",OXUJEY.mol,"[1, 20]",1,0.39399491
HEYHUP,1,"5-(4,6-diamino-1,3,5-triazin-2-yl)-1-butylpyrimidine-2,4(1H,3H)-dione",HEYHUP.mol,"[18, 1]",1,0.394147822
YIMXIE,1,"3-(4-amino-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-5(4H)-one monohydrate",YIMXIE.mol,"[4, 9]",1,0.394169201
DUBHAM,1,"4-amino-1,10a-dimethyl-2-phenyl-10a,11-dihydro-10H-indeno[1,2-b]quinoline-3-carbonitrile",DUBHAM.mol,"[46, 47]",1,0.394987836
TAGVIG,1,"Ammonium (1,2,3,4-tetrahydro)-2,4-dioxo-5-pyrimidinecarboxylate monohydrate",TAGVIG.mol,"[8, 10]",1,0.39501819
GAMMOX,1,8-amino-1-iminonaphthalen-2(1H)-one,GAMMOX.mol,"[18, 15]",1,0.395119645
AQINAP,1,"3-t-butyl 1,2-dimethyl pyrrolo[1,2-b]cinnoline-1,2,3-tricarboxylate hydrate",AQINAP.mol,"[1, 7]",1,0.395320528
PBEGAN,1,"Sodium 1-phenylbutane-1,3-dionate ethylene glycol",PBEGAN.mol,"[19, 20]",1,0.395370676
ARAJUY,1,"2-((Pyrid-2-yl)imino)-tetrahydro-1,3-thiazine",ARAJUY.mol,"[5, 2]",1,0.395543965
DACNAP,1,bis(Diacetamide) sodium perchlorate,DACNAP.mol,"[12, 13]",1,0.397203376
TIJWEQ,1,"Methyl 6-(4-hydroxy-6-methoxy-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enoate",TIJWEQ.mol,"[13, 2]",1,0.397524967
ZAHNOO,1,"2-oxo-1,2,5,6,7,8,9,10-octahydrocycloocta[b]pyridine-3-carboxamide",ZAHNOO.mol,"[3, 6]",1,0.398814752
JUGXIU,1,"2-(5-(2-Furyl)-1,3,4-oxadiazol-2-yl)aniline",JUGXIU.mol,"[21, 23]",1,0.399153234
BADRAC,1,"5,5'-Dinitro-2H,2'H-3,3'-bi-1,2,4-triazole-2,2'-diamine",BADRAC.mol,"[9, 10]",1,0.400127862
PAPREE,1,"Ethyl 1-(2,6-dimethylphenyl)-2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",PAPREE.mol,"[34, 35]",1,0.400544532
LIZKAI,1,"Dimethyl 3-acetamido-1-acetyl-6-hydroxy-2-oxo-2,7-dihydro-1H-azepine-4,5-dicarboxylate",LIZKAI.mol,"[29, 33]",1,0.401215449
EGUQIG,1,"(3S,5R)-3-((1R)-Hydroxy(4-nitrophenyl)methyl)-1-azabicyclo(3.2.0)heptan-2-one",EGUQIG.mol,"[2, 18]",1,0.401306869
OXTETK,1,Di-potassium oxytetracycline dihydrate methanol solvate,OXTETK.mol,"[1, 4]",1,0.401991793
PICYEH,1,"6,6-bis(hydroxymethyl)-2-p-tolyl-7,8-dihydroquinolin-5(6H)-one",PICYEH.mol,"[36, 39]",1,0.402248741
KORROB,1,"N3,N6-bis(1H-tetrazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine dimethyl sulfoxide solvate",KORROB.mol,"[9, 2]",1,0.402420978
EPEHOX,1,Bis(2-amino-3-carboxypyridinium) sulfate trihydrate,EPEHOX.mol,"[16, 9]",1,0.402508406
YAGNAW,1,"Pyrimido(5,4-c)quinoline-4,5(3H,6H)-dione methanoic acid solvate",YAGNAW.mol,"[5, 9]",1,0.403321087
HEXBEU,1,"2-[5-(pyridin-2-yl)-1,3,4-oxadiazol-2-yl]phenol",HEXBEU.mol,"[10, 20]",1,0.404474312
QULZAY,1,3-Amino-1-((ethoxycarbonylmethyl)thiocarbamoyl)-1H-pyrazole-4-carboxylic acid ethyl ester,QULZAY.mol,"[32, 26]",1,0.40454845
XIDQEH,1,"3,6-diguanidino-1,2,4,5-tetrazine bis(2,4,5-trinitroimidazolate)",XIDQEH.mol,"[5, 10]",1,0.40557163
JOJLEB,1,ethyl 1-amino-4-phenyl-2-naphthoate,JOJLEB.mol,"[37, 34]",1,0.405880084
FELLAK,1,"Methyl 8-ethyl-1,3,7-trimethylpyrrolo(3,2-f)indolizine-4,6-dione-2-carboxylate dimethylsulfoxide solvate",FELLAK.mol,"[37, 38]",1,0.406501438
PPDSRA,1,"bis(1,3-Diphenyl-1,3-propanedionate) strontium hemiacetonate",PPDSRA.mol,"[15, 16]",1,0.406766259
JEGVOG,1,Cerpegin,JEGVOG.mol,"[10, 2]",1,0.406849756
QADNAN,1,"1-(2,2-Dimethyl-1,3-dioxolan-4-yl)-2-(1-trityl-1H-imidazol-2-yl)ethanol hemihydrate",QADNAN.mol,"[5, 0]",1,0.40763792
PEMXEL,1,"2,4-Diamino-10-methyl-9-methoxypyrimido(4,5-b)-5-quinolone",PEMXEL.mol,"[22, 27]",1,0.408431932
ZIWQAZ,1,"2-(N-hydroxyethanimidoyl)-4,5-dimethoxyaniline",ZIWQAZ.mol,"[21, 22]",1,0.408588012
ZUGNAS,1,"(10R,6R,7R)-6,7-Dihydroxy-10-methyloxecane-2,4-dione",ZUGNAS.mol,"[26, 27]",1,0.409218256
VUDVEX,1,bis(1H-Benzotriazol-1-yl)methanethione,VUDVEX.mol,"[2, 5]",1,0.409280144
XURCIW,1,Oxo-ureido-acetic acid methyl ester,XURCIW.mol,"[13, 0]",1,0.409759977
GAMNEO,1,"2,3-dihydro-2-spiro-7'-(8'-imino-7',8'-dihydronaphthalen-1'-amine)perimidine",GAMNEO.mol,"[39, 38]",1,0.410094324
HEGKUB,1,"Ethyl 1-hydroxy-4-(2-hydroxyphenyl)-2,5-dioxopyrrolidine-3-carboxylate monohydrate",HEGKUB.mol,"[19, 3]",1,0.410097403
KISPAE,1,"bis(amino(dihydrazinyl)methylium) 5,5'-iminobis(tetrazol-1-ide) trihydrate",KISPAE.mol,"[1, 8]",1,0.410392871
UHALUK,1,"trans-(P,P)-3,3'-Diamino-4,4'-azofurazan",UHALUK.mol,"[9, 6]",1,0.410589028
GIZBUN,1,"1,5-bis(Methylcarbamoyl)-3,7-dimethyl-2,6-diimino-3,7-diaza[3.3.0]bicyclooctane-4,8-dithione",GIZBUN.mol,"[14, 4]",1,0.410774581
UKEYOA,1,"2-(1-benzyl-4-oxo-1,4-dihydroquinazolin-2-yl)guanidine",UKEYOA.mol,"[4, 2]",1,0.411177351
RASTUD,1,"4-(5-(nitroimino)-4,5-dihydro-1H-1,2,4-triazol-3-yl)-1,2,5-oxadiazol-3-amine N,N-dimethylformamide solvate",RASTUD.mol,"[4, 13]",1,0.411188365
DUZROG,1,"3-Amino-1-methyl-6-phenyl-1,5-dihydro-4H-pyrazolo[4,3-c]pyridin-4-one",DUZROG.mol,"[26, 25]",1,0.411391157
KECMOU,1,"4-Amino-3-imino-5,6-bis(methoxycarbonyl)-1-(1,2-bis(methoxycarbonyl)ethenyl)-1-methyl-2-phenyl-1,3-dihydroisoindole",KECMOU.mol,"[26, 27]",1,0.411565328
DUBJER,1,"N-(1,3-Benzothiazol-2-yl)-7-(diethylamino)-2-oxo-2H-chromene-3-carboxamide",DUBJER.mol,"[36, 40]",1,0.412818059
CXHIMZ20,1,"trans-1-Carbamoyl-imidazolidinone-4,5-diol",CXHIMZ20.mol,"[14, 13]",1,0.413985202
GETZUB,1,"2-(2H-1,2,3-Benzotriazol-2-yl)-4-(2,4,4-trimethylpentan-2-yl)phenol",GETZUB.mol,"[3, 0]",1,0.414080803
BINNAN,1,"(5aβ,6aα,7α,10aα)-(+-)-7-(Dimethylamino)-5a,6,6a,7,10a-pentahydro-1,8,10a,11-tetrahydroxy-10,12-dioxo-10H-benzo(b)xanthene-9-carboxamide diethyl ether solvate",BINNAN.mol,"[1, 4]",1,0.415504483
PORGUB,1,"2,6-diamino-3-[phenyldiazenyl]pyridin-1-ium 3,5-dihydroxybenzoate",PORGUB.mol,"[2, 3]",1,0.416205475
NEKNIA,1,"(3.3.1)Propellane-2,8-dione",NEKNIA.mol,"[9, 5]",1,0.417110871
VENVIW,1,"4-(1,3-benzothiazol-2-yl)-5-[3-(methylamino)propyl]-1H-pyrazol-3-amine",VENVIW.mol,"[31, 32]",1,0.417635349
LATQAA02,1,"2-carbamoyl-4-(dimethylazaniumyl)-5,10,12,12a-tetrahydroxy-6-methyl-3,11-dioxo-3,4,4a,5,5a,6,11,12a-octahydrotetracen-1-olate monohydrate",LATQAA02.mol,"[48, 47]",1,0.417656708
CACTIL,1,"(4S, 6R, 7S, 13S)-13-oxy-anthranoyl-lupanine",CACTIL.mol,"[43, 46]",1,0.419109031
MEKWOR,1,"methyl 7-t-butyl-4,5-dioxo-2-phenyl-4H,5H,7H-pyrano[2',3':3,4]pyrrolo[1,2-c][1,3]oxazole-9a(9H)-carboxylate",MEKWOR.mol,"[26, 27]",1,0.419620346
WIVGIU,1,"potassium [4-amino-5-(1,3-benzothiazol-2-yl)-6-(methylsulfanyl)pyrimidin-2-yl](phenylsulfonyl)azanide N,N-dimethylformamide solvate hemihydrate",WIVGIU.mol,"[35, 36]",1,0.419759895
CAPKAF,1,5-Guanidiniocarbonyl-1H-pyrrole-2-carboxylic acid chloride dihydrate,CAPKAF.mol,"[13, 10]",1,0.419801761
DELCUV,1,"ethyl 3-hydroxy-5-methyl-2-[4-(3-methylphenyl)-1H-1,2,3-triazol-1-yl][1,1'-biphenyl]-4-carboxylate",DELCUV.mol,"[50, 46]",1,0.422169246
FIRKID,1,"1,4-dimethyl-6,7-dithia-2a,8b-diazacyclopenta[cd]azulene-2,3(5H,8H)-dione",FIRKID.mol,"[22, 23]",1,0.422261783
ARIXUV,1,"5-(3-Methylphenyl)-3,6-diphenyltetrahydro-1H-pyrazolo[1,2-a]pyridazine-1,8(5H)-dione",ARIXUV.mol,"[52, 53]",1,0.422671625
VORFIT,1,"methyl 6-amino-2-cyano-1,3-benzothiazole-5-carboxylate",VORFIT.mol,"[19, 15]",1,0.422684888
KANTIC,1,1-Deoxy-(N-methyloctanamido)-D-glucitol,KANTIC.mol,"[2, 6]",1,0.422845856
PUHCUT,1,"ethyl 2,5-dioxo-1,2,4,5,6,7,8,9-octahydrobenzo[4,5]thieno[3,2-e]pyrrolo[1,2-a]pyrimidine-3-carboxylate",PUHCUT.mol,"[32, 25]",1,0.424310655
FIRKAV,1,"S,S'-[(2,6-dimethyl-1,7-dioxo-1H,7H-pyrazolo[1,2-a]pyrazole-3,5-diyl)bis(methylene)] diethanethioate",FIRKAV.mol,"[32, 33]",1,0.425214291
HABXEN,1,"8-Cyano-12-ethoxycarbonylbicyclo(6.4.01,6)dodecanol",HABXEN.mol,"[8, 16]",1,0.425267584
RAQRIL,1,4-Nitrobenzodifuroxan,RAQRIL.mol,"[12, 14]",1,0.427308381
FIRKEZ,1,"2,6-dimethyl-3,5-bis(sulfanylmethyl)-1H,7H-pyrazolo[1,2-a]pyrazole-1,7-dione",FIRKEZ.mol,"[20, 21]",1,0.42751588
LADSAO,1,"5-(4-amino-9H-pyrido[2',3':4,5]pyrrolo[2,3-d]pyrimidin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",LADSAO.mol,"[20, 21]",1,0.427796568
LAXREJ,1,"(5S,6S)-Ethyl 6-hydroxy-8-(4-methoxyphenyl)-7-((4-methylphenyl)sulfonyl)-1-oxo-7-azaspiro[4.5]dec-8-ene-9-carboxylate",LAXREJ.mol,"[57, 55]",1,0.428795565
STCLNC,1,11a-Hydroxy-12a-dehydroxy-6-thiatetracycline acetone solvate,STCLNC.mol,"[1, 4]",1,0.429218231
SUCROS11,1,Sucrose,SUCROS11.mol,"[35, 39]",1,0.431092855
YOWJOK,1,"Ethyl 9-methyl-6-oxo-5-phenyl-5,6-dihydropyrido(2,3-d)(1,2,4)triazolo(1,5-a)pyrimidine-7-carboxylate",YOWJOK.mol,"[25, 23]",1,0.431299175
QUCXIW,1,"5-Amino-4-cyano-3-(4-methoxyphenyl)-N-(1-naphthylcarbamoyl)-2,3-dihydrothiophene-2-carboxamide N,N-dimethylformamide",QUCXIW.mol,"[49, 16]",1,0.431872609
TRURET10,1,Triuret,TRURET10.mol,"[14, 9]",1,0.432769919
NADTRT,1,Sodium tartrate dihydrate,NADTRT.mol,"[13, 10]",1,0.432954267
TETCYH10,1,Tetracycline hexahydrate,TETCYH10.mol,"[1, 4]",1,0.433104938
ADINEH,1,"1,6-Anhydro-1-thio-β-D-glucopyranose (R)-S-oxide",ADINEH.mol,"[17, 15]",1,0.433186531
AKUYIO,1,"(4S)-3-((2R,3R)-2-Methyl-3-cyano-3-hydroxy-1-oxo-3-phenylpropyl)-4-isopropyloxazolidin-2-one",AKUYIO.mol,"[40, 41]",1,0.433960069
KHICIT01,1,potassium 3-carboxy-2-(carboxymethyl)-3-hydroxypropanoate,KHICIT01.mol,"[18, 19]",1,0.434066093
CINCAE,1,"3-Amino-1,2,4-triazol-4-ium hydrogen L-tartrate",CINCAE.mol,"[14, 9]",1,0.435229897
BUTBAV,1,"3,4-dihydroxy-6-methoxy-3-methyl-7-methylene-2-pentyl-3,4,6,7-tetrahydropyrano[2,3-c]pyrrol-5(2H)-one",BUTBAV.mol,"[0, 40]",1,0.436223165
PAZSAN,1,"1-cyclopropyl-7-((3S,5R)-3,5-dimethylpiperazin-4-ium-1-yl)-5,6,8-trifluoro-4-oxo-1,4-dihydroquinoline-3-carboxylate hemihydrate",PAZSAN.mol,"[2, 38]",1,0.438918541
