Ligand,Old Indexes,New Indexes,Deprotonation Type
IHIWEE,"[3, 17]","[3, 17]",No Deprotonation
OCUJEE,"[9, 14]","[9, 14]",No Deprotonation
VOPWEF,"[1, 4]","[1, 4]",Single Deprotonation
VICGOE,"[2, 3]","[2, 3]",No Deprotonation
NEXGUU,"[0, 19]","[0, 19]",Single Deprotonation
TASFIF,"[1, 9]","[1, 8]",Single Deprotonation
PILROR,"[3, 5]","[3, 5]",Single Deprotonation
SEGFIT,"[1, 3]","[1, 3]",Single Deprotonation
HICSET,"[9, 20]","[9, 19]",Single Deprotonation
ROHXAP,"[1, 3]","[1, 3]",No Deprotonation
PABCOM,"[7, 8]","[7, 8]",Double Deprotonation
PASMIF,"[1, 2]","[1, 2]",No Deprotonation
YOKHIP,"[1, 2]","[1, 2]",Single Deprotonation
ZIHTOZ,"[1, 2]","[1, 2]",Double Deprotonation
SASBEU,"[20, 22]","[20, 21]",Single Deprotonation
IXIWES,"[0, 1]","[0, 1]",Single Deprotonation
YOKBAD,"[0, 1]","[0, 1]",Single Deprotonation
LUWNIB,"[44, 46]","[44, 45]",Single Deprotonation
VULQOJ,"[2, 3]","[2, 3]",Single Deprotonation
INEMOD,"[6, 8]","[6, 8]",No Deprotonation
XASQIS,"[2, 4]","[2, 3]",Single Deprotonation
HINQUQ,"[0, 3]","[0, 3]",No Deprotonation
LUJJAC,"[7, 9]","[7, 9]",Double Deprotonation
PAKBEJ,"[7, 8]","[7, 8]",No Deprotonation
TAJWUW,"[0, 10]","[0, 10]",No Deprotonation
CIRVUV,"[2, 3]","[2, 3]",Single Deprotonation
JOGKAU,"[8, 9]","[8, 9]",No Deprotonation
YOKJOY,"[0, 2]","[0, 2]",No Deprotonation
QIMSOX,"[0, 2]","[0, 1]",Single Deprotonation
EBICOI,"[2, 15]","[2, 14]",Single Deprotonation
KOYTIB,"[4, 6]","[4, 6]",No Deprotonation
POYWIK,"[0, 1]","[0, 1]",Single Deprotonation
UREPAJ,"[40, 42]","[40, 42]",No Deprotonation
CBTANP,"[15, 16]","[15, 16]",Double Deprotonation
XOTCEQ,"[0, 6]","[0, 6]",No Deprotonation
HIJZAC,"[1, 2]","[1, 2]",Single Deprotonation
BAXZEG,"[3, 5]","[3, 5]",Single Deprotonation
BOQFOC,"[2, 3]","[2, 3]",Single Deprotonation
KISSAI,"[1, 6]","[1, 6]",No Deprotonation
OJELAS,"[0, 6]","[0, 5]",Single Deprotonation
EHUZOX,"[43, 45]","[43, 44]",Double Deprotonation
OYAHON,"[1, 3]","[1, 3]",No Deprotonation
BICLUW,"[4, 7]","[4, 7]",No Deprotonation
CUVCAY,"[3, 5]","[3, 4]",Single Deprotonation
GAHTEP01,"[0, 2]","[0, 2]",Single Deprotonation
WOCJAB,"[4, 5]","[4, 5]",Single Deprotonation
QETRIR,"[0, 4]","[0, 4]",No Deprotonation
JESVAF,"[0, 1]","[0, 1]",Single Deprotonation
FAMFEH01,"[7, 11]","[7, 11]",Single Deprotonation
ROSYIK,"[0, 1]","[0, 1]",Single Deprotonation
TUKROJ,"[2, 3]","[2, 3]",No Deprotonation
NESVEN,"[6, 8]","[6, 8]",Single Deprotonation
PIZQUN,"[0, 2]","[0, 1]",Double Deprotonation
ERUCOK,"[19, 29]","[19, 29]",Single Deprotonation
HAMVAL,"[1, 2]","[1, 2]",Single Deprotonation
SAPKOM,"[21, 23]","[21, 23]",Single Deprotonation
GOPNOR,"[46, 52]","[46, 52]",No Deprotonation
TABPUJ,"[50, 51]","[50, 51]",No Deprotonation
LEVSEN,"[28, 29]","[28, 29]",No Deprotonation
JAZVIP10,"[13, 14]","[13, 14]",Double Deprotonation
HISCIW,"[2, 6]","[2, 6]",Single Deprotonation
GIJNUK,"[30, 31]","[30, 31]",Single Deprotonation
IJOXAH,"[1, 4]","[1, 4]",Single Deprotonation
JOCXEG,"[8, 12]","[8, 12]",Double Deprotonation
UHAPID,"[0, 4]","[0, 4]",No Deprotonation
TUWBAO,"[6, 15]","[6, 15]",No Deprotonation
HIYZEX,"[1, 3]","[1, 2]",Single Deprotonation
HOKNUT,"[4, 6]","[4, 6]",Single Deprotonation
LUCFEU,"[1, 5]","[1, 4]",Single Deprotonation
IHATET,"[18, 19]","[18, 19]",No Deprotonation
CBOHAZ04,"[0, 3]","[0, 3]",No Deprotonation
ZEJPAI,"[0, 2]","[0, 2]",No Deprotonation
PECVAU,"[0, 8]","[0, 8]",Single Deprotonation
NADPAK,"[3, 5]","[3, 4]",Double Deprotonation
MIFWII,"[4, 7]","[4, 7]",No Deprotonation
OXAMID04,"[3, 7]","[3, 6]",Single Deprotonation
HOPCEX,"[1, 3]","[1, 2]",Single Deprotonation
YIZRAA,"[0, 9]","[0, 9]",No Deprotonation
YUQWUD,"[6, 10]","[6, 10]",No Deprotonation
TIMYUJ,"[1, 3]","[1, 3]",No Deprotonation
BIPPEV,"[0, 1]","[0, 1]",Single Deprotonation
OXTETK,"[1, 4]","[1, 4]",No Deprotonation
RUGSIW06,"[29, 30]","[29, 30]",No Deprotonation
KHFLAC01,"[7, 11]","[6, 10]",Single Deprotonation
MUYROO,"[1, 4]","[1, 3]",Single Deprotonation
CODBAZ,"[1, 3]","[1, 3]",No Deprotonation
QIXBEE,"[17, 19]","[17, 18]",Single Deprotonation
VABKOY,"[2, 4]","[2, 4]",Single Deprotonation
CUPDIB,"[1, 2]","[1, 2]",Single Deprotonation
LUGBOG,"[31, 36]","[31, 36]",No Deprotonation
HEYREI,"[0, 16]","[0, 16]",No Deprotonation
EHAHAY,"[2, 31]","[2, 31]",Single Deprotonation
EKUYER,"[0, 1]","[0, 1]",Single Deprotonation
LOYCOR,"[14, 17]","[14, 17]",No Deprotonation
TAQHOL,"[2, 3]","[2, 3]",No Deprotonation
OKUGEG,"[22, 24]","[22, 23]",Single Deprotonation
VASGED,"[1, 2]","[1, 2]",Single Deprotonation
DOGGUB,"[8, 9]","[8, 9]",Single Deprotonation
LALMUK,"[54, 56]","[54, 55]",Single Deprotonation
AZEPEA,"[0, 5]","[0, 5]",No Deprotonation
BUJRED,"[8, 9]","[8, 9]",Double Deprotonation
EKEKOU,"[3, 12]","[3, 11]",Single Deprotonation
QACLUE,"[23, 26]","[23, 26]",No Deprotonation
GODPIY,"[7, 10]","[7, 10]",No Deprotonation
EYOGAA,"[2, 4]","[2, 4]",No Deprotonation
CORTIC,"[52, 53]","[51, 52]",Single Deprotonation
UDEWEF,"[4, 7]","[4, 7]",No Deprotonation
GAPYOL,"[0, 4]","[0, 4]",Single Deprotonation
TUTSIL,"[0, 2]","[0, 1]",Single Deprotonation
UFIQOP,"[1, 3]","[1, 3]",Single Deprotonation
PEWNUC,"[2, 7]","[2, 7]",Single Deprotonation
WOQVON,"[0, 15]","[0, 15]",Single Deprotonation
SESZUM,"[47, 48]","[47, 48]",Single Deprotonation
PUJYEZ,"[0, 1]","[0, 1]",Single Deprotonation
HXURID,"[24, 25]","[23, 24]",Single Deprotonation
TUMQUQ,"[2, 4]","[2, 3]",Single Deprotonation
DIVLUS,"[0, 6]","[0, 6]",No Deprotonation
JOCQEX,"[2, 3]","[2, 3]",Double Deprotonation
FUWTEW,"[22, 23]","[22, 23]",Double Deprotonation
YETMUI,"[1, 3]","[1, 2]",Single Deprotonation
QUHZEB,"[15, 18]","[15, 18]",Single Deprotonation
BEQWEZ,"[0, 14]","[0, 14]",Single Deprotonation
QUJHEL,"[1, 9]","[1, 9]",Single Deprotonation
QEBBEG,"[1, 6]","[1, 6]",No Deprotonation
IQOGIG,"[0, 10]","[0, 10]",Single Deprotonation
SOQSOI,"[0, 8]","[0, 8]",No Deprotonation
SEFSOL,"[6, 9]","[6, 9]",No Deprotonation
OCAKEJ,"[4, 6]","[4, 5]",Single Deprotonation
CINROG,"[2, 5]","[2, 5]",No Deprotonation
DONNIF,"[15, 17]","[15, 16]",Single Deprotonation
CUWGIK,"[16, 17]","[16, 17]",Single Deprotonation
MIKDIT,"[47, 48]","[47, 48]",Single Deprotonation
NAZMIL,"[1, 3]","[1, 2]",Single Deprotonation
KUGCUK,"[1, 3]","[1, 3]",Single Deprotonation
WOFXEU,"[2, 3]","[2, 3]",Double Deprotonation
NEHBIO,"[28, 29]","[28, 29]",Single Deprotonation
WIMHEF,"[6, 7]","[6, 7]",Double Deprotonation
PARLIE,"[0, 1]","[0, 1]",Single Deprotonation
XASVAP,"[0, 9]","[0, 8]",Double Deprotonation
ZEDRIL,"[4, 19]","[3, 17]",Double Deprotonation
HOLNUS,"[56, 57]","[56, 57]",Single Deprotonation
ABIZAP01,"[21, 22]","[21, 22]",No Deprotonation
USUHEW,"[2, 4]","[2, 4]",Single Deprotonation
MUDGEA,"[0, 5]","[0, 5]",Single Deprotonation
RIHYIS,"[36, 37]","[35, 36]",Single Deprotonation
XOTYUB01,"[0, 1]","[0, 1]",Single Deprotonation
SAVBEZ,"[1, 3]","[1, 3]",No Deprotonation
XEKYES,"[18, 20]","[18, 19]",Double Deprotonation
XAZHOW,"[4, 7]","[4, 7]",Single Deprotonation
GEYZIT,"[4, 6]","[4, 6]",Double Deprotonation
MOXCTS10,"[54, 55]","[53, 54]",Single Deprotonation
FAPLUD,"[3, 8]","[3, 8]",Single Deprotonation
BIHKEK,"[3, 4]","[3, 4]",Double Deprotonation
MUCXAM,"[5, 8]","[5, 8]",No Deprotonation
QOQDEG,"[0, 12]","[0, 11]",Double Deprotonation
REPXOC,"[0, 3]","[0, 2]",Single Deprotonation
FRANAC03,"[1, 2]","[1, 2]",Single Deprotonation
HYPRCX,"[15, 18]","[13, 16]",Double Deprotonation
HITLII,"[0, 2]","[0, 1]",Single Deprotonation
MAYTOX,"[2, 3]","[2, 3]",No Deprotonation
FACCIV10,"[19, 33]","[19, 33]",Single Deprotonation
CEPSOF,"[8, 9]","[8, 9]",No Deprotonation
WACKIU,"[8, 10]","[8, 10]",No Deprotonation
VOFVET,"[1, 2]","[1, 2]",Single Deprotonation
AGOMAL,"[3, 5]","[3, 4]",Double Deprotonation
JILWOT,"[0, 2]","[0, 1]",Single Deprotonation
WACXIJ,"[43, 46]","[43, 46]",No Deprotonation
COSHEX,"[13, 14]","[13, 14]",Double Deprotonation
DEXVOR,"[9, 12]","[9, 12]",No Deprotonation
SUYLEF01,"[21, 22]","[21, 22]",Single Deprotonation
XEHVEO,"[0, 1]","[0, 1]",No Deprotonation
FIMYEI,"[1, 5]","[1, 5]",No Deprotonation
CUWRUH,"[14, 15]","[14, 15]",No Deprotonation
SIHHIA,"[0, 15]","[0, 15]",Single Deprotonation
PEPSOT,"[0, 2]","[0, 2]",No Deprotonation
FERTEE,"[0, 5]","[0, 5]",Single Deprotonation
VEPDEA,"[1, 2]","[1, 2]",Single Deprotonation
QOVZEG,"[3, 4]","[3, 4]",Single Deprotonation
DEGDAV01,"[18, 19]","[18, 19]",Single Deprotonation
MADCEA,"[29, 41]","[29, 41]",No Deprotonation
UVUSOV,"[6, 10]","[6, 9]",Single Deprotonation
IQIXEM,"[0, 10]","[0, 9]",Single Deprotonation
KIKSIH,"[1, 3]","[1, 3]",No Deprotonation
NIRQUB,"[11, 21]","[11, 21]",Single Deprotonation
HOTTOA,"[6, 7]","[6, 7]",Single Deprotonation
QUFXUK,"[1, 2]","[1, 2]",Single Deprotonation
GUVSOG,"[6, 10]","[6, 10]",No Deprotonation
SAKXOU,"[3, 6]","[3, 6]",No Deprotonation
FIRNAV,"[1, 3]","[1, 3]",Single Deprotonation
SASJAY,"[1, 3]","[1, 3]",Single Deprotonation
FOWZUN,"[2, 4]","[2, 4]",No Deprotonation
FUCVOO,"[11, 16]","[11, 16]",Single Deprotonation
EKOZOV,"[31, 32]","[31, 32]",No Deprotonation
ROJBAW,"[3, 6]","[3, 6]",No Deprotonation
EKARIT,"[20, 21]","[20, 21]",No Deprotonation
GOMWOV,"[0, 1]","[0, 1]",Single Deprotonation
KALFOV,"[8, 24]","[8, 24]",Single Deprotonation
IHIXII,"[31, 32]","[31, 32]",No Deprotonation
QOQJEL,"[18, 20]","[18, 20]",No Deprotonation
KERQEF,"[2, 4]","[2, 3]",Single Deprotonation
AVAJAK,"[0, 3]","[0, 3]",Single Deprotonation
TITDAE,"[0, 22]","[0, 22]",No Deprotonation
XIFMIJ01,"[3, 4]","[3, 4]",Single Deprotonation
APAQIT01,"[21, 27]","[21, 27]",No Deprotonation
SOGPAI,"[1, 2]","[1, 2]",Double Deprotonation
ZAKMEG,"[2, 14]","[2, 14]",No Deprotonation
RIDWOT,"[0, 4]","[0, 3]",Double Deprotonation
KIGKOD,"[0, 19]","[0, 19]",Double Deprotonation
XESRIW,"[4, 9]","[4, 8]",Double Deprotonation
EXULIS,"[0, 1]","[0, 1]",Single Deprotonation
SAGYOR,"[0, 5]","[0, 5]",No Deprotonation
QEZSET,"[3, 5]","[3, 5]",Double Deprotonation
LIRHAW,"[0, 4]","[0, 4]",No Deprotonation
NIJWOV,"[1, 3]","[1, 2]",Double Deprotonation
DULKUR,"[20, 21]","[20, 21]",No Deprotonation
KUCHEY,"[2, 5]","[2, 5]",No Deprotonation
TAQJED,"[15, 17]","[15, 16]",Double Deprotonation
NOCPAY,"[0, 8]","[0, 8]",Single Deprotonation
ABUJUC,"[4, 6]","[4, 5]",Double Deprotonation
VEYMEU,"[1, 13]","[1, 12]",Single Deprotonation
UBUFEF,"[3, 17]","[3, 16]",Single Deprotonation
VILCOI,"[1, 3]","[1, 2]",Double Deprotonation
TERVUH,"[3, 4]","[3, 4]",Single Deprotonation
BERFEM,"[0, 4]","[0, 4]",No Deprotonation
HODSAV,"[19, 21]","[19, 20]",Single Deprotonation
NATSIN,"[1, 2]","[1, 2]",No Deprotonation
LABROV,"[0, 1]","[0, 1]",Double Deprotonation
KIVBIC,"[53, 54]","[53, 54]",No Deprotonation
POWYAE,"[2, 4]","[2, 3]",Double Deprotonation
YASNUD,"[44, 45]","[44, 45]",Single Deprotonation
TUKXAA,"[2, 3]","[2, 3]",Single Deprotonation
VUQWIO,"[3, 9]","[3, 9]",No Deprotonation
ABEKEZ,"[1, 3]","[1, 3]",Single Deprotonation
KOYDOU,"[0, 5]","[0, 5]",Single Deprotonation
BIXZUD10,"[36, 37]","[36, 37]",No Deprotonation
NADTRT,"[10, 13]","[9, 12]",Single Deprotonation
LUNZUP,"[0, 2]","[0, 1]",Single Deprotonation
OGESOI,"[3, 4]","[3, 4]",Double Deprotonation
SODFIB,"[65, 66]","[65, 66]",No Deprotonation
TELBOD,"[6, 7]","[6, 7]",No Deprotonation
VEXQAQ01,"[0, 18]","[0, 18]",No Deprotonation
NAVPOQ,"[24, 37]","[24, 37]",No Deprotonation
ACLTRY,"[13, 17]","[13, 17]",Single Deprotonation
KERTIL,"[4, 7]","[4, 7]",No Deprotonation
FEPKOA,"[16, 18]","[16, 18]",Single Deprotonation
EACHUL,"[2, 12]","[2, 12]",Single Deprotonation
ZAZLET,"[2, 3]","[2, 3]",Single Deprotonation
PUHYIC,"[1, 6]","[1, 6]",No Deprotonation
CEQVOM,"[1, 4]","[1, 3]",Double Deprotonation
FOZVUL,"[7, 15]","[7, 15]",Double Deprotonation
WAGYOU,"[3, 5]","[3, 5]",No Deprotonation
USALIK,"[4, 5]","[4, 5]",Single Deprotonation
RAQRIL,"[12, 14]","[12, 14]",No Deprotonation
VONFEM,"[1, 5]","[1, 5]",No Deprotonation
HUKTOY,"[1, 2]","[1, 2]",No Deprotonation
SISYIE,"[30, 32]","[30, 31]",Single Deprotonation
GAFPEI01,"[5, 8]","[5, 8]",Double Deprotonation
QETSEN,"[0, 1]","[0, 1]",Double Deprotonation
ONIQEI,"[1, 3]","[1, 2]",Single Deprotonation
RUSNIF,"[15, 24]","[15, 24]",Single Deprotonation
REZSIZ01,"[15, 16]","[15, 16]",Double Deprotonation
ZUQTOW,"[37, 38]","[37, 38]",No Deprotonation
HECCAT,"[7, 8]","[7, 8]",No Deprotonation
HEKVUO,"[1, 3]","[1, 3]",Single Deprotonation
HEYGIE,"[1, 3]","[1, 3]",No Deprotonation
FASDOS,"[2, 7]","[2, 7]",No Deprotonation
GESRIH,"[30, 34]","[30, 33]",Single Deprotonation
QECWEC,"[1, 2]","[1, 2]",Single Deprotonation
MEGLAC,"[9, 10]","[9, 10]",Single Deprotonation
OXACIB02,"[6, 8]","[6, 8]",No Deprotonation
CISSEF,"[2, 3]","[2, 3]",No Deprotonation
QOCHOI,"[1, 3]","[1, 3]",Single Deprotonation
DISYAH,"[0, 4]","[0, 4]",Single Deprotonation
BOPHOG,"[15, 17]","[15, 17]",No Deprotonation
VASBIA,"[1, 2]","[1, 2]",Single Deprotonation
AFENOP,"[0, 26]","[0, 26]",Single Deprotonation
RIGDAO,"[22, 23]","[22, 23]",No Deprotonation
SEFRAW,"[4, 13]","[4, 13]",Single Deprotonation
REFNAR,"[1, 2]","[1, 2]",Single Deprotonation
TOVLAT,"[1, 38]","[1, 38]",Double Deprotonation
VEZKOD,"[1, 2]","[1, 2]",No Deprotonation
WUGNES,"[0, 2]","[0, 1]",Single Deprotonation
METREI,"[2, 6]","[2, 6]",Single Deprotonation
NIQPOT,"[2, 5]","[2, 5]",No Deprotonation
VOGDEC,"[7, 17]","[7, 16]",Single Deprotonation
NAJPUN,"[1, 3]","[1, 3]",Single Deprotonation
SAWJEG,"[0, 1]","[0, 1]",No Deprotonation
DUZMIV,"[6, 7]","[6, 7]",Single Deprotonation
OREKAY,"[5, 14]","[5, 14]",No Deprotonation
LEQTEG,"[15, 20]","[15, 19]",Double Deprotonation
YOJJEP,"[29, 31]","[29, 30]",Double Deprotonation
EZOROC,"[0, 8]","[0, 8]",Single Deprotonation
DXPHAR,"[13, 14]","[13, 14]",Double Deprotonation
IVEREH,"[0, 1]","[0, 1]",Single Deprotonation
PEFMAP,"[0, 1]","[0, 1]",Single Deprotonation
TEVFOS,"[6, 9]","[6, 9]",No Deprotonation
MIFWOQ,"[0, 1]","[0, 1]",No Deprotonation
DEWHOC,"[2, 4]","[2, 4]",Single Deprotonation
BUWLOW,"[26, 28]","[26, 28]",Single Deprotonation
HACSIQ,"[6, 7]","[6, 7]",Single Deprotonation
HAJBEZ,"[16, 17]","[16, 17]",Single Deprotonation
TABFAG,"[8, 18]","[8, 18]",No Deprotonation
MOXDIO,"[2, 4]","[2, 4]",No Deprotonation
VORFIT,"[15, 19]","[15, 19]",No Deprotonation
CUDDOW,"[0, 4]","[0, 3]",Single Deprotonation
QUDVES,"[4, 7]","[4, 7]",No Deprotonation
WINFUW,"[1, 5]","[1, 5]",Single Deprotonation
TEGXEI,"[12, 21]","[12, 21]",Single Deprotonation
JAYQUW,"[2, 3]","[2, 3]",No Deprotonation
POMNUC,"[0, 1]","[0, 1]",Single Deprotonation
DETLEU,"[1, 2]","[1, 2]",Single Deprotonation
VOXJAT,"[2, 3]","[2, 3]",Single Deprotonation
SABNOB,"[54, 56]","[54, 55]",Single Deprotonation
TOYWEJ,"[3, 4]","[3, 4]",Single Deprotonation
TIDXEJ,"[19, 20]","[19, 20]",Single Deprotonation
ZUFJUH,"[3, 7]","[3, 7]",No Deprotonation
GAQCAC,"[3, 4]","[3, 4]",Single Deprotonation
ROTXIJ,"[0, 1]","[0, 1]",No Deprotonation
CETHNA,"[14, 15]","[14, 15]",No Deprotonation
ULILOR,"[24, 28]","[24, 27]",Single Deprotonation
DOTQEJ,"[31, 32]","[31, 32]",No Deprotonation
SIMCEX,"[0, 2]","[0, 2]",Single Deprotonation
SETROZ,"[6, 11]","[6, 11]",No Deprotonation
DEKTIX,"[35, 50]","[35, 50]",Single Deprotonation
GOCROG,"[6, 13]","[6, 12]",Single Deprotonation
MIRZUJ,"[0, 8]","[0, 7]",Single Deprotonation
PABMIO,"[22, 24]","[22, 24]",Single Deprotonation
SOFNUX,"[1, 2]","[1, 2]",Single Deprotonation
YIPQUL,"[0, 42]","[0, 42]",Single Deprotonation
ECANUT,"[1, 3]","[1, 3]",Single Deprotonation
NIXTAR,"[1, 5]","[1, 5]",No Deprotonation
SIWVID,"[27, 28]","[27, 28]",Single Deprotonation
BOGLUF,"[0, 1]","[0, 1]",No Deprotonation
HOXMEN,"[0, 1]","[0, 1]",No Deprotonation
AXOPEJ,"[18, 19]","[17, 18]",Single Deprotonation
EGIPIW,"[5, 7]","[5, 6]",Single Deprotonation
UTUVAI,"[4, 5]","[4, 5]",Single Deprotonation
YEVLUJ,"[4, 6]","[4, 6]",No Deprotonation
PUGQAK,"[0, 1]","[0, 1]",Single Deprotonation
BAFYOW,"[2, 5]","[2, 5]",Single Deprotonation
IJOMIG,"[0, 1]","[0, 1]",No Deprotonation
GUNTAK,"[1, 6]","[1, 6]",No Deprotonation
TEYXIH,"[8, 14]","[8, 14]",Single Deprotonation
KEFMUF,"[2, 4]","[2, 4]",Single Deprotonation
FATYOO,"[22, 23]","[22, 23]",Single Deprotonation
POPLIQ,"[1, 4]","[1, 4]",Single Deprotonation
WEWQAR,"[2, 4]","[2, 4]",Double Deprotonation
HUGBIX,"[2, 4]","[2, 3]",Single Deprotonation
NUKHUZ,"[1, 2]","[1, 2]",Single Deprotonation
ZEDFOF,"[1, 3]","[1, 2]",Single Deprotonation
POVJAN01,"[11, 26]","[11, 26]",No Deprotonation
ROLSAP,"[2, 3]","[2, 3]",Single Deprotonation
WELSUD,"[2, 3]","[2, 3]",No Deprotonation
BIXSAD,"[2, 3]","[2, 3]",Single Deprotonation
GEZRAH,"[1, 2]","[1, 2]",Single Deprotonation
COQSIM,"[3, 5]","[3, 4]",Single Deprotonation
TAFNEX,"[0, 4]","[0, 4]",Single Deprotonation
BOYPOX,"[3, 9]","[3, 9]",Single Deprotonation
YEFGEY,"[20, 33]","[20, 33]",Double Deprotonation
UKOSAP01,"[13, 16]","[13, 16]",No Deprotonation
ODAPIV,"[0, 1]","[0, 1]",No Deprotonation
UPACUK,"[0, 1]","[0, 1]",Single Deprotonation
XOCVIW,"[2, 3]","[2, 3]",Single Deprotonation
MNPMAL01,"[19, 20]","[19, 20]",Single Deprotonation
EVOPEL,"[0, 7]","[0, 7]",Single Deprotonation
VOQFUF,"[0, 13]","[0, 13]",No Deprotonation
FUGTUW,"[21, 27]","[21, 27]",Single Deprotonation
AMEQAK,"[1, 2]","[1, 2]",Single Deprotonation
SOXGIW,"[29, 31]","[29, 31]",No Deprotonation
ODUHAZ,"[0, 2]","[0, 1]",Single Deprotonation
KHQUIN,"[0, 10]","[0, 10]",No Deprotonation
HIWSAH,"[0, 2]","[0, 1]",Single Deprotonation
HELLIW,"[1, 15]","[1, 15]",No Deprotonation
UHALUK,"[6, 9]","[6, 9]",No Deprotonation
JOFMUN,"[0, 1]","[0, 1]",Double Deprotonation
GIZBUN,"[4, 14]","[4, 14]",Single Deprotonation
LIVYIZ,"[0, 1]","[0, 1]",Single Deprotonation
DIJGOT,"[27, 28]","[27, 28]",No Deprotonation
DOXBZA,"[0, 1]","[0, 1]",Double Deprotonation
MABSOZ,"[25, 26]","[25, 26]",No Deprotonation
UKADIW,"[1, 2]","[1, 2]",Single Deprotonation
AYUZID,"[10, 12]","[10, 12]",No Deprotonation
YAGLAU,"[4, 5]","[4, 5]",Double Deprotonation
SALPUR,"[4, 6]","[4, 6]",Single Deprotonation
ZUNXUD,"[0, 1]","[0, 1]",Single Deprotonation
IWIQIO,"[2, 3]","[2, 3]",Single Deprotonation
PAQREE,"[2, 3]","[2, 3]",Double Deprotonation
LIZCUT,"[2, 7]","[2, 7]",Single Deprotonation
QENGAU,"[2, 7]","[2, 7]",Single Deprotonation
RAHYEF,"[4, 5]","[4, 5]",Double Deprotonation
VENVIW,"[31, 32]","[31, 32]",No Deprotonation
RUYYIV,"[2, 4]","[2, 3]",Single Deprotonation
TAXPIT,"[1, 2]","[1, 2]",Double Deprotonation
DEXTEF,"[8, 11]","[8, 11]",No Deprotonation
IGANEM,"[1, 4]","[1, 3]",Double Deprotonation
XIJNEJ,"[1, 2]","[1, 2]",Single Deprotonation
EFOJIT,"[24, 27]","[24, 27]",No Deprotonation
DLASPA12,"[0, 8]","[0, 7]",Single Deprotonation
TONCAD,"[6, 7]","[6, 7]",Double Deprotonation
QAJVAA,"[0, 1]","[0, 1]",No Deprotonation
KETRUZ,"[4, 10]","[4, 9]",Single Deprotonation
RUXLOL,"[42, 46]","[42, 45]",Single Deprotonation
HANNUF,"[3, 4]","[3, 4]",Single Deprotonation
GAZVEK,"[60, 64]","[60, 63]",Single Deprotonation
UKUROJ,"[44, 45]","[44, 45]",Single Deprotonation
LOBTUS,"[1, 2]","[1, 2]",Double Deprotonation
RUYLEE,"[9, 16]","[9, 16]",No Deprotonation
XUHFIS,"[14, 15]","[13, 14]",Single Deprotonation
AJAWIT,"[16, 23]","[16, 22]",Single Deprotonation
JUPKUD,"[0, 5]","[0, 5]",No Deprotonation
MAZXUH,"[1, 4]","[1, 3]",Single Deprotonation
FUPPEL,"[0, 2]","[0, 2]",Single Deprotonation
VEDKIY,"[4, 5]","[4, 5]",Double Deprotonation
KILKAS,"[7, 8]","[7, 8]",Single Deprotonation
RENCUI,"[4, 5]","[4, 5]",Single Deprotonation
RUBWAO,"[40, 42]","[40, 41]",Double Deprotonation
POFYOA,"[0, 1]","[0, 1]",Single Deprotonation
FEYMOM,"[4, 6]","[4, 5]",Single Deprotonation
IGOVEI,"[1, 4]","[1, 3]",Double Deprotonation
AMCHCA,"[9, 10]","[9, 10]",No Deprotonation
NEBGIM,"[0, 1]","[0, 1]",No Deprotonation
GIZSOY,"[2, 5]","[2, 5]",No Deprotonation
TUNYEH,"[5, 7]","[5, 7]",Double Deprotonation
XIMTUJ,"[13, 14]","[13, 14]",Single Deprotonation
OGOHOK,"[0, 3]","[0, 2]",Double Deprotonation
FEPMUL,"[30, 33]","[30, 33]",No Deprotonation
EXOROZ,"[0, 1]","[0, 1]",Single Deprotonation
PACLUE,"[1, 10]","[1, 10]",Single Deprotonation
YORMOK,"[2, 6]","[2, 5]",Double Deprotonation
ABEFIX,"[0, 1]","[0, 1]",Single Deprotonation
OYORIF,"[0, 3]","[0, 3]",No Deprotonation
ENSUCP,"[6, 8]","[6, 8]",Single Deprotonation
BIBDUO,"[24, 27]","[24, 27]",No Deprotonation
RABBII,"[1, 4]","[1, 4]",No Deprotonation
PUFTIU,"[26, 28]","[26, 27]",Double Deprotonation
MEMALA,"[10, 11]","[9, 10]",Single Deprotonation
NURQIA,"[4, 9]","[4, 8]",Double Deprotonation
PERGUQ,"[0, 2]","[0, 1]",Single Deprotonation
AMACEY,"[0, 3]","[0, 3]",No Deprotonation
POQHOT,"[15, 16]","[15, 16]",Double Deprotonation
GUNFAY,"[4, 6]","[4, 6]",No Deprotonation
XAYYIG,"[0, 3]","[0, 3]",No Deprotonation
ZEARLN02,"[1, 5]","[1, 5]",Single Deprotonation
LOLMEG,"[0, 5]","[0, 5]",Single Deprotonation
DUPMOS,"[24, 25]","[24, 25]",Single Deprotonation
KEPSIH,"[19, 20]","[19, 20]",Single Deprotonation
XOGWEX,"[0, 8]","[0, 7]",Single Deprotonation
NAHTAS,"[4, 18]","[4, 17]",Single Deprotonation
DENWOJ,"[0, 2]","[0, 1]",Single Deprotonation
MIKFAN,"[10, 11]","[10, 11]",Single Deprotonation
YEHBOC,"[2, 3]","[2, 3]",Single Deprotonation
ZARBIF,"[1, 5]","[1, 5]",Single Deprotonation
SEQKOO,"[1, 3]","[1, 3]",Double Deprotonation
HIRPOO,"[11, 14]",Error,Double Deprotonation
DAWVAB,"[4, 7]","[4, 6]",Single Deprotonation
GOZDAA,"[1, 2]","[1, 2]",No Deprotonation
IXUWED,"[1, 6]","[1, 6]",Single Deprotonation
VISSAR,"[9, 21]","[9, 21]",Single Deprotonation
