Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
XOWFEX,47.99,-2.9455,0.3011,1.5678,6.5607,12.3793,9.7589,1.8782,1.4945,0.0943,3.8
XOXQAD,81.96,-2.8064,0.2126,1.9393,6.4706,12.5281,9.7886,1.9484,1.2262,0.0169,34.1
XOYHIC,86.56,-3.2309,0.4151,2.0719,6.377,12.4588,9.749,1.9366,1.6339,0.0791,20.7
XUBMEM,82.69,-3.8377,0.5911,3.0826,6.2465,12.5701,9.5924,1.9615,1.4191,0.0823,-6.1
XUCLIT,81.81,-3.9539,0.3145,2.5197,6.3921,12.6206,9.6729,1.9347,1.3317,0.0197,24.6
XUMNID,76.45,-2.6452,0.2814,1.5939,6.559,12.4007,9.7589,1.9377,1.489,0.1027,1.3
XUQXOW,86.11,-2.7101,0.342,1.9203,6.3994,12.4474,9.8113,1.9273,1.3682,0.0148,140.4
XURBES,81.64,-2.8577,0.3868,1.9259,6.4414,12.4309,9.7409,1.8964,1.5041,0.0754,4.7
XURKUS,88.14,-3.2658,0.388,1.8464,6.3587,12.4649,9.7883,1.9531,1.5788,0.0529,13.5
YADJES,81.64,-2.773,0.2676,1.8981,6.4237,12.5058,9.8029,1.9317,1.3457,0.0166,20.1
YAFWAF,81.57,-3.248,0.3194,2.0782,6.4007,12.4998,9.7801,1.9227,1.3976,0.0195,10
YAGTIL,80.63,-3.3828,0.3859,2.0446,6.3782,12.476,9.7599,1.9104,1.5131,0.0851,3.4
YAHVUA,95.73,-3.1223,0.4525,1.977,6.3583,12.4176,9.7715,1.9399,1.639,0.0334,11.8
YAHYUD,82.51,-3.9421,0.3876,2.213,6.3914,12.514,9.707,1.898,1.368,0.0104,19.3
YAJMEC,84.41,-3.5517,0.4092,2.0153,6.3797,12.4757,9.7354,1.9053,1.6431,0.0596,16.2
YALMEF,81.58,-3.5156,0.3511,2.1298,6.3794,12.507,9.7625,1.9032,1.5002,0.0934,12.6
YALQOT,80.14,-2.6036,0.3016,1.697,6.4798,12.4321,9.7866,1.9215,1.4883,0.0763,23.9
YAPDEA01,81.62,-3.2283,0.2347,2.1626,6.415,12.5773,9.7729,1.9238,1.206,0.0186,12.4
YAPNAH,100.35,-3.7187,0.5584,2.5459,6.2974,12.5067,9.6375,1.9859,1.5695,0.0907,34
YASKEJ,90.9,-2.8937,0.3457,1.7286,6.4507,12.4108,9.7927,1.8924,1.7067,0.0682,23.2
YAWYUS,81.78,-3.1029,0.3384,2.0441,6.3891,12.498,9.7745,1.9223,1.54,0.1048,16.3
YAYGUC,77.44,-3.0172,0.3148,1.6997,6.4474,12.4471,9.7907,1.9156,1.6805,0.0929,14.9
YEBBUC,83.42,-3.3803,0.3304,1.64,6.3831,12.4336,9.8528,1.9736,1.3098,0.0172,8.9
YEBJIB,80.76,-3.7268,0.2932,2.3411,6.4058,12.5816,9.7194,1.9498,1.395,0.0178,22.1
YEBSEG,90.07,-2.3838,0.32,1.9932,6.4102,12.4773,9.7924,1.9079,1.3328,0.0146,21.3
YEFVEL,82.21,-3.3398,0.3499,2.1422,6.3797,12.5074,9.763,1.9153,1.5627,0.0856,9.9
YEHBOC,72.52,-2.7118,0.3066,1.6354,6.5484,12.3792,9.7657,1.8912,1.7026,0.0988,29.3
YEHCOD,96.03,-3.2689,0.4173,1.9616,6.3628,12.4463,9.7736,1.9584,1.4549,0.0773,12.2
YELKUV,89.82,-3.7108,0.4555,2.1762,6.3269,12.4958,9.7218,1.9643,1.5502,0.0902,16.8
YEMLOR,91.14,-3.4468,0.5333,2.3708,6.3204,12.4848,9.6614,1.9709,1.5199,0.0785,22.8
YENNEK,81.5,-3.0847,0.3642,1.8743,6.391,12.4711,9.7736,1.9243,1.5071,0.0847,17.9
YERRUI,80.81,-3.1774,0.3004,1.9802,6.4123,12.5165,9.7708,1.8965,1.4921,0.0838,19.3
YERZUT,81.73,-3.2822,0.3391,2.1243,6.386,12.5036,9.7714,1.903,1.529,0.0861,12.8
YETGOT,94.96,-3.4473,0.532,2.5259,6.3196,12.5197,9.6287,1.9926,1.5327,0.0986,27.1
YEXQUQ,81.93,-3.7043,0.293,2.0914,6.4128,12.5472,9.747,1.9164,1.3204,0.0156,23
YIBROQ,82.34,-3.9501,0.4222,2.3381,6.3543,12.5201,9.7034,1.9259,1.5657,0.0916,115.6
YIFNOR,63.55,-4.1154,0.4358,1.6832,6.3639,12.3476,9.8527,1.9556,1.6123,0.0511,8.4
YIGNEJ,45.91,-3.0056,0.2974,1.5558,6.5594,12.3756,9.7677,1.9267,1.434,0.1032,18.1
YIHDID,88.04,-2.8291,0.2536,1.96,6.4151,12.4899,9.8415,1.9601,1.2079,0.0237,8.2
YIKYID,80.7,-2.6561,0.1726,1.9719,6.4447,12.5459,9.8368,1.9442,1.1664,0.0269,43.2
YIRFAH,82.11,-3.3814,0.3747,2.1625,6.3721,12.4939,9.7593,1.9157,1.5794,0.0904,12.2
YIRLER,82.68,-3.4176,0.2947,2.0817,6.4137,12.5373,9.7544,1.9141,1.5795,0.0798,22.5
YISJOZ,82.03,-3.1057,0.2597,2.012,6.416,12.5367,9.7876,1.9433,1.6764,0.1005,18.9
YIVNUN,88.92,-3.1041,0.4507,2.1152,6.3665,12.4518,9.731,1.9699,1.5602,0.0669,14.8
YIWBUB,83.81,-2.8177,0.4331,2.149,6.3637,12.4738,9.7294,1.9419,1.6992,0.081,18.4
YIZDUH,79.97,-3.345,0.2719,2.0103,6.4611,12.512,9.755,1.899,1.5245,0.0778,27.9
YIZTOT,97.93,-3.3895,0.421,1.8927,6.3428,12.4636,9.7727,1.9316,1.5763,0.0743,14.9
YOCBAW,87.07,-2.9207,0.1882,2.0805,6.4269,12.5775,9.8074,1.9441,1.0135,0.0421,26.5
YODLUY,88.96,-3.1755,0.499,2.2816,6.3363,12.4837,9.681,1.953,1.526,0.0979,21.3
YOHJEM,90.03,-2.9299,0.4607,2.1651,6.3554,12.4691,9.7147,1.9499,1.5347,0.0826,20.1
YOKHIP,89.76,-3.5959,0.5318,2.3032,6.3202,12.4836,9.6644,1.9576,1.5386,0.0742,23.4
YOKKOZ,64.32,-2.7749,0.3099,1.6574,6.5509,12.3738,9.7654,1.8797,1.7069,0.1344,28
YOKQAQ,83.64,-3.1373,0.2867,2.0987,6.3984,12.5533,9.7616,1.9126,1.5277,0.0831,20.4
YOKQEU,83.64,-3.1396,0.2835,2.0916,6.3985,12.5564,9.7616,1.9285,1.6278,0.0791,20.9
YORBAL,82.41,-2.61,0.2182,2.0224,6.432,12.5408,9.8089,1.9541,1.466,0.0124,21
YORBOW,82.87,-3.0297,0.2388,1.9725,6.4543,12.5185,9.7884,1.9647,1.2101,0.0106,19.5
YOWDOF,47.7,-2.9518,0.2999,1.5844,6.5617,12.3743,9.764,1.8854,1.7041,0.0428,24
YOWJOK,90.85,-3.4871,0.47,2.0015,6.3354,12.4596,9.735,1.908,1.5736,0.0931,13.9
YOYWAN,94.82,-3.3253,0.5108,2.3219,6.3244,12.4942,9.6706,1.9483,1.5538,0.0793,22.1
YUHYEF,46.32,-3.0286,0.2982,1.5826,6.5542,12.3827,9.765,1.8876,1.5566,0.0699,26.3
YUKXEI,87.76,-2.5045,0.4213,1.9784,6.3759,12.4438,9.759,1.9517,1.5524,0.0714,12.6
YUMDOA,83.16,-2.6607,0.3841,1.8799,6.4161,12.4229,9.7769,1.8986,1.5442,0.064,19.3
YUMPIG,67.41,-3.1036,0.2344,1.8027,6.5597,12.4381,9.7678,1.9497,1.3106,0.0187,29.5
YUPPUX,46.25,-3.3308,0.2341,1.8395,6.5555,12.4423,9.7681,1.913,1.333,0.0154,4.6
YUQMAZ,96.25,-2.5091,0.3338,2.2015,6.3755,12.5184,9.7723,1.9293,1.3854,0.0095,19.4
YUQVEN,79.78,-3.5112,0.278,2.0209,6.4713,12.5138,9.7369,1.901,1.2936,0.0192,27.6
YUQWOX,87.99,-3.2156,0.2334,2.0121,6.4163,12.5391,9.8113,1.9481,1.2081,0.0221,14.4
YURTEL,69.58,-3.1889,0.2382,1.7927,6.5574,12.4391,9.7653,1.9087,1.3343,0.0173,30.9
YUXCOM,75.15,-3.2591,0.2499,1.8911,6.5236,12.4692,9.7573,1.9067,1.3871,0.0157,27
ZABQEB,106.4,-3.1271,0.4673,2.303,6.3473,12.5031,9.6823,1.8512,1.6956,0.1086,10.5
ZAJTUC,79.76,-3.3468,0.2582,1.9562,6.4797,12.5079,9.7542,1.8964,1.5005,0.0786,27.5
ZAPYEU,83.84,-3.3806,0.2573,1.981,6.4352,12.4997,9.8078,1.9802,1.2061,0.0228,22.5
ZAQCEB,82.74,-3.3534,0.1895,2.1023,6.4274,12.6009,9.7822,1.9387,1.3985,0.0119,18.6
ZEHGOK,83.19,-3.4961,0.3543,2.1966,6.3739,12.5492,9.7226,1.9437,1.2296,0.0191,17.2
ZEMSIW,91.96,-2.5126,-0.0697,2.1972,6.5306,12.6711,9.8681,1.966,3.5787,0.0088,26.9
ZEPFAE,71.49,-2.7051,0.2995,1.6494,6.5564,12.3787,9.7655,1.9284,1.481,0.0672,28.1
ZEQREV,82.8,-3.2671,0.1704,2.0821,6.4349,12.6029,9.7918,1.942,1.21,0.0219,19.6
ZEQSAS,82.87,-3.2063,0.168,2.0711,6.4367,12.6004,9.795,1.9345,1.2142,0.0202,19.7
ZERHOT,81.93,-3.2623,0.2729,1.9766,6.4322,12.5254,9.7695,1.9035,1.5151,0.0823,23.1
ZESZUS,44.6,-3.0288,0.31,1.5727,6.5471,12.3821,9.7609,1.9052,1.5617,0.0953,30.6
ZEVPOH,69.1,-3.1905,0.237,1.8016,6.5582,12.4393,9.7655,1.8824,1.4876,0.0701,30.6
ZEYBEN,80.24,-2.6734,0.1877,1.8842,6.4989,12.5203,9.7932,1.9326,1.1981,0.0234,26.2
ZEZJUJ,64.87,-2.6804,0.2434,1.9494,6.4656,12.4668,9.8242,1.9426,1.3341,0.0108,21.2
ZIPBAB,54.98,-3.0451,0.2092,1.7273,6.5918,12.4165,9.7824,1.8862,1.2894,0.0136,37.8
ZIPWUQ,70.41,-3.4873,0.2789,1.8985,6.5385,12.4547,9.7278,1.8883,1.2977,0.015,31.1
ZITMAS,91.42,-3.2959,0.4246,1.9575,6.3448,12.4505,9.7801,1.9391,1.5389,0.0669,15.3
ZIZDIX,82.58,-3.6662,0.2855,2.3333,6.4063,12.5822,9.726,1.9403,1.3903,0.0137,22.5
ZOHZUR,86.6,-2.7254,0.4095,1.9563,6.3957,12.4294,9.7654,1.9014,1.6045,0.0588,18.1
ZOJREY,79.53,-3.2178,0.3301,2.033,6.3932,12.4842,9.7925,1.9023,1.4386,0.0141,13.1
ZOKXAA,83.16,-2.6731,0.3783,1.8677,6.4183,12.4226,9.7807,1.8994,1.5449,0.0603,19.5
ZOLRAW,80.74,-3.2398,0.3394,1.9919,6.3955,12.4941,9.771,1.9571,1.4424,0.019,15.8
ZOTSAC,63.28,-3.1043,0.3866,1.9109,6.437,12.4137,9.7627,1.9053,1.5422,0.0715,20.2
ZOZTOX01,91.51,-2.5468,0.3828,1.8926,6.375,12.465,9.7772,1.9367,1.5291,0.0925,17.4
ZUMXIQ02,88.51,-3.1851,0.4729,2.0413,6.3592,12.4302,9.7377,1.9362,1.514,0.082,13.6
ZUQTOW,79.27,-3.4872,0.2735,1.9571,6.5204,12.4712,9.735,1.8969,1.1991,0.0214,24.3
ZUZXAT,68.85,-3.1901,0.2373,1.801,6.5589,12.4379,9.766,1.9045,1.3433,0.0155,31.7
ZZZLWW03,84.12,-2.714,0.2371,2.0385,6.449,12.5108,9.8031,1.9542,1.7091,0.0906,19
