Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_px,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L1_dx2y2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dz2,ImgFre,Ea
DAKDAU,84.11,12.58,182.46,1.7,8.94,15.82,30.9,21.5,15.8,842.46,-4.1504,-2.9942,2.02,2,-0.17,-0.11,2.56,2.08,2.3,71.09,-0.4085,-0.2674,0.4445,0.1766,0.0838,2.8556,3.3067,1.2578,2.0821,2.0125,29.1001,5.351,8.3566,8.4397,0.6465,0.3042,0.4226,0.3387,0.4541,2.7675,0.9694,0.936,1.0203,3.5886,3.4642,3.7357,3.5974,10.1481,2.0276,2.0456,2.0197,2.0298,2.0254,6.3172,12.6139,4.2511,4.2097,4.153,10.477,2.0984,2.1216,2.0847,2.1012,2.0711,1.4423,0.0762,0.0163,0.0224,0.0086,0.0235,1.4539,1.4205,0.0715,0.015,0.0081,-166.18,18.1
DALZEW,80.71,1.72,215.4,3.73,9.12,7.94,39.8,34.3,21.7,727.49,-3.9019,-1.3327,2.07,2.06,-0.06,-0.07,2.65,2.25,2.2,72.96,-0.4747,-0.2926,0.5364,-0.0173,0.2326,2.7091,3.4884,1.309,2.9713,3.172,29.1625,5.4923,7.2609,7.0938,0.4123,0.1727,0.7057,0.4142,0.4252,2.7682,0.921,0.9216,1.1033,3.5644,3.1774,3.6919,3.8403,10.1659,2.0663,2.025,2.0118,2.0517,2.0111,6.3154,12.5992,4.2567,4.1792,4.1634,10.5597,2.167,2.1307,2.1104,2.0929,2.0587,1.3192,0.1772,0.0216,0.0513,0.0199,0.0658,1.049,1.2568,0.2491,0.0319,0.021,-150.95,19.3
DANJOS,88.61,11.08,209.09,3.83,7.19,8,38.5,33.1,20,661.88,-4.2045,-1.5788,1.96,2.43,-0.03,-0.45,2.74,1.94,2.3,80.1,-0.3329,-0.299,0.3665,-0.0247,0.236,2.8729,3.5566,1.22,1.8149,2.832,29.0594,5.464,8.5924,7.3008,0.4426,0.3446,0.6341,0.6717,0.1473,2.7637,1.063,0.9941,0.8798,3.6312,3.8619,3.819,3.1668,10.1373,2.0091,2.0226,2.0384,2.0218,2.0454,6.3104,12.5771,4.2132,4.2064,4.1574,10.4451,2.0982,2.1278,2.1677,2.0861,1.9653,1.4702,0.0701,0.0176,0.0181,0.0107,0.0121,1.2214,1.0737,0.223,0.0399,0.0622,-114.89,22
DAXCAJ,83.11,-16.47,182.05,1.54,9.81,9.22,32.5,23.7,12.2,725.37,-4.1231,-1.7347,2.22,2.02,0.95,-0.12,2.57,2.24,2.21,70.65,-0.4488,-0.2852,0.5864,0.1355,0.1553,2.6014,3.4637,1.3523,2.9949,2.9645,29.1651,5.4645,7.0426,7.1865,0.5401,0.1707,0.663,0.2604,0.484,2.7684,0.9498,0.9466,1.0431,3.555,3.2994,3.7363,3.6408,10.1577,2.0403,2.0426,2.0165,2.0403,2.018,6.3247,12.5827,4.2566,4.1745,4.1517,10.541,2.1805,2.1175,2.0871,2.0839,2.0721,1.3652,0.3017,0.0296,0.0683,0.0318,0.1086,1.2089,1.2956,0.2205,0.0245,0.0212,-142.47,18.6
DAYNUN,79.9,3.9,172.9,1.77,6.09,6.85,31.4,22.3,11.6,563.31,-3.7919,-0.8682,2.05,2.15,-0.11,-0.07,2.59,2.33,2.19,69.93,-0.4628,-0.2868,0.5539,-0.0998,0.1823,2.322,3.4568,1.295,1.836,2.0865,29.0502,5.5226,8.609,8.348,0.4443,0.131,0.6902,0.4726,0.233,2.7713,0.9835,0.9373,1.0212,3.5555,3.4495,3.7397,3.5072,10.1683,2.0371,2.0439,2.0294,2.0329,2.0249,6.3335,12.563,4.26,4.1583,4.1447,10.5661,2.1691,2.1282,2.1012,2.1025,2.0651,1.3726,0.0686,0.0174,0.018,0.0087,0.0216,1.3485,1.4924,0.0743,0.0113,0.0084,-154.66,28
DAYYUA,75.85,2.95,235.53,3.48,9.3,7.89,37.9,33.3,24.2,757.58,-4.0364,-1.1403,2.09,2.12,-0.02,-0.12,2.62,2.28,2.19,71.78,-0.4569,-0.2905,0.5941,0.1845,0.1676,2.5663,3.5429,1.386,3.045,2.9894,29.1685,5.5107,7.2353,7.1951,0.475,0.1186,0.708,0.3894,0.363,2.7695,0.9207,0.918,1.104,3.553,3.1022,3.7305,3.835,10.1608,2.0466,2.0221,2.0131,2.0664,2.0127,6.3177,12.582,4.2585,4.1757,4.1477,10.5569,2.1811,2.1158,2.0883,2.0792,2.0925,1.3037,0.2211,0.026,0.072,0.0224,0.0645,1.1764,1.092,0.2801,0.0438,0.0246,-126.9,26.3
DBZCTD,107.79,6.56,199.74,3.14,8.73,8.74,34.2,27.1,20.4,746.27,-4.4537,-1.8636,2.13,2.09,-0.2,-0.15,2.57,2.04,2.33,71.52,-0.3956,-0.2534,0.454,0.1905,0.2192,2.7958,3.4421,1.2707,2.024,2.1001,29.0654,5.3901,8.4054,8.371,0.6383,0.3268,0.4716,0.2914,0.3201,2.766,0.8996,0.9403,1.0732,3.5973,3.2445,3.7625,3.7828,10.1395,2.0422,2.0294,2.011,2.0465,2.0103,6.3155,12.5834,4.2565,4.1845,4.1424,10.4963,2.1518,2.1251,2.0871,2.051,2.0813,1.4512,0.0739,0.0149,0.0239,0.0078,0.0239,1.3686,1.39,0.0748,0.0223,0.0101,-147.39,13.5
DEBFAR01,93.47,2.37,187.6,2.54,9.24,8.27,30.1,23,17.7,737.85,-4.1241,-2.0017,2.05,2.11,-0.04,-0.2,2.6,2.09,2.25,73.42,-0.3982,-0.2856,0.4998,0.1451,0.1932,2.6161,3.5291,1.2975,2.0116,2.0926,29.042,5.4734,8.4451,8.3904,0.5591,0.305,0.5754,0.3448,0.2968,2.7646,0.9082,0.9471,1.0781,3.5784,3.2359,3.7399,3.775,10.149,2.0507,2.0291,2.0132,2.047,2.009,6.3104,12.5774,4.2614,4.1774,4.1386,10.5101,2.1694,2.1269,2.104,2.0738,2.036,1.4291,0.0753,0.0153,0.026,0.0088,0.0203,1.4567,1.449,0.0735,0.0204,0.01,-128.16,13.1
DEDDEV,83.88,12.92,183.43,1.7,9.81,8.49,31.3,24.1,19.8,738.64,-4.1304,-2.6455,1.97,2.04,-0.12,-0.16,2.56,2.12,2.28,71.05,-0.4118,-0.2655,0.4718,0.1618,0.0837,2.8016,3.3117,1.2712,2.0728,1.964,29.0857,5.3576,8.373,8.4871,0.6155,0.2643,0.4722,0.3838,0.4195,2.7682,0.9821,0.9393,1.0037,3.5837,3.493,3.755,3.5248,10.1498,2.0301,2.0447,2.0267,2.0251,2.0233,6.3139,12.6075,4.2514,4.1954,4.1607,10.49,2.1465,2.1224,2.0966,2.083,2.0414,1.4404,0.0777,0.018,0.0215,0.0089,0.0217,1.4557,1.4198,0.0703,0.0146,0.0079,-172.28,20.6
DEJWUN,77.67,3.1,172.27,1.85,7.02,8.4,28.2,21.2,13.8,602.9,-4.6466,-2.5304,2.41,1.93,-0.31,0.08,2.53,1.97,2.36,71.05,-0.361,-0.268,0.4485,0.2097,0.2137,2.806,3.3899,1.2716,3.0305,2.1791,29.1099,5.3821,7.1508,8.3028,0.717,0.3169,0.3772,0.1734,0.4617,2.7634,0.8807,0.9579,1.0822,3.5965,3.2131,3.7632,3.823,10.1362,2.0468,2.0225,2.0086,2.0515,2.0069,6.3223,12.575,4.2683,4.1993,4.1073,10.4632,2.1704,2.122,2.0965,2.0503,2.024,1.2688,0.2391,0.028,0.0723,0.0238,0.0709,1.3867,1.4445,0.0802,0.0147,0.0091,-142.07,20.6
DEKKIO,85.21,0.24,193.04,1.7,7,7.32,33.2,21.3,10.7,573.06,-4.5472,-2.8485,2.05,1.95,-0.11,0.01,2.53,2.05,2.36,69.59,-0.4539,-0.2407,0.4456,0.0811,0.2452,3.1365,3.4096,1.2678,2.004,3.1964,29.2488,5.4076,8.4084,7.0732,0.7047,0.2943,0.3875,0.4533,0.49,2.7706,0.9852,0.9303,0.998,3.5914,3.5415,3.6795,3.5698,10.1513,2.0217,2.0445,2.0219,2.0258,2.0374,6.3065,12.6712,4.231,4.2386,4.2016,10.4758,2.0232,2.1315,2.1022,2.1268,2.0921,1.4409,0.07,0.0151,0.0209,0.0113,0.0139,1.0796,1.3003,0.2559,0.0414,0.0455,-172.89,18.1
DELZAW,74.91,6.73,193.54,2.13,6.58,6.38,35,24.1,10.6,543.44,-4.0569,-1.0707,2.04,2.45,-0.08,-0.27,2.68,2.14,2.18,76.73,-0.3892,-0.3164,0.5474,0.0773,0.1423,2.5317,3.454,1.3265,2.9883,2.0509,29.1671,5.481,7.2579,8.3388,0.4048,0.1843,0.7506,0.5688,0.1056,2.7675,1.0274,0.943,0.9857,3.5716,3.6413,3.6565,3.4071,10.1528,2.0242,2.0401,2.043,2.0224,2.0231,6.3424,12.5382,4.2457,4.1505,4.142,10.5082,2.1069,2.16,2.0981,2.0822,2.061,1.2946,0.2141,0.0322,0.0488,0.0343,0.0458,1.4532,1.4484,0.0694,0.0166,0.0244,-61.6,27.9
DEPDIL,82.57,13.63,181.29,1.52,12.5,11.33,31.8,22.5,15,812.28,-3.9313,-2.4328,1.99,2.02,-0.13,-0.15,2.58,2.19,2.23,71.43,-0.4287,-0.2823,0.5168,0.1337,0.0749,2.6581,3.3125,1.3002,2.0301,1.9918,29.0716,5.3881,8.4131,8.4501,0.5518,0.2087,0.5664,0.3548,0.4134,2.768,0.992,0.929,1.0184,3.5692,3.4621,3.7221,3.5478,10.1579,2.0303,2.045,2.0233,2.0291,2.0302,6.3147,12.5954,4.2549,4.1904,4.1501,10.5181,2.0948,2.1145,2.0861,2.1259,2.0968,1.429,0.0758,0.0162,0.0217,0.0088,0.024,1.4361,1.4195,0.071,0.0163,0.0087,-170.2,20.1
DEXGIW,91.96,0.37,211.83,1.46,6.76,7.03,36.2,26.9,15.5,604.82,-3.7778,-0.987,2.1,2.05,-0.09,-0.06,2.64,2.26,2.18,72.95,-0.4304,-0.2984,0.5339,0.159,0.1492,2.4347,3.525,1.2749,2.9153,2.0564,29.0573,5.5312,7.2265,8.4184,0.4043,0.1896,0.7203,0.4181,0.3071,2.7695,0.9277,0.9175,1.1024,3.5601,3.1448,3.7204,3.8499,10.1664,2.0619,2.0251,2.0104,2.0582,2.0108,6.3116,12.5669,4.252,4.1666,4.1483,10.5517,2.1623,2.1324,2.1041,2.0861,2.0668,1.2181,0.2196,0.0315,0.0626,0.0213,0.0731,1.4054,1.4212,0.0754,0.0179,0.0086,-142.51,18.7
DEYPAA,85.85,12.56,190.52,1.7,11.8,7.22,32.1,22.6,14.8,706.44,-3.8956,-2.0605,2,2,-0.1,-0.13,2.59,2.25,2.22,70.85,-0.4288,-0.2834,0.525,0.0585,0.1441,2.593,3.3214,1.2982,1.9979,2.0251,29.0652,5.4151,8.4649,8.4113,0.521,0.185,0.5969,0.4549,0.3482,2.7701,1.002,0.9388,1.0005,3.5668,3.5059,3.7473,3.4716,10.1592,2.0305,2.0462,2.0264,2.026,2.0301,6.3168,12.5898,4.2533,4.1825,4.154,10.5218,2.1531,2.1164,2.0894,2.0984,2.0645,1.4147,0.0712,0.0149,0.0238,0.0078,0.0211,1.3852,1.4464,0.0762,0.0178,0.0091,-176.52,19.9
DIBYOF,82.55,14.43,203.94,3.98,12.01,6.56,35.1,28.9,22.3,915.76,-4.1036,-1.8584,2.08,2,-0.19,-0.1,2.57,2.04,2.25,73.33,-0.4368,-0.2943,0.5073,0.0492,0.1171,2.9171,3.3732,1.3282,1.9659,3.1016,29.2022,5.3795,8.4949,6.8776,0.5812,0.2475,0.5394,0.4001,0.4189,2.7628,0.9005,0.9401,1.0976,3.5655,3.1863,3.7192,3.8371,10.1613,2.0385,2.0192,2.0161,2.0715,2.0159,6.3071,12.6187,4.2258,4.2136,4.1793,10.5105,2.0708,2.119,2.1021,2.1051,2.1137,1.4416,0.069,0.0148,0.0194,0.008,0.0233,1.1247,1.3339,0.3257,0.0563,0.0556,-128.7,49.7
DIBZAQ02,63.63,0.43,158.66,1.7,5.99,10.2,24.3,14.3,9.3,640.4,-3.903,-3.0034,2.16,1.97,-0.12,0.08,2.56,2.04,2.25,72.99,-0.3696,-0.3021,0.4986,0.0789,0.1052,2.6725,3.4674,1.3336,1.9641,2.0326,29.109,5.4581,8.4804,8.441,0.6343,0.3413,0.5333,0.269,0.4715,2.7619,0.9141,0.9526,1.0779,3.5709,3.2455,3.7386,3.7674,10.1552,2.0499,2.0307,2.0135,2.0514,2.0096,6.3133,12.5703,4.2601,4.1964,4.1138,10.4855,2.178,2.1171,2.0921,2.0714,2.0269,1.4847,0.0682,0.008,0.0257,0.0086,0.0181,1.435,1.5541,0.0735,0.0045,0.009,-93.17,19.2
DIGCAY,65.66,0.72,205.15,2.51,7.85,6.91,35.8,28,16.4,633.61,-3.8738,-1.415,2.04,2.04,-0.04,-0.04,2.63,2.25,2.2,72.48,-0.4279,-0.2919,0.5459,0.186,0.1724,2.7447,3.5288,1.3308,2.9139,2.8863,29.2428,5.4973,7.1294,7.1839,0.449,0.1617,0.6983,0.4189,0.4332,2.7689,0.9214,0.9209,1.1011,3.5643,3.1707,3.704,3.8273,10.1639,2.0626,2.0262,2.0114,2.0531,2.0106,6.3085,12.6018,4.2568,4.1816,4.1634,10.5172,2.1759,2.1013,2.0891,2.1045,2.0464,1.2676,0.2249,0.0172,0.08,0.0252,0.0587,1.2071,1.2999,0.2282,0.0175,0.0232,-145.96,23.1
DISYAH,88.76,5.26,212.71,2.28,10.97,8.23,40.5,29.5,18.2,864.84,-4.0957,-1.7419,2.04,2.1,-0.12,-0.11,2.62,2.03,2.28,74.52,-0.4435,-0.2811,0.4834,0.1563,0.1682,3.026,3.3514,1.3251,2.0898,2.9373,29.2208,5.314,8.3356,7.1892,0.5915,0.2588,0.5267,0.3083,0.4842,2.7624,1.0753,0.9444,0.9102,3.5926,3.7527,3.7095,3.2913,10.1499,2.0219,2.0292,2.0309,2.0173,2.0505,6.3052,12.6106,4.2376,4.2029,4.1701,10.5273,2.1209,2.1437,2.0849,2.0842,2.0937,1.4074,0.0755,0.02,0.0045,0.0309,0.0032,1.217,1.2578,0.2136,0.0304,0.0418,-125.36,20.4
DIVLOM,81.99,0.36,196.13,1.84,8.54,15.39,35.4,25.5,15,905.1,-4.4437,-2.7387,2.1,1.98,-0.07,0.04,2.54,1.99,2.4,70.14,-0.431,-0.2388,0.4265,0.2504,0.2489,3.2526,3.1884,1.2918,3.1728,3.246,29.3609,5.2596,7.1065,6.9891,0.7457,0.262,0.3831,0.4729,0.5524,2.7659,1.0702,0.9507,0.885,3.605,3.7697,3.7334,3.3082,10.1384,2.0162,2.0329,2.0322,2.0126,2.0445,6.3017,12.6951,4.2504,4.2373,4.2074,10.4338,2.0786,2.1244,2.1012,2.0801,2.0494,1.2149,0.2451,0.0331,0.0757,0.0211,0.0765,1.0624,1.2994,0.2533,0.0235,0.0225,-154.54,23.8
DIWJAV,81.3,-0.92,191.21,2.59,8.08,9.34,34.1,29.1,20.6,735.82,-3.8083,-0.9572,2.11,2.11,-0.14,0.04,2.59,2.3,2.21,70.17,-0.4426,-0.2791,0.5415,0.1033,0.2075,2.4608,3.4528,1.3038,2.8408,2.1202,29.1152,5.4904,7.3293,8.329,0.4797,0.1502,0.686,0.4417,0.2782,2.7709,0.9152,0.921,1.098,3.5616,3.2183,3.6802,3.8101,10.1638,2.0604,2.0261,2.0156,2.0514,2.0103,6.3266,12.5692,4.2616,4.1645,4.143,10.5465,2.1596,2.1328,2.108,2.0928,2.0533,1.2007,0.2021,0.0283,0.0506,0.027,0.0582,1.3389,1.4774,0.0756,0.0118,0.0089,-166.36,37.3
DIYPUX,83.1,1.48,191.81,1.98,6.15,7.65,32.2,24.1,15.3,647.86,-4.0308,-1.7216,2.01,2.04,-0.03,-0.07,2.6,2.26,2.21,71.13,-0.4509,-0.2852,0.5483,0.1905,0.1646,2.6695,3.4439,1.3297,3.0806,2.0774,29.1932,5.4554,7.1251,8.3976,0.5118,0.1648,0.6407,0.5102,0.3614,2.7704,0.9871,0.9411,1.0122,3.5606,3.4558,3.7385,3.5081,10.1642,2.0349,2.0454,2.0253,2.031,2.0276,6.3117,12.6145,4.2576,4.1881,4.1689,10.5244,2.167,2.1225,2.0996,2.0622,2.0732,1.3002,0.2336,0.0229,0.0795,0.0201,0.0592,1.3625,1.4185,0.0755,0.0161,0.0083,-159.02,22
DIYYUH,88.46,7.9,185.9,1.52,8.81,7.06,31.6,21.5,13.3,648.24,-3.8413,-1.5449,2.02,2.02,-0.08,-0.12,2.58,2.3,2.21,69.74,-0.4564,-0.2802,0.5319,0.073,0.1288,2.4829,3.3723,1.3126,2.0007,2.028,29.0196,5.4387,8.3925,8.4372,0.5215,0.1746,0.6183,0.4027,0.3196,2.7722,0.9963,0.9248,1.0173,3.5612,3.4572,3.7385,3.5223,10.164,2.0327,2.0472,2.0253,2.0299,2.0289,6.3206,12.5913,4.254,4.1769,4.1604,10.5441,2.1364,2.1228,2.0983,2.1011,2.0855,1.4345,0.0697,0.0143,0.0229,0.0086,0.0208,1.3975,1.4301,0.0747,0.0165,0.0086,-184.58,18.8
DMGUAN10,86.6,-2.89,175.52,1.71,7.08,9.97,29,19.5,14.2,724.07,-4.0287,-1.0463,2.29,2.1,-0.34,0.35,2.58,2.35,2.2,69.19,-0.4197,-0.2807,0.6043,0.1952,0.1388,2.2556,3.5632,1.3693,3.0193,2.084,29.0465,5.5717,7.2751,8.3987,0.5023,0.1309,0.7314,0.2353,0.3329,2.772,0.9348,0.9235,1.0797,3.5517,3.2512,3.6717,3.74,10.1565,2.0492,2.0314,2.0182,2.046,2.0116,6.3266,12.5302,4.2575,4.1469,4.1257,10.5626,2.1641,2.1274,2.1008,2.0999,2.0704,1.2864,0.2322,0.0256,0.0652,0.0191,0.0691,1.412,1.4917,0.0732,0.0103,0.0087,-100.83,28.8
DOBBUS,83.84,9.8,183.58,2.21,8.15,10.23,35.9,27.9,19.4,726.06,-3.9869,-1.3802,2.09,2.19,-0.15,-0.22,2.6,2.21,2.23,71.81,-0.4624,-0.2771,0.5493,0.2074,0.0938,2.518,3.4934,1.3149,2.087,1.9719,29.0599,5.4925,8.3452,8.4331,0.4996,0.2026,0.6803,0.2874,0.2714,2.7681,0.9485,0.9452,1.0409,3.5701,3.4,3.7154,3.5864,10.1557,2.042,2.0381,2.028,2.0328,2.0147,6.3283,12.5647,4.2607,4.1657,4.1384,10.5691,2.1714,2.1648,2.1034,2.0921,2.0374,1.3921,0.0738,0.0194,0.0194,0.0109,0.0158,1.4815,1.4589,0.0689,0.0167,0.0092,-154.64,15.3
DOJMEW,81.11,11.82,176.15,1.95,13.41,12.72,30.4,22.3,14.8,873.87,-3.9052,-1.8337,2.07,2.05,-0.12,-0.14,2.58,2.33,2.19,69.52,-0.454,-0.2869,0.581,0.1759,0.0799,2.3055,3.4047,1.3403,2.0651,1.9777,29.0018,5.4831,8.3616,8.4733,0.5037,0.1419,0.6756,0.2691,0.3351,2.7705,1.0692,0.9196,0.9553,3.5513,3.7053,3.7273,3.2471,10.1622,2.0224,2.039,2.0384,2.0165,2.046,6.3232,12.5665,4.2267,4.1745,4.1654,10.5639,2.0961,2.0982,2.1293,2.1549,2.0853,1.4441,0.0739,0.0189,0.02,0.0094,0.0183,1.4302,1.4514,0.0716,0.0149,0.011,-151.19,19.9
DOQWEN,100.57,0.57,210.46,1.95,7.59,5.84,36.2,28.2,18.3,646.74,-3.9932,-2.0438,2.06,2.17,-0.11,-0.16,2.6,2.05,2.24,74.4,-0.4341,-0.295,0.4924,0.0829,0.0236,2.6623,3.5767,1.2726,1.8803,1.9038,29.0263,5.4979,8.5239,8.5425,0.5086,0.3117,0.6213,0.3045,0.3098,2.7638,0.9145,0.939,1.0848,3.5746,3.1968,3.762,3.8003,10.1517,2.0485,2.0266,2.013,2.0535,2.01,6.3108,12.5758,4.2537,4.1872,4.1348,10.5472,2.1679,2.1512,2.1024,2.0569,2.0688,1.5163,0.0748,0.0154,0.0199,0.0106,0.0169,1.5036,1.4908,0.0673,0.0118,0.0077,-92.69,14
DOQZIU,81.31,0.8,194.77,1.83,9.71,15.02,35.6,25.7,15.5,865.3,-4.4456,-2.0139,2.09,1.98,-0.07,0.04,2.56,2,2.35,71.39,-0.4317,-0.2538,0.4581,0.2482,0.242,3.2052,3.2015,1.3175,3.178,3.2312,29.3472,5.2627,7.1059,7.0041,0.7091,0.2425,0.4332,0.4676,0.5492,2.7649,1.0704,0.9509,0.8939,3.5966,3.7587,3.729,3.2929,10.1445,2.0172,2.034,2.0332,2.0133,2.0468,6.2984,12.6869,4.2523,4.231,4.2036,10.446,2.0826,2.1199,2.1104,2.0817,2.0514,1.217,0.2487,0.0349,0.0765,0.0207,0.0768,1.0619,1.2991,0.2553,0.0244,0.0217,-145.95,24.8
DOTRUZ,82.83,13.99,178.35,1.59,6.73,7.17,30.8,21.9,12.3,572.4,-3.8888,-1.0714,2.09,2.02,-0.21,-0.1,2.59,2.32,2.2,69.79,-0.4316,-0.2853,0.5513,0.148,0.0473,2.3497,3.3829,1.3258,2.0668,1.876,29.0168,5.4652,8.385,8.552,0.5112,0.1454,0.6497,0.2769,0.3902,2.7721,0.9752,0.9367,1.0319,3.5598,3.3884,3.7395,3.5745,10.1614,2.0374,2.0437,2.022,2.0356,2.0228,6.3244,12.5623,4.2592,4.1711,4.132,10.5445,2.1673,2.1222,2.0835,2.0906,2.0809,1.4439,0.0738,0.0161,0.0226,0.0081,0.0221,1.4961,1.4141,0.0729,0.0173,0.0083,-158.96,17.9
DOWROY,79.68,1.59,204.17,1.75,9.77,8.36,37.6,27.4,15,690.2,-4.0562,-1.6302,2.1,2.03,-0.07,-0.03,2.61,2.13,2.2,73.98,-0.446,-0.2986,0.5393,0.157,0.2301,2.8034,3.5211,1.2984,2.919,3.1616,29.1901,5.4701,7.2062,7.0763,0.454,0.2352,0.668,0.4171,0.4495,2.7635,0.9145,0.9338,1.096,3.5594,3.1696,3.7184,3.8237,10.1655,2.0636,2.025,2.0119,2.0544,2.0105,6.3024,12.6075,4.26,4.1918,4.1558,10.5358,2.1794,2.1276,2.1121,2.0797,2.037,1.2554,0.2101,0.0267,0.0625,0.0215,0.07,1.1008,1.2421,0.2508,0.0293,0.0223,-85.21,23.6
DUBHUF,80.14,10.43,184.72,1.93,10.94,8.57,31.6,23.2,16,767.4,-4.4136,-2.6685,2.01,2.22,-0.08,-0.21,2.56,2.01,2.34,71.73,-0.4128,-0.2686,0.4402,0.1659,0.1713,2.8509,3.4636,1.2953,1.9586,2.074,29.1302,5.4477,8.4556,8.3467,0.6979,0.3435,0.4111,0.2909,0.1939,2.77,1.0321,0.9611,0.9452,3.597,3.6983,3.719,3.3754,10.1489,2.0146,2.0506,2.0316,2.0142,2.0379,6.3206,12.6,4.2291,4.2093,4.1616,10.4917,1.9845,2.1129,2.1716,2.1492,2.0736,1.4236,0.0775,0.016,0.0218,0.0094,0.0261,1.3683,1.4377,0.0697,0.0169,0.0088,-136.83,13
DUBJAN,83.68,5.37,208.61,2.33,9.57,8.7,37.7,28,17.8,721.79,-3.8879,-2.263,2.03,2.1,-0.02,-0.15,2.63,2.16,2.19,74.63,-0.4443,-0.3089,0.5405,0.1547,0.1702,2.6983,3.4747,1.3085,2.9991,2.0978,29.1424,5.4863,7.1445,8.3447,0.4518,0.2186,0.6965,0.4267,0.2809,2.7648,0.931,0.9377,1.0839,3.5566,3.2246,3.655,3.8277,10.1708,2.0663,2.0253,2.0111,2.0502,2.018,6.3045,12.5616,4.2412,4.1844,4.136,10.5779,2.1447,2.1388,2.1228,2.111,2.0605,1.176,0.2295,0.0447,0.0601,0.0295,0.062,1.4033,1.404,0.0728,0.0204,0.0099,-75.45,18.5
DUDFOY,103.02,3.97,191.27,1.7,8.55,11.67,35.2,23.9,12.9,704.45,-4.1458,-1.0971,2.19,2.17,-0.19,-0.14,2.64,2.31,2.18,72.07,-0.4321,-0.2997,0.5994,0.1322,0.1502,2.2192,3.558,1.3473,2.0711,2.0673,29.0296,5.5422,8.4105,8.3875,0.4564,0.1708,0.7485,0.2479,0.2431,2.7701,0.9433,0.9266,1.0843,3.5576,3.1488,3.7403,3.7766,10.1532,2.0443,2.0294,2.0132,2.0524,2.0139,6.3243,12.5171,4.2287,4.1655,4.123,10.5905,2.1707,2.1257,2.0853,2.083,2.1259,1.4459,0.0715,0.015,0.0205,0.0082,0.0249,1.3899,1.4398,0.0728,0.0179,0.0085,-138.98,17.3
DUGCOA,93.78,8.48,193.34,2,10.85,9.72,29.5,21.5,16.2,766.19,-5.0085,-1.7074,2,2.17,-0.03,-0.23,2.53,1.87,3.35,48.63,-0.3956,-0.1438,-0.1156,0.1676,0.0661,3.1677,3.0039,0.6599,2.1364,1.968,29.2183,5.1641,8.324,8.5321,0.7257,0.3365,-0.1794,0.4305,0.325,2.7601,0.8875,0.8953,1.0384,3.6817,3.7031,3.8208,3.8494,10.0537,2.0141,2.0112,2.006,2.0159,2.0065,6.3316,12.6515,4.274,4.2131,4.1644,10.4119,2.0559,2.1508,2.0618,2.0477,2.0958,1.4251,0.0727,0.0186,0.0207,0.0089,0.0184,1.4684,1.4212,0.0681,0.0175,0.0082,-159.53,5.1
DUJQOP,82.92,11.25,179.09,1.7,6.59,8.15,30.1,20.1,11,584.41,-3.9103,-2.0001,1.94,2.17,-0.04,-0.18,2.58,2.21,2.2,71.59,-0.4203,-0.2965,0.5454,0.12,0.1227,2.5047,3.4131,1.3276,2.0306,2.0549,29.0472,5.442,8.4134,8.4016,0.541,0.2231,0.6209,0.4683,0.2271,2.7675,0.9519,0.9416,1.0535,3.5583,3.307,3.7398,3.6646,10.1598,2.0397,2.0407,2.0173,2.0443,2.0178,6.3195,12.5717,4.2602,4.1846,4.1269,10.5288,2.1692,2.1227,2.0875,2.076,2.0734,1.4125,0.0777,0.0189,0.024,0.0085,0.0225,1.4041,1.4354,0.0707,0.0168,0.0083,-145.15,19.8
