Identifier,Index,Chemical Name,Structure File,Coord Atoms,Freq,rmsd
FIZDEX,1,"2-Azido-3,4-O-(R)-benzylidene-2-deoxy-D-ribono-1,5-lactone",FIZDEX.mol,"[15, 17]",1,0.347229043
IGEGEI,1,ethyl 7-((4-methoxyphenyl)ethynyl)-2-oxo-2H-chromene-3-carboxylate,IGEGEI.mol,"[38, 39]",1,0.347279582
MENDUF,1,Ethyl 1-acetyl-3-amino-1H-pyrazole-4-carboxylate,MENDUF.mol,"[16, 3]",1,0.347562477
PEZPOB,1,"N,N',N'',N'''-4H,4'H-3,3'-Bi-1,2,4-triazole-4,4',5,5'-tetrayltetraacetamide dihydrate",PEZPOB.mol,"[13, 19]",1,0.347653891
HIFZUR,1,"1,5-Diphenylbiuret phenyl carbamidonitrile",HIFZUR.mol,"[8, 11]",1,0.347937612
AFLATC,1,Aflatoxin B1 chloroform solvate,AFLATC.mol,"[29, 30]",1,0.348010795
IJUVIS,1,"2-(But-3-en-1-yloxycarbonyl)-9,9-dimethyl-9H-(1,3)thiazolo(3,2-a)indol-4-ium-3-olate",IJUVIS.mol,"[15, 18]",1,0.34851181
PBEGAN,1,"Sodium 1-phenylbutane-1,3-dionate ethylene glycol",PBEGAN.mol,"[19, 20]",1,0.348747839
CAHYES,1,"bis(5-amino-1-(2H-tetrazol-5-yl)-1H-1,2,4-triazol-4-ium) sulfate monohydrate",CAHYES.mol,"[14, 4]",1,0.349100363
GEKROG,1,"2,6-bis(2-hydroxyethyl)-1-phenyl-2,6-dihydroimidazo[1,5-c]quinazoline-3,5-dione",GEKROG.mol,"[43, 44]",1,0.349440882
BOWZES,1,(Z)-N-Benzyl-α-methoxycarbonylmethanimine N-oxide,BOWZES.mol,"[6, 3]",1,0.349638625
WOKPAO,1,"8,9-dimethoxy-1,2-dimethyl-3H,5H-dipyrrolo[1,2-c:2',1'-f]pyrimidine-3,5-dione",WOKPAO.mol,"[29, 30]",1,0.35104628
LAQSIG,1,Methyl N-acetyloxalamate,LAQSIG.mol,"[15, 16]",1,0.351982097
DACNAP,1,bis(Diacetamide) sodium perchlorate,DACNAP.mol,"[12, 13]",1,0.354897696
JAWVAE,1,"6H,7H-(1)Benzopyrano(4,3-b)(1)benzopyran-6,7-dione",JAWVAE.mol,"[11, 8]",1,0.355260933
ZIBCOE,1,"Diaminoguanidinium 1'-hydroxy-1H,1'H-5,5'-bi-tetrazol-1-olate monohydrate",ZIBCOE.mol,"[7, 3]",1,0.355738179
XUNCUE,1,2-Guanidinobenzimidazole phthalimide,XUNCUE.mol,"[9, 8]",1,0.355946596
QUXZOA,1,N-((1Z)-(benzylamino)((4-methoxyphenyl)amino)methylene)benzamide,QUXZOA.mol,"[44, 41]",1,0.355950248
DUBGOZ,1,"4-amino-2-benzyl-2-methyl-6-(naphthalen-2-yl)-1,3-dioxo-2,3-dihydro-1H-indene-5-carbonitrile",DUBGOZ.mol,"[48, 46]",1,0.35619723
NEKRUT,1,"3-[(hydroxyimino)methyl]-2H-furo[2,3-c]pyran-2-one",NEKRUT.mol,"[6, 2]",1,0.357018044
BUYHIO,1,3-(Di-isopropylamino)-12-hydroxyandrost-5-en-17-one,BUYHIO.mol,"[2, 6]",1,0.357337008
IYIYAR,1,"3-((2,4-Dinitrophenyl)amino)-2-oxopyrrolidine-1-carboxamide methanol solvate",IYIYAR.mol,"[25, 20]",1,0.357564233
QIMFAT,1,"Methyl 4-amino-2,3-dihydro-1,3-dioxo-6-methoxy-1H-pyrrolo(3,4-c)pyridine-7-carboxylate",QIMFAT.mol,"[4, 7]",1,0.358398991
ROWJEU,1,1-Hydroxy-6-methoxy-9H-fluoren-9-one,ROWJEU.mol,"[23, 24]",1,0.359285321
IRADUC,1,"N-nitro-4-(5-(nitroimino)-4,5-dihydro-1H-1,2,4-triazol-3-yl)-1,2,5-oxadiazol-3-amine monohydrate",IRADUC.mol,"[9, 6]",1,0.359933268
MAVMIF,1,"(9R,16R:9S,16S)-9,16-Dimethyl-8-aza-D-homogona-12,17a-dione",MAVMIF.mol,"[20, 21]",1,0.36060941
VECKEU,1,"Morpholinium 1,1,1,5,5,5-hexafluoro-2,4-pentanedionate",VECKEU.mol,"[12, 13]",1,0.361633708
BIURSR,1,tetrakis(Biuret) strontium(ii) perchlorate,BIURSR.mol,"[5, 6]",1,0.361675197
HIVSUB,1,Ethyl 3-amino-1H-pyrazole-4-carboxylate,HIVSUB.mol,"[11, 7]",1,0.362716591
ROHPUB,1,"11-Methoxy-6H,7H-chromeno[4,3-b]chromene-6,7-dione",ROHPUB.mol,"[28, 29]",1,0.363114507
NABSUI,1,"5-amino-3-(4-amino-1,2,5-oxadiazol-3-yl)-1H-pyrazole-4-carbonitrile",NABSUI.mol,"[10, 9]",1,0.363543145
FELLAK,1,"Methyl 8-ethyl-1,3,7-trimethylpyrrolo(3,2-f)indolizine-4,6-dione-2-carboxylate dimethylsulfoxide solvate",FELLAK.mol,"[37, 38]",1,0.364681512
FOGVIG08,1,"3-[({2-[(diaminomethylidene)amino]-1,3-thiazol-4-yl}methyl)sulfanyl]-N'-sulfamoylpropanimidamide",FOGVIG08.mol,"[18, 25]",1,0.365087996
ZUGNAS,1,"(10R,6R,7R)-6,7-Dihydroxy-10-methyloxecane-2,4-dione",ZUGNAS.mol,"[26, 27]",1,0.366041855
DULKUR,1,"Dimethylammonium 6-cyano-1,3-dimethyl-2,4,5-trioxo-1,3,4,5-tetrahydro-2H-pyrido[2,3-d]pyrimidin-8-ide",DULKUR.mol,"[21, 20]",1,0.366230689
HEGKUB,1,"Ethyl 1-hydroxy-4-(2-hydroxyphenyl)-2,5-dioxopyrrolidine-3-carboxylate monohydrate",HEGKUB.mol,"[19, 3]",1,0.368264307
POJTOZ,1,Ethyl 5-(4-methoxyphenyl)-6-(2-(4-methoxyphenyl)vinyl)-2-oxo-2H-pyran-3-carboxylate,POJTOZ.mol,"[50, 49]",1,0.368802187
GUVZON,1,8-Methoxy-2-oxo-2H-chromene-3-carboxylic acid,GUVZON.mol,"[19, 20]",1,0.369535473
MXOXFC,1,"Dimethyl 2,5-dimethoxy-3-oxo-2,3-dihydro-furan-2,4-dicarboxylate",MXOXFC.mol,"[11, 15]",1,0.369582418
VEWMOA,1,(2E)-1-Ethyl 8-methyl 7-(2-(benzyloxycarbonyl)hydrazono)oct-2-enedioate,VEWMOA.mol,"[7, 3]",1,0.370948753
CEDPAF,1,amino(carbamoylamino)methaniminium 4-methylbenzene-1-sulfonate,CEDPAF.mol,"[1, 5]",1,0.371296605
ZAHNOO,1,"2-oxo-1,2,5,6,7,8,9,10-octahydrocycloocta[b]pyridine-3-carboxamide",ZAHNOO.mol,"[3, 6]",1,0.372626055
GOSFIG,1,"ethyl 6-methyl-5-[(4-methylphenyl)carbamoyl]-2-oxo-1,2-dihydropyridine-3-carboxylate",GOSFIG.mol,"[3, 32]",1,0.374102252
YIMXIE,1,"3-(4-amino-1,2,5-oxadiazol-3-yl)-1,2,4-oxadiazol-5(4H)-one monohydrate",YIMXIE.mol,"[4, 9]",1,0.375062785
KIYQEO,1,"1-(5-(2-(Trifluoromethyl)phenyl)-1,3,4-thiadiazol-2-yl)guanidinium chloride",KIYQEO.mol,"[2, 25]",1,0.37532283
LAFSES,1,Dimethyl (diphenylsulfanylidene)malonate,LAFSES.mol,"[33, 34]",1,0.376130244
CAPKAF,1,5-Guanidiniocarbonyl-1H-pyrrole-2-carboxylic acid chloride dihydrate,CAPKAF.mol,"[13, 10]",1,0.376784731
WIVGIU,1,"potassium [4-amino-5-(1,3-benzothiazol-2-yl)-6-(methylsulfanyl)pyrimidin-2-yl](phenylsulfonyl)azanide N,N-dimethylformamide solvate hemihydrate",WIVGIU.mol,"[35, 36]",1,0.377782864
XIDQEH,1,"3,6-diguanidino-1,2,4,5-tetrazine bis(2,4,5-trinitroimidazolate)",XIDQEH.mol,"[5, 10]",1,0.378517505
RASTUD,1,"4-(5-(nitroimino)-4,5-dihydro-1H-1,2,4-triazol-3-yl)-1,2,5-oxadiazol-3-amine N,N-dimethylformamide solvate",RASTUD.mol,"[4, 13]",1,0.378759662
KORROB,1,"N3,N6-bis(1H-tetrazol-5-yl)-1,2,4,5-tetrazine-3,6-diamine dimethyl sulfoxide solvate",KORROB.mol,"[9, 2]",1,0.379319237
PEPQUX,1,"3,5-dioxo-1-(2-hydroxy-5-methoxyphenyl)-1H-imidazo[3,4-b]isoindole monohydrate",PEPQUX.mol,"[3, 6]",1,0.37966435
FOMFAQ,1,"amino(2-((4-methyl-5-oxido-1,2,5-oxadiazol-3-yl)methylene)hydrazino)methaniminium 5-(4-amino-1,2,5-oxadiazol-3-yl)tetrazol-1-ide monohydrate",FOMFAQ.mol,"[2, 5]",1,0.379802499
CXHIMZ20,1,"trans-1-Carbamoyl-imidazolidinone-4,5-diol",CXHIMZ20.mol,"[14, 13]",1,0.380385011
PAZSAN,1,"1-cyclopropyl-7-((3S,5R)-3,5-dimethylpiperazin-4-ium-1-yl)-5,6,8-trifluoro-4-oxo-1,4-dihydroquinoline-3-carboxylate hemihydrate",PAZSAN.mol,"[2, 38]",1,0.380930552
HEZVIS,1,"4-benzyloxy-7-hydroxy-2-methyl-2,3-dihydro-1-isoindolone",HEZVIS.mol,"[2, 18]",1,0.381297644
KAVFES,1,"Hydrazinium 1-amino-4-ethoxycarbonyl-1H-1,2,3-triazole-5-thiol",KAVFES.mol,"[5, 8]",1,0.382222982
VIQYUS,1,"bis(ammonium) 5-[4-(dinitromethanidyl)-2-oxo-1,2,5-oxadiazol-3-yl]tetrazol-1-ide",VIQYUS.mol,"[14, 11]",1,0.382431292
DUBHOZ,1,"7-(Diethylamino)-N-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)-2-oxo-2H-chromene-3-carboxamide",DUBHOZ.mol,"[46, 47]",1,0.38249469
KEBJIM,1,"3-(phenyldiazenyl)pyridine-2,6-diamine 1H-isoindole-1,3(2H)-dione",KEBJIM.mol,"[5, 2]",1,0.383392807
QUSKOG,1,"2-cyclohexyl-4,7-dihydroxy-1H-isoindole-1,3(2H)-dione",QUSKOG.mol,"[15, 16]",1,0.383428141
FUGLEA,1,"1-(3,5-diamino-1H-1,2,4-triazol-1-yl)ethanone",FUGLEA.mol,"[16, 15]",1,0.383745749
PAPREE,1,"Ethyl 1-(2,6-dimethylphenyl)-2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",PAPREE.mol,"[34, 35]",1,0.384575698
JAKHEI,1,1-Amidino-3-(3-sulfamoylphenyl)uronium chloride,JAKHEI.mol,"[13, 10]",1,0.384688154
PPDCAE,1,"bis(1,3-Diphenyl-1,3-propanedionate) calcium hemiethanolate",PPDCAE.mol,"[26, 27]",1,0.386084679
YAGNAW,1,"Pyrimido(5,4-c)quinoline-4,5(3H,6H)-dione methanoic acid solvate",YAGNAW.mol,"[5, 9]",1,0.386192067
KECMOU,1,"4-Amino-3-imino-5,6-bis(methoxycarbonyl)-1-(1,2-bis(methoxycarbonyl)ethenyl)-1-methyl-2-phenyl-1,3-dihydroisoindole",KECMOU.mol,"[26, 27]",1,0.386849778
OFEJUG01,1,phenazopyridine salicylic acid,OFEJUG01.mol,"[9, 3]",1,0.386863163
SECBEI,1,"2,3-Dimethoxy-8-azagona-1,3,5(10),13-tetraene-12,17-dione",SECBEI.mol,"[40, 41]",1,0.388111617
VEHQUU,1,"(+)-(2R,3S,4R)-3-(Dimethylphenylsilyl)-2-(hydroxymethyl)-4-((1R)-1-hydroxyethyl)-5-pyrrolidinone",VEHQUU.mol,"[4, 13]",1,0.388197614
PONTOB,1,"6-Carbamoyl-2,2-dimethyl-9-(2,4-dimethoxyphenyl)-1,2-dihydropurine",PONTOB.mol,"[6, 13]",1,0.388879217
KHXBIU,1,Potassium bis(3-hydroxybiuret),KHXBIU.mol,"[12, 7]",1,0.389206354
PINSEM,1,"Methyl 4-(2-(4-methylbenzylidene)hydrazino)-5-oxo-2-phenyl-2,5-dihydro-1H-pyrrole-3-carboxylate",PINSEM.mol,"[17, 0]",1,0.389228651
QULZAY,1,3-Amino-1-((ethoxycarbonylmethyl)thiocarbamoyl)-1H-pyrazole-4-carboxylic acid ethyl ester,QULZAY.mol,"[32, 26]",1,0.390185454
NAVLED,1,(3-(Amino)-1-(hydroxy)-2-((4-methoxyphenyl)diazenyl)but-2-en-1-iminiumato)(diphenyl)boron,NAVLED.mol,"[3, 5]",1,0.390402151
BIVXEJ,1,"2,2,8,9-Tetramethyl-1,2-dihydropurine-6-carboxamide",BIVXEJ.mol,"[6, 10]",1,0.390583576
FIJTAV01,1,4-(carbamoylamino)-4-oxobut-2-enoic acid,FIJTAV01.mol,"[15, 11]",1,0.391115883
DOMHUL,1,"4-ethyl-7-hydroxy-3-methyl-2,3-dihydro-1H-inden-1-one",DOMHUL.mol,"[27, 25]",1,0.391260834
LEDQES,1,N-Carbamoyl-5-cyano-6-(phenylsulfanyl)nicotinamide,LEDQES.mol,"[28, 25]",1,0.39146938
RETJEG,1,"1,2-bis(4-((1-methyl-3-oxobutylidene)amino)phenyl)ethane",RETJEG.mol,"[27, 26]",1,0.392060565
GETZUB,1,"2-(2H-1,2,3-Benzotriazol-2-yl)-4-(2,4,4-trimethylpentan-2-yl)phenol",GETZUB.mol,"[3, 0]",1,0.392768109
ARIXUV,1,"5-(3-Methylphenyl)-3,6-diphenyltetrahydro-1H-pyrazolo[1,2-a]pyridazine-1,8(5H)-dione",ARIXUV.mol,"[52, 53]",1,0.392923414
OXTETK,1,Di-potassium oxytetracycline dihydrate methanol solvate,OXTETK.mol,"[1, 4]",1,0.393306526
YAJVEN,1,"bis(2-(2H-benzotriazol-2-yl)-4-methylphenol) 1,2,4,5-tetrafluoro-3,6-di-iodobenzene",YAJVEN.mol,"[13, 0]",1,0.394353964
PUHCUT,1,"ethyl 2,5-dioxo-1,2,4,5,6,7,8,9-octahydrobenzo[4,5]thieno[3,2-e]pyrrolo[1,2-a]pyrimidine-3-carboxylate",PUHCUT.mol,"[32, 25]",1,0.396814527
JEGVOG,1,Cerpegin,JEGVOG.mol,"[10, 2]",1,0.397168461
VAXQUI,1,"bis(2-Oxo-2H-chromene-3-carboxylic acid) 4,4'-bipyridine",VAXQUI.mol,"[16, 18]",1,0.399838487
KOLREK,1,"3,4-Dihydro-1H-xanthene-1,9(2H)-dione",KOLREK.mol,"[1, 24]",1,0.400425729
QUCXIW,1,"5-Amino-4-cyano-3-(4-methoxyphenyl)-N-(1-naphthylcarbamoyl)-2,3-dihydrothiophene-2-carboxamide N,N-dimethylformamide",QUCXIW.mol,"[49, 16]",1,0.400882315
TIJWEQ,1,"Methyl 6-(4-hydroxy-6-methoxy-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enoate",TIJWEQ.mol,"[13, 2]",1,0.401048845
SIVYUR,1,"1-Ethyl-6-methyl-7-phenyl-3H-pyrrolo(1,2-c)imidazole-3,5(2H)-dione",SIVYUR.mol,"[15, 16]",1,0.402695446
AQINAP,1,"3-t-butyl 1,2-dimethyl pyrrolo[1,2-b]cinnoline-1,2,3-tricarboxylate hydrate",AQINAP.mol,"[1, 7]",1,0.403090271
IFUDIW,1,Isopestacin,IFUDIW.mol,"[17, 15]",1,0.403416153
XYANAC07,1,"2-((2,3-dimethylphenyl)amino)benzoic acid",XYANAC07.mol,"[3, 5]",1,0.403896938
XAVTEW,1,"6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enoic acid N-(pyridin-2-yl)pyridin-2-amine",XAVTEW.mol,"[39, 36]",1,0.404717671
VUDVEX,1,bis(1H-Benzotriazol-1-yl)methanethione,VUDVEX.mol,"[2, 5]",1,0.405963617
JIPSAF,1,"N-(4-nitro-1,2,5-oxadiazol-3-yl)[1,2,4]triazolo[4,3-b][1,2,4,5]tetrazin-6-amine",JIPSAF.mol,"[14, 7]",1,0.407346213
YOVBOD,1,"2-[5-(1,3-benzothiazol-2-yl)-1,3,4-oxadiazol-2-yl]-5-(diethylamino)phenol",YOVBOD.mol,"[38, 41]",1,0.408288587
ODIHEP,1,"Methyl 2-(4'-hydroxy-6'-methoxy-7'-methyl-3'-oxo-1',3'-dihydroisobenzofuran-5'-yl)ethanoate",ODIHEP.mol,"[29, 26]",1,0.410215972
TETCYH10,1,Tetracycline hexahydrate,TETCYH10.mol,"[1, 4]",1,0.41026814
QILFIC,1,"1-(3,5-Difluorophenyl)-4,4,4-trifluorobutane-1,3-dione",QILFIC.mol,"[20, 21]",1,0.411831402
SUCROS11,1,Sucrose,SUCROS11.mol,"[35, 39]",1,0.411901214
MEDRIY,1,"8-Isopropyl-5a,7a-dimethyl-2,3,10-trioxo-3,4,5,5a,6,7,7a,8,9,10-decahydro-2H-1-oxabenzo[cd]cyclopenta[h]azulen-9-yl acetate",MEDRIY.mol,"[27, 26]",1,0.412803042
DUZROG,1,"3-Amino-1-methyl-6-phenyl-1,5-dihydro-4H-pyrazolo[4,3-c]pyridin-4-one",DUZROG.mol,"[26, 25]",1,0.412820074
JAVCIS10,1,6-Methylene-5-oxytetracycline hydrochloride,JAVCIS10.mol,"[24, 31]",1,0.414099508
COLLEW,1,2-(4-(methylsulfanyl)quinazolin-2-yl)-1-phenylethanol,COLLEW.mol,"[32, 34]",1,0.414353408
QUDWAP,1,"2,6-difluoro-2-(2,2,2-trifluoro-1,1-dihydroxyethyl)indan-1-one",QUDWAP.mol,"[21, 22]",1,0.415280505
GIGQEV,1,"t-butyl 3,5-diamino-4-((4-((t-butoxycarbonyl)oxy)phenyl)diazenyl)-1H-pyrazole-1-carboxylate",GIGQEV.mol,"[8, 9]",1,0.416320086
NAFYUR,1,"2-(3,4-dihydroxyphenyl)-4H-chromene-3,4,5,7-tetrol nicotinamide",NAFYUR.mol,"[31, 20]",1,0.41665128
LIMMUQ,1,"4-(1,3-Dioxobutyl)-4',5,5'-trimethyltetrathiafulvalene",LIMMUQ.mol,"[23, 27]",1,0.41760981
BOWXUH,1,"5-Hydroxy-2-(4-hydroxyphenyl)-7-methoxy-6,8-dimethyl-4H-chromen-4-one monohydrate",BOWXUH.mol,"[17, 18]",1,0.418369059
VENVIW,1,"4-(1,3-benzothiazol-2-yl)-5-[3-(methylamino)propyl]-1H-pyrazol-3-amine",VENVIW.mol,"[31, 32]",1,0.419634368
OXUJEY,1,"3-(5-(pyridin-4-yl)-1,3,4-oxadiazol-2-yl)-4H-chromen-4-one",OXUJEY.mol,"[1, 20]",1,0.420417789
PIPQOU,1,"7-(4-O-Benzoyl-2,3,6-trideoxy-α-L-threo-pyranosyloxy)-decarestrictine D",PIPQOU.mol,"[7, 1]",1,0.420846148
JEZBOI,1,"2-{1-[4-(dimethylamino)phenyl]-1H-1,2,3-triazol-4-yl}phenol",JEZBOI.mol,"[31, 35]",1,0.421992366
YOWJOK,1,"Ethyl 9-methyl-6-oxo-5-phenyl-5,6-dihydropyrido(2,3-d)(1,2,4)triazolo(1,5-a)pyrimidine-7-carboxylate",YOWJOK.mol,"[25, 23]",1,0.421994303
FIRKID,1,"1,4-dimethyl-6,7-dithia-2a,8b-diazacyclopenta[cd]azulene-2,3(5H,8H)-dione",FIRKID.mol,"[22, 23]",1,0.422095697
ADINEH,1,"1,6-Anhydro-1-thio-β-D-glucopyranose (R)-S-oxide",ADINEH.mol,"[17, 15]",1,0.422531437
VIFBOE,1,"methyl 9-oxo-9-[1,2]oxazolo[4,5-b]quinoxaline-3-carboxylate",VIFBOE.mol,"[20, 24]",1,0.423971748
OKOXUK,1,"2,2'-{1-[4-(1,3-benzothiazol-2-yl)phenyl]-1H-1,2,4-triazole-3,5-diyl}diphenol",OKOXUK.mol,"[43, 47]",1,0.42473176
TAVBUO,1,"(3S)-3-((1R,2S)-2-Dibenzylamino-1-hydroxy-4-methylpentyl)-dihydrofuran-2-one",TAVBUO.mol,"[13, 1]",1,0.4251557
VONYUS,1,Xylotrihydroxyglutaric acid,VONYUS.mol,"[5, 14]",1,0.426028094
ALAROU,1,N-t-Butyl-4-(dimethyl(phenyl)silyl)-3-(α-hydroxybenzyl)-5-phenylpyrrolidin-2-one,ALAROU.mol,"[64, 65]",1,0.427017497
NAMALN10,1,Disodium malonate monohydrate,NAMALN10.mol,"[4, 6]",1,0.428521394
AQEYUQ,1,"3,4,5,6-tetrahydroxy-1,8-diazacyclotetradecan-2,9-dione",AQEYUQ.mol,"[18, 16]",1,0.428765464
RAQRIL,1,4-Nitrobenzodifuroxan,RAQRIL.mol,"[12, 14]",1,0.429945305
DUNBUK,1,"2,2'-(4-Amino-4H-1,2,4-triazole-3,5-diyl)diphenol",DUNBUK.mol,"[22, 26]",1,0.430075947
QUMDIN,1,"1,7-bis(4-Hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione 4,4'-bipyridine 1,1'-dioxide methanol solvate",QUMDIN.mol,"[17, 42]",1,0.433285925
QAQKEA,1,"Methyl 2-benzyl-1-(4-methoxy-2,4-dioxobutyl)-2,3,4,9-tetrahydro-1H-β-carboline-3-carboxylate",QAQKEA.mol,"[26, 31]",1,0.433574688
ZOCBOL,1,"2,4-diamino-5-(4-chlorophenyl)-6-ethylpyrimidin-1-ium 2-hydroxy-3,5-dinitrobenzoate",ZOCBOL.mol,"[11, 13]",1,0.434726387
YAPNAH,1,"1,5,7-trihydroxy-5H-5,12-methanobenzo[4,5]cyclohepta[1,2-b]naphthalene-6,11,13(12H)-trione",YAPNAH.mol,"[32, 33]",1,0.436557549
FIRKEZ,1,"2,6-dimethyl-3,5-bis(sulfanylmethyl)-1H,7H-pyrazolo[1,2-a]pyrazole-1,7-dione",FIRKEZ.mol,"[20, 21]",1,0.437479862
HOSWAQ,1,"4,8,9a-trihydroxy-3,4a-dimethyl-4a,9a-dihydro-1H-xanthene-1,9(4H)-dione",HOSWAQ.mol,"[26, 32]",1,0.43757167
PAJNIX,1,"trans-9-Amino-1,2,3,4-tetrahydro-1,4-dihydroxyacridine",PAJNIX.mol,"[14, 16]",1,0.437791254
TAGVIG,1,"Ammonium (1,2,3,4-tetrahydro)-2,4-dioxo-5-pyrimidinecarboxylate monohydrate",TAGVIG.mol,"[8, 10]",1,0.438400762
VADTAV,1,"6-Benzoyl-3-phenyl-5H-pyrazolo(3,4-d)isoxazole",VADTAV.mol,"[1, 2]",1,0.439708593
FIRKAV,1,"S,S'-[(2,6-dimethyl-1,7-dioxo-1H,7H-pyrazolo[1,2-a]pyrazole-3,5-diyl)bis(methylene)] diethanethioate",FIRKAV.mol,"[32, 33]",1,0.43979777
DIZWAN,1,"bis(2-(hydrazinecarbonyl)hydrazinium) 5,5'-bis(nitroimino)-1,1',5,5'-tetrahydro-3,3'-bi-1,2,4-triazol-2-ide",DIZWAN.mol,"[0, 1]",1,0.441453998
MAYCIB,1,"methyl 2-amino-3-oxo-1-phenyl-2,3-dihydroisoquinoline-4-carboxylate",MAYCIB.mol,"[0, 4]",1,0.441556957
HOFLAQ,1,"4-Amino-3,5-di-2-pyridyl-4H-1,2,4-triazole",HOFLAQ.mol,"[5, 7]",1,0.442616801
MEKWOR,1,"methyl 7-t-butyl-4,5-dioxo-2-phenyl-4H,5H,7H-pyrano[2',3':3,4]pyrrolo[1,2-c][1,3]oxazole-9a(9H)-carboxylate",MEKWOR.mol,"[26, 27]",1,0.44261874
YAGTAD,1,"4,9a-Dihydroxy-3,4a,5-trimethyl-4a,5,6,7,8,8a,9,9a-octahydronaphtho[2,3-b]furan-2(4H)-one",YAGTAD.mol,"[37, 39]",1,0.443029467
QUYDUK,1,2-Ethoxy-6-((methylimino)methyl)phenol,QUYDUK.mol,"[22, 23]",1,0.443054952
FIRTUY,1,"6-benzylidene-9-methyloctahydro-3a,8-epoxycyclopenta[8]annulene-7,8(1H)-diol",FIRTUY.mol,"[1, 3]",1,0.443463412
QICJIY01,1,4-(hydraziniocarbonyl)pyridin-1-ium oxalate,QICJIY01.mol,"[0, 5]",1,0.446752523
ZIBDOF,1,"2,2'-Carbonyldihydrazinium 1H,1'H-5,5'-bi-tetrazole-1,1'-diolate monohydrate",ZIBDOF.mol,"[0, 2]",1,0.446814731
WAWLOY,1,2-[2-(methoxycarbonyl)hydrazinylidene]pentanedioic acid monohydrate,WAWLOY.mol,"[8, 1]",1,0.448745266
OCACOM,1,1-Amino-5-(4-methylbenzoyl)-4-(4-methylphenyl)pyrimidin-2(1H)-one,OCACOM.mol,"[0, 4]",1,0.449267215
