Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA)
AKEQEN,0,-7.1,11.1,11.4,-63,18.3,18.6,Minimum,Minimum,Correct TS
AKIHIN,0,-3.2,16.5,13.7,-63,19.7,16.9,Minimum,Minimum,Correct TS
AKOTOL,0,-2,14.1,11.6,-63,16.1,13.6,Minimum,Minimum,Correct TS
ALAMET01,0,-2.2,34.7,16,-63,36.9,18.2,Minimum,Minimum,Correct TS
ALEGAC,0,-9.3,6.8,10.7,-63,16.1,20,Minimum,Minimum,Correct TS
ALETIW,0,-9.2,10.5,8.5,-63,19.8,17.8,Minimum,Minimum,Correct TS
ALEVUK,0,-11.9,15.4,11.3,-63,27.3,23.3,Minimum,Minimum,Correct TS
ALODAH,0,-11.9,5.2,8.9,-63,17,20.8,Minimum,Minimum,Correct TS
ALOLIW,0,-6,18.8,12.5,-63,24.8,18.4,Minimum,Minimum,Correct TS
ALUJIC,0,-5,14.1,11.6,-63,19,16.6,Minimum,Minimum,Correct TS
ALXANM11,0,-4.3,15.2,13.8,-63,19.4,18.1,Minimum,Minimum,Correct TS
AMATEO,0,-12.5,5.1,8.7,-63,17.6,21.2,Minimum,Minimum,Correct TS
AMCYTS,0,-7.4,16.5,12.2,-63,23.9,19.6,Minimum,Minimum,Correct TS
AMXPRI10,0,-10.4,-2.3,7.5,-63,8.2,18,Minimum,Minimum,Correct TS
ANAGUT,0,-8.8,7.7,8.9,-63,16.5,17.7,Minimum,Minimum,Correct TS
ANAZTP10,0,-13.1,15.8,9,-63,29,22.1,Minimum,Minimum,Correct TS
ANITUN,0,-11.8,19.8,9.7,-63,31.6,21.5,Minimum,Minimum,Correct TS
ANITUO,0,-6,7.5,10.6,-63,13.5,16.5,Minimum,Minimum,Correct TS
ANONEX02,0,-7,9.7,11.8,-63,16.7,18.7,Minimum,Minimum,Correct TS
ANOVEG,0,-7.1,11.3,12.7,-63,18.5,19.9,Minimum,Minimum,Correct TS
APAKEJ,0,-4,4.9,11.1,-63,8.8,15.1,Minimum,Minimum,Correct TS
APAKUZ,0,-19,8.4,-2.1,-63,27.4,16.9,Minimum,Minimum,Correct TS
APANIQ,0,-10.6,8.7,7,-63,19.2,17.6,Minimum,Minimum,Correct TS
APEGAF,0,-5.7,9.1,9.9,-63,14.8,15.6,Minimum,Minimum,Correct TS
APEVAU,0,-4,14.6,15.2,-63,18.6,19.1,Minimum,Minimum,Correct TS
APIDUZ,0,-7.8,11.9,13.4,-63,19.7,21.2,Minimum,Minimum,Correct TS
APIFAH,0,-11.7,6.8,8.8,-63,18.5,20.5,Minimum,Minimum,Correct TS
APIXEE,0,-17.7,-8.1,-9.2,-63,9.6,8.5,Minimum,Minimum,Correct TS
APOTIJ,0,-5.6,17.4,13.5,-63,23,19.1,Minimum,Minimum,Correct TS
APYNAC,0,-12.6,6.8,4.2,-63,19.4,16.8,Minimum,Minimum,Correct TS
AQIDIO,0,-5.1,13.2,13,-63,18.3,18.1,Minimum,Minimum,Correct TS
AQINAP,0,-11,2,5.7,-63,13,16.7,Minimum,Minimum,Correct TS
AQOPIG,0,-26.4,10.3,6.2,-63,36.8,32.6,Minimum,Minimum,Correct TS
ARADED,0,-9.9,16.3,10.8,-63,26.2,20.7,Minimum,Minimum,Correct TS
ARANOW,0,-6.9,12,11.6,-63,19,18.6,Minimum,Minimum,Correct TS
ARFIMP10,0,-10,16.6,20.1,-63,26.5,30.1,Minimum,Minimum,Correct TS
ARIFUE,0,-6.6,12.2,12.6,-63,18.8,19.2,Minimum,Minimum,Correct TS
AROJAU,0,-3.8,24.9,14.6,-63,28.7,18.4,Minimum,Minimum,Correct TS
ASEFOU,0,-4,13.4,12.2,-63,17.4,16.1,Minimum,Minimum,Correct TS
ASITOL,0,-7.7,-0.9,9.8,-63,6.8,17.4,Minimum,Minimum,Correct TS
ASOLOL,0,-7.8,7.4,9.5,-63,15.2,17.3,Minimum,Minimum,Correct TS
ASPARM06,0,-1.2,8.2,16.4,-63,9.4,17.6,Minimum,Minimum,Correct TS
ATAWIC,0,22.7,16.4,16.8,-63,16.4,16.8,Minimum,Minimum,Correct TS
ATMHYD,0,-5.8,6.2,9.7,-63,12,15.5,Minimum,Minimum,Correct TS
ATOJUQ,0,-13.2,12.4,8.6,-63,25.6,21.8,Minimum,Minimum,Correct TS
ATOKAX,0,-15.4,9.9,9.2,-63,25.2,24.6,Minimum,Minimum,Correct TS
ATOMED,0,7.6,13.7,11,-63,13.7,11,Minimum,Minimum,Correct TS
ATOSAF,0,-14.1,2.3,2.7,-63,16.5,16.8,Minimum,Minimum,Correct TS
ATOWIP,0,-10.4,10.2,11.8,-63,20.6,22.3,Minimum,Minimum,Correct TS
ATRVNT,0,-5.1,16,12.9,-63,21.1,18,Minimum,Minimum,Correct TS
ATRYMA,0,-7.5,19.2,13.4,-63,26.7,20.9,Minimum,Minimum,Correct TS
ATUWAN,0,-12.3,2.2,10.1,-63,14.5,22.3,Minimum,Minimum,Correct TS
ATUWUH01,0,-3.4,13.5,12.3,-63,16.9,15.7,Minimum,Minimum,Correct TS
ATZTHD10,0,-13.5,20.2,13.7,-63,33.7,27.2,Minimum,Minimum,Correct TS
AVAJAK,0,-2.2,18.6,12.4,-63,20.8,14.6,Minimum,Minimum,Correct TS
AVAJIR,0,-4.2,17.9,11.8,-63,22.1,16,Minimum,Minimum,Correct TS
AVERUF,0,-11.1,8.7,9,-63,19.8,20.1,Minimum,Minimum,Correct TS
AVIYAG,0,-14.1,12.9,11.9,-63,27,26,Minimum,Minimum,Correct TS
AWAZUV,0,-20.1,15.9,11.9,-63,36,32.1,Minimum,Minimum,Correct TS
AWENIB02,0,-6.9,11,11.1,-63,17.9,18,Minimum,Minimum,Correct TS
AWIVIL,0,-6.7,-6,7.3,-63,0.7,14.1,Minimum,Minimum,Correct TS
AWUJUY,0,-15.4,-0.7,2.8,-63,14.7,18.2,Minimum,Minimum,Correct TS
AWULAG,0,-9.3,5.3,8.4,-63,14.6,17.7,Minimum,Minimum,Correct TS
AWULEK,0,-7.2,6.6,10.2,-63,13.8,17.4,Minimum,Minimum,Correct TS
AWUXUM,0,-8.6,9.8,8.5,-63,18.4,17,Minimum,Minimum,Correct TS
AXALOB,0,-6.9,10.5,9.4,-63,17.5,16.3,Minimum,Minimum,Correct TS
AXEJAQ,0,-1.3,16.5,14.2,-63,17.8,15.5,Minimum,Minimum,Correct TS
AXIHOG,0,-4.6,14.1,12.1,-63,18.7,16.7,Minimum,Minimum,Correct TS
AXOQIP,0,-10.8,7.7,7.3,-63,18.5,18.1,Minimum,Minimum,Correct TS
AXOYER,0,26.4,14.9,14.3,-63,14.9,14.3,Minimum,Minimum,Correct TS
AYANEV,0,-7.9,8,10.1,-63,15.9,18,Minimum,Minimum,Correct TS
AYOGUS,0,-7,10.3,9.7,-63,17.4,16.7,Minimum,Minimum,Correct TS
AYUMUC,0,-8.6,8.3,11.6,-63,16.9,20.2,Minimum,Minimum,Correct TS
AYUZID,0,-12.5,7,7.7,-63,19.4,20.2,Minimum,Minimum,Correct TS
AZABAF,0,-7.2,13.9,9.4,-63,21.1,16.6,Minimum,Minimum,Correct TS
AZALIX,0,-5.3,10.3,11.2,-63,15.6,16.5,Minimum,Minimum,Correct TS
AZECIR,0,-60.6,29.7,6.1,-63,90.3,66.8,Minimum,Minimum,Correct TS
AZEPIF,0,-9.4,10.8,8,-63,20.1,17.4,Minimum,Minimum,Correct TS
AZGUCM10,0,-24.2,2.9,0.2,-63,27.1,24.3,Minimum,Minimum,Correct TS
AZHPXB,0,-21.4,10.8,7.8,-63,32.2,29.2,Minimum,Minimum,Correct TS
AZIJAW,0,-8.9,7.8,6,-63,16.7,14.9,Minimum,Minimum,Correct TS
AZILOM,0,-10,11.8,4.3,-63,21.7,14.3,Minimum,Minimum,Correct TS
AZIWUD,0,-8.4,26.2,12.2,-63,34.6,20.7,Minimum,Minimum,Correct TS
AZOLOR,0,-13.4,10.2,9.3,-63,23.6,22.7,Minimum,Minimum,Correct TS
AZUROD,0,-18.1,0.3,-1,-63,18.4,17.2,Minimum,Minimum,Correct TS
BABFUI,0,-15.8,6.3,9,-63,22.1,24.8,Minimum,Minimum,Correct TS
BABGAP,0,-12.8,-1.4,6.7,-63,11.4,19.5,Minimum,Minimum,Correct TS
BACJEX,0,-8.1,8.9,12.3,-63,17,20.3,Minimum,Minimum,Correct TS
BACJOG,0,-6.6,19.7,11.1,-63,26.3,17.7,Minimum,Minimum,Correct TS
BACTEF,0,-14.3,11.1,12.1,-63,25.4,26.4,Minimum,Minimum,Correct TS
BACTIJ,0,-13.4,15.2,13.5,-63,28.7,26.9,Minimum,Minimum,Correct TS
BADQEF,0,2.7,26.5,20.2,-63,26.5,20.2,Minimum,Minimum,Correct TS
BAFFUN,0,-7.5,10.9,11.4,-63,18.4,18.9,Minimum,Minimum,Correct TS
BAFGUL,0,-9.3,8.9,12,-63,18.2,21.3,Minimum,Minimum,Correct TS
BAGLUR,0,-3.2,21.1,12.6,-63,24.3,15.7,Minimum,Minimum,Correct TS
BAGSAD,0,-10.7,9.2,8.4,-63,19.9,19.1,Minimum,Minimum,Correct TS
BAKGOJ,0,-10.6,4.8,9.1,-63,15.4,19.7,Minimum,Minimum,Correct TS
BALJEE,0,-10.6,14.7,13.9,-63,25.3,24.6,Minimum,Minimum,Correct TS
BALPUC,0,-18.1,2.3,-1.5,-63,20.4,16.6,Minimum,Minimum,Correct TS
BALSOW,0,-1.5,7.2,8.9,-63,8.7,10.4,Minimum,Minimum,Correct TS
BAMBEY,0,-7.7,8.5,10.6,-63,16.1,18.3,Minimum,Minimum,Correct TS
BAMCUP,0,-8.8,5.7,8.2,-63,14.5,17,Minimum,Minimum,Correct TS
BANFIG,0,-7,8.8,11.2,-63,15.8,18.2,Minimum,Minimum,Correct TS
BANHON,0,-6.5,11.3,13.4,-63,17.8,19.9,Minimum,Minimum,Correct TS
BANTEP10,0,-9.9,8.2,8.2,-63,18,18.1,Minimum,Minimum,Correct TS
BAPHUV,0,-4.5,15.3,13.3,-63,19.7,17.8,Minimum,Minimum,Correct TS
BAPREQ,0,-8.3,12.2,8.9,-63,20.5,17.2,Minimum,Minimum,Correct TS
BAQBEA01,0,-13.7,14.1,8.5,-63,27.8,22.2,Minimum,Minimum,Correct TS
BAQVEX,0,-4.4,11.7,12.2,-63,16.1,16.6,Minimum,Minimum,Correct TS
BAQVOH,0,-5.1,15.8,10.4,-63,20.8,15.5,Minimum,Minimum,Correct TS
BASBAY,0,-15.8,0.6,-2,-63,16.4,13.8,Minimum,Minimum,Correct TS
BASNOZ,0,-2.1,17.3,14.8,-63,19.5,16.9,Minimum,Minimum,Correct TS
BASPOC,0,-5,18.5,11.5,-63,23.5,16.5,Minimum,Minimum,Correct TS
BAVHUE,0,-5.6,12.8,12.9,-63,18.4,18.5,Minimum,Minimum,Correct TS
BAZZUZ,0,-3.5,14.5,10.4,-63,18,13.9,Minimum,Minimum,Correct TS
BEBFET,0,-9.6,6.1,4.8,-63,15.7,14.4,Minimum,Minimum,Correct TS
BECVEK,0,-7.9,-8.2,8.5,-63,-0.3,16.4,Minimum,Minimum,Correct TS
BECWAJ,0,-5.9,7.1,10.2,-63,13,16.1,Minimum,Minimum,Correct TS
BECXEO,0,-12.3,6.8,6.6,-63,19.1,18.9,Minimum,Minimum,Correct TS
BEDGIA,0,-16.5,4.6,4.5,-63,21.1,21,Minimum,Minimum,Correct TS
BEDTAG,0,-5.9,14.2,9.9,-63,20,15.7,Minimum,Minimum,Correct TS
BEGLAA,0,-8.3,7.3,9.1,-63,15.5,17.4,Minimum,Minimum,Correct TS
BEGRUA,0,-13.6,17.4,8.8,-63,31,22.4,Minimum,Minimum,Correct TS
BEGSEL,0,-14.5,18.3,8,-63,32.8,22.5,Minimum,Minimum,Correct TS
BEHXOE,0,-8.9,9.8,8.5,-63,18.7,17.4,Minimum,Minimum,Correct TS
BEHZOD,0,-7.5,-25.5,11.3,-63,-18,18.8,Minimum,Minimum,Correct TS
BEJHII,0,-6.9,10.6,11.9,-63,17.6,18.8,Minimum,Minimum,Correct TS
BEJLUX,0,-6,8.7,13.6,-63,14.6,19.5,Minimum,Minimum,Correct TS
BEJXEU01,0,-14.5,4.1,5.7,-63,18.6,20.2,Minimum,Minimum,Correct TS
BEJZEV12,0,-7.8,11.6,10.2,-63,19.4,18,Minimum,Minimum,Correct TS
BEKKOU,0,-15.6,13.1,12.1,-63,28.7,27.7,Minimum,Minimum,Correct TS
BEKLIP,0,-10.4,5.4,10.2,-63,15.8,20.6,Minimum,Minimum,Correct TS
BENBUU,0,-3.1,22.4,13.2,-63,25.6,16.3,Minimum,Minimum,Correct TS
BENGOT,0,-2,23.9,16.2,-63,25.9,18.2,Minimum,Minimum,Correct TS
BENMEO,0,-3.1,19.6,11.5,-63,22.7,14.6,Minimum,Minimum,Correct TS
BENRAQ,0,-2.3,13.9,13.9,-63,16.1,16.2,Minimum,Minimum,Correct TS
BENRIY,0,-4.7,13.6,14,-63,18.3,18.7,Minimum,Minimum,Correct TS
BEPCAB,0,-5.6,14.6,13.7,-63,20.1,19.2,Minimum,Minimum,Correct TS
BEQXIE,0,-8.6,10.1,8.6,-63,18.7,17.2,Minimum,Minimum,Correct TS
BERMYA,0,-14.4,13.1,5.5,-63,27.4,19.8,Minimum,Minimum,Correct TS
BERPAP,0,-14.4,-5.4,12.4,-63,9,26.8,Minimum,Minimum,Correct TS
BESGEL,0,-3.6,14.6,13.5,-63,18.2,17.1,Minimum,Minimum,Correct TS
BESLIW,0,-6.4,13.7,11.2,-63,20,17.6,Minimum,Minimum,Correct TS
BETFAH,0,-17.8,17.3,14.3,-63,35.1,32.1,Minimum,Minimum,Correct TS
BETJIV,0,-9,7.1,8.1,-63,16,17,Minimum,Minimum,Correct TS
BEWLIY10,0,-13.6,9.3,7,-63,22.9,20.6,Minimum,Minimum,Correct TS
BEWLUN,0,-4.2,20.3,15.3,-63,24.6,19.6,Minimum,Minimum,Correct TS
BEXTUW,0,-8.5,5.6,10.9,-63,14.1,19.4,Minimum,Minimum,Correct TS
BEYLEZ,0,-14.6,18.7,39.1,-63,33.3,53.6,Minimum,Minimum,Correct TS
BEYMIE,0,-11.1,10.2,7.9,-63,21.4,19,Minimum,Minimum,Correct TS
BEYPOL,0,-10.1,19.4,13.2,-63,29.5,23.3,Minimum,Minimum,Correct TS
BEYTUV,0,-9.7,-6.3,12.3,-63,3.5,22,Minimum,Minimum,Correct TS
BIBXAO,0,-6.3,13.5,14.3,-63,19.8,20.6,Minimum,Minimum,Correct TS
BIBXES,0,-6.4,13.3,14,-63,19.7,20.3,Minimum,Minimum,Correct TS
BICLUW,0,-4.2,16.7,9.5,-63,20.9,13.7,Minimum,Minimum,Correct TS
BICMOS,0,-3.7,15.9,12.6,-63,19.6,16.2,Minimum,Minimum,Correct TS
BICMUY,0,-3.1,15.8,14.4,-63,18.9,17.5,Minimum,Minimum,Correct TS
BICPAF,0,-4.2,14.6,14.5,-63,18.8,18.7,Minimum,Minimum,Correct TS
BIDKAB,0,-11.8,14.8,13.8,-63,26.6,25.6,Minimum,Minimum,Correct TS
BIGXOE,0,-14,3.5,1.4,-63,17.5,15.4,Minimum,Minimum,Correct TS
BIJFOR,0,-0.4,14.1,9.7,-63,14.6,10.2,Minimum,Minimum,Correct TS
BIJJIP,0,-6.4,13.4,11.8,-63,19.8,18.2,Minimum,Minimum,Correct TS
BIKXEB,0,-8,7.4,9.2,-63,15.4,17.3,Minimum,Minimum,Correct TS
BILSAQ,0,-7.7,10,8.1,-63,17.7,15.8,Minimum,Minimum,Correct TS
BIMFOS10,0,-11.3,11.7,10,-63,23,21.2,Minimum,Minimum,Correct TS
BINLOC,0,-5.6,13.4,10.3,-63,19,16,Minimum,Minimum,Correct TS
BIPPEV,0,-4.2,16.7,12.3,-63,21,16.5,Minimum,Minimum,Correct TS
BIPXUW,0,-3.4,13.2,14.3,-63,16.5,17.7,Minimum,Minimum,Correct TS
BIURSR,0,-5.4,11.3,10.6,-63,16.7,16,Minimum,Minimum,Correct TS
BIVXIQ,0,-7.4,12.3,13.1,-63,19.7,20.5,Minimum,Minimum,Correct TS
BIWNUO,0,-3.7,14.3,13.7,-63,18,17.4,Minimum,Minimum,Correct TS
BIWXIR01,0,-8.3,11.6,8.8,-63,19.9,17.1,Minimum,Minimum,Correct TS
BIXMOK,0,-4.8,13.7,13.1,-63,18.6,17.9,Minimum,Minimum,Correct TS
BIXSAD,0,-5,13.2,12.7,-63,18.2,17.8,Minimum,Minimum,Correct TS
BIXZOX10,0,-15.9,4.2,5.7,-63,20,21.6,Minimum,Minimum,Correct TS
BIYQAC,0,-11.1,5.9,5.5,-63,17,16.6,Minimum,Minimum,Correct TS
BIZYOA,0,-4.1,15.8,12.5,-63,19.9,16.6,Minimum,Minimum,Correct TS
BOBQOA,0,-11.4,14,11.9,-63,25.4,23.3,Minimum,Minimum,Correct TS
BOCNOX,0,-10.1,7.1,11.7,-63,17.2,21.8,Minimum,Minimum,Correct TS
BOCPEO,0,-3.3,13.2,10,-63,16.5,13.3,Minimum,Minimum,Correct TS
BOCWUN,0,-4.3,14.7,13.5,-63,18.9,17.8,Minimum,Minimum,Correct TS
BOHTUQ,0,-6.1,4.8,14.4,-63,10.9,20.5,Minimum,Minimum,Correct TS
BOJYIJ,0,-5.2,16.7,26.9,-63,21.9,32.1,Minimum,Minimum,Correct TS
BOJYUV,0,-5.1,16.3,13.1,-63,21.4,18.2,Minimum,Minimum,Correct TS
BOKLIZ,0,-15.7,3.5,2.8,-63,19.2,18.5,Minimum,Minimum,Correct TS
BOLFOA,0,-7.6,4.6,10.7,-63,12.2,18.3,Minimum,Minimum,Correct TS
BOLHIV,0,-27.3,-0.4,-0.3,-63,26.9,27,Minimum,Minimum,Correct TS
BOMCAJ,0,-6.3,4.3,10,-63,10.6,16.3,Minimum,Minimum,Correct TS
BONKAS,0,-5,14,12,-63,19,17,Minimum,Minimum,Correct TS
BONKOE03,0,-11.6,19.5,9.2,-63,31,20.8,Minimum,Minimum,Correct TS
BOPKAS,0,-11.4,16.5,13,-63,28,24.4,Minimum,Minimum,Correct TS
BOPMAU,0,-5.8,20,11.5,-63,25.7,17.3,Minimum,Minimum,Correct TS
BOSFIZ01,0,-10.7,5.4,25.9,-63,16.1,36.6,Minimum,Minimum,Correct TS
BOTLOL,0,-5.2,1.6,6.9,-63,6.8,12.2,Minimum,Minimum,Correct TS
BOTVEO,0,-7.3,14.1,12.6,-63,21.4,19.9,Minimum,Minimum,Correct TS
BOTWOY,0,-10.2,10.9,11.2,-63,21.1,21.5,Minimum,Minimum,Correct TS
BOWZAO,0,-5.2,15.6,20.3,-63,20.8,25.5,Minimum,Minimum,Correct TS
BOXPEL,0,-13.5,11.6,11.6,-63,25.2,25.1,Minimum,Minimum,Correct TS
BOZHII,0,-8.7,6.4,11.1,-63,15,19.7,Minimum,Minimum,Correct TS
BOZPOY,0,-6.1,13.1,12.2,-63,19.3,18.3,Minimum,Minimum,Correct TS
BTYRSB10,0,-10.4,14.7,14,-63,25.1,24.4,Minimum,Minimum,Correct TS
BUBBAE,0,-5.5,14.6,15.5,-63,20.1,21,Minimum,Minimum,Correct TS
BUDNOE,0,-9,10.5,8.5,-63,19.5,17.5,Minimum,Minimum,Correct TS
BUDTOK,0,-9.1,10,8.4,-63,19.1,17.5,Minimum,Minimum,Correct TS
BUFCAI,0,-13.4,13.2,9.5,-63,26.6,22.9,Minimum,Minimum,Correct TS
BUFFEO,0,-7.9,11,7.2,-63,19,15.2,Minimum,Minimum,Correct TS
BUKFIZ,0,-7.1,6.1,7.6,-63,13.2,14.7,Minimum,Minimum,Correct TS
BUKHOE,0,-2.8,14.8,10.9,-63,17.5,13.6,Minimum,Minimum,Correct TS
BUKNEA,0,-17.1,6.9,6,-63,24,23.1,Minimum,Minimum,Correct TS
BUNGIA01,0,-4.6,19.6,11.5,-63,24.2,16.1,Minimum,Minimum,Correct TS
BUTLUX,0,-7.5,-1.4,15,-63,6.1,22.5,Minimum,Minimum,Correct TS
BUXWIA,0,-1.8,18.6,14.2,-63,20.3,16,Minimum,Minimum,Correct TS
BZALSC01,0,-8.8,18.6,13.7,-63,27.4,22.5,Minimum,Minimum,Correct TS
CABWUA,0,-15.6,-1.2,-4.3,-63,14.3,11.3,Minimum,Minimum,Correct TS
CABXAH,0,-16.1,2.8,8.2,-63,18.9,24.3,Minimum,Minimum,Correct TS
CACNOL,0,-5.4,16.4,11.6,-63,21.8,17,Minimum,Minimum,Correct TS
CACPII,0,-9.3,9.8,9.9,-63,19.1,19.3,Minimum,Minimum,Correct TS
CACQAA,0,-2.6,20.8,17.6,-63,23.4,20.1,Minimum,Minimum,Correct TS
CADDAO,0,-8.7,8.3,8.2,-63,17,16.9,Minimum,Minimum,Correct TS
CADFIY,0,-8.4,9.4,8.3,-63,17.8,16.7,Minimum,Minimum,Correct TS
CAEYOR,0,-15.5,14,12.4,-63,29.5,27.9,Minimum,Minimum,Correct TS
CAFMIF,0,-14.3,18.2,15.5,-63,32.6,29.9,Minimum,Minimum,Correct TS
CAGDOF,0,-0.1,-7.6,13.6,-63,-7.5,13.7,Minimum,Minimum,Correct TS
CAGZAO,0,-9.9,6.1,8.8,-63,16,18.7,Minimum,Minimum,Correct TS
CAHPAD,0,-11.9,97.7,64.3,-63,109.6,76.2,Minimum,Minimum,Correct TS
CAHZES,0,-5,16.2,13.1,-63,21.2,18,Minimum,Minimum,Correct TS
CAKMEJ,0,-9.8,4.8,7.6,-63,14.6,17.4,Minimum,Minimum,Correct TS
CAKMIN,0,-23.8,-9.9,-5.5,-63,13.8,18.2,Minimum,Minimum,Correct TS
CAKMUZ,0,-8.6,5.7,9.1,-63,14.3,17.7,Minimum,Minimum,Correct TS
