Ligand,Old Indexes,New Indexes,Deprotonation Type
KALKEO,"[2, 6]","[2, 5]",Double Deprotonation
KALLAL,"[28, 29]","[28, 29]",No Deprotonation
KALLIV,"[1, 4]","[1, 3]",Single Deprotonation
KALQOE,"[1, 3]","[1, 2]",Double Deprotonation
KALREV,"[28, 29]","[28, 29]",No Deprotonation
KAMBIK,"[1, 3]","[1, 3]",Single Deprotonation
KAMLIT,"[6, 9]","[6, 9]",Single Deprotonation
KAMQOH,"[0, 3]","[0, 3]",Single Deprotonation
KANQIZ,"[10, 23]","[10, 23]",No Deprotonation
KANRIA,"[11, 12]","[11, 12]",Single Deprotonation
KANTIC,"[2, 6]","[2, 6]",Double Deprotonation
KANTOI,"[2, 4]","[2, 4]",Double Deprotonation
KAPNEV,"[0, 4]","[0, 4]",No Deprotonation
KAPNIZ,"[1, 2]","[1, 2]",Single Deprotonation
KAPQEX,"[20, 22]","[20, 21]",Double Deprotonation
KAPQIB,"[20, 22]","[20, 21]",Double Deprotonation
KAPQOH,"[20, 22]","[20, 21]",Double Deprotonation
KAPQUN,"[18, 20]","[18, 19]",Double Deprotonation
KAPREY,"[18, 20]","[18, 19]",Double Deprotonation
KAQCAJ,"[13, 18]","[13, 18]",No Deprotonation
KAQGAM,"[26, 27]","[26, 27]",No Deprotonation
KAQZIO,"[0, 1]","[0, 1]",No Deprotonation
KARCOW01,"[8, 26]","[8, 25]",Double Deprotonation
KARCUC,"[7, 29]",Error,Double Deprotonation
KARLIY,"[3, 4]","[3, 4]",Double Deprotonation
KASBOV,"[11, 12]","[11, 12]",Single Deprotonation
KASGIV,"[1, 2]","[1, 2]",Single Deprotonation
KASGOB,"[31, 33]","[31, 32]",Single Deprotonation
HAXLID,"[3, 16]","[3, 15]",Single Deprotonation
HAXLOJ,"[3, 16]","[3, 15]",Single Deprotonation
HAXLUP,"[3, 16]","[3, 15]",Single Deprotonation
HAXPAX,"[7, 10]","[7, 10]",No Deprotonation
HAXQAA,"[10, 24]","[10, 24]",Single Deprotonation
HAXRII,"[0, 3]","[0, 3]",No Deprotonation
HAXTAD01,"[26, 27]","[26, 27]",No Deprotonation
HAXXIQ,"[11, 12]","[11, 12]",No Deprotonation
HAXXUC,"[26, 27]","[25, 26]",Single Deprotonation
HAYCAM,"[1, 2]","[1, 2]",Single Deprotonation
HAYWEK,"[3, 4]","[3, 4]",Single Deprotonation
HAYWIO,"[0, 2]","[0, 1]",Single Deprotonation
HAYZAJ,"[3, 4]","[3, 4]",Single Deprotonation
HAZFEW,"[38, 42]","[38, 42]",No Deprotonation
HAZFNO,"[14, 15]","[14, 15]",Single Deprotonation
HAZGOE,"[1, 4]","[1, 4]",Single Deprotonation
HAZSOT,"[0, 3]","[0, 3]",Single Deprotonation
HBAZOO10,"[32, 33]","[31, 32]",Single Deprotonation
HBPIIQ10,"[14, 21]","[14, 21]",Single Deprotonation
HBZTHP,"[16, 17]","[16, 17]",Single Deprotonation
HCITEN10,"[1, 7]","[1, 7]",Single Deprotonation
HCITUL,"[25, 28]","[24, 27]",Single Deprotonation
HDECOA,"[50, 51]","[49, 50]",Single Deprotonation
HDOPAC,"[21, 22]","[19, 20]",Double Deprotonation
HDOPAM,"[21, 22]","[19, 20]",Double Deprotonation
HEBARB,"[17, 18]","[16, 17]",Single Deprotonation
HEBGEA,"[3, 4]","[3, 4]",No Deprotonation
HEBKEF,"[1, 4]","[1, 4]",Single Deprotonation
HECCAT,"[7, 8]","[7, 8]",No Deprotonation
HECDEY,"[0, 1]","[0, 1]",Double Deprotonation
HECHAY01,"[0, 6]","[0, 5]",Single Deprotonation
HECKOS,"[3, 5]","[3, 5]",Single Deprotonation
HECMAG,"[4, 7]","[4, 7]",Single Deprotonation
HECNAE,"[3, 4]","[3, 4]",Single Deprotonation
HECPAJ02,"[5, 6]","[5, 6]",No Deprotonation
HEFTOE,"[2, 6]","[2, 5]",Single Deprotonation
HEFXIB,"[0, 2]","[0, 1]",Single Deprotonation
HEGBAY,"[48, 50]","[48, 49]",Double Deprotonation
WUVWOB,"[51, 52]","[51, 52]",No Deprotonation
WUVXOA,"[1, 2]","[1, 2]",Single Deprotonation
WUVYUI,"[0, 2]","[0, 2]",Single Deprotonation
WUWHUS,"[3, 5]","[3, 4]",Double Deprotonation
WUWREN,"[1, 2]","[1, 2]",Single Deprotonation
WUWYAQ,"[1, 4]","[1, 3]",Single Deprotonation
WUXGIF,"[1, 3]","[1, 3]",Single Deprotonation
WUXLAC,"[4, 6]","[4, 5]",Double Deprotonation
WUXYAQ,"[11, 13]","[11, 12]",Single Deprotonation
WUXYAR,"[0, 1]","[0, 1]",No Deprotonation
WUXYEV,"[0, 1]","[0, 1]",No Deprotonation
WUYPAI,"[0, 1]","[0, 1]",No Deprotonation
WUZHAC,"[0, 5]","[0, 5]",Single Deprotonation
WUZHEG,"[1, 2]","[1, 2]",Single Deprotonation
WUZRUF,"[2, 6]","[2, 6]",No Deprotonation
WUZSUH,"[1, 4]","[1, 4]",No Deprotonation
XABCUZ,"[0, 3]","[0, 3]",Single Deprotonation
XABGIS,"[5, 6]","[5, 6]",No Deprotonation
XABMIX,"[3, 5]","[3, 4]",Single Deprotonation
IFOZOT,"[4, 5]","[4, 5]",Single Deprotonation
IFUCUH,"[50, 51]","[49, 50]",Single Deprotonation
IFUDIW,"[15, 17]","[15, 17]",Single Deprotonation
IFUFOF,"[0, 5]","[0, 5]",No Deprotonation
IFUHIC,"[19, 21]","[19, 20]",Single Deprotonation
IFUVUB,"[2, 9]","[2, 9]",Single Deprotonation
IFUYEP,"[5, 9]","[5, 9]",No Deprotonation
IFUYUG,"[3, 5]","[3, 4]",Single Deprotonation
IFUZAN,"[2, 4]","[2, 3]",Single Deprotonation
IGAHII,"[12, 14]","[12, 13]",Single Deprotonation
IGAJEG,"[0, 1]","[0, 1]",Single Deprotonation
IGAJOQ,"[2, 6]","[2, 6]",No Deprotonation
IGAKOR,"[1, 13]","[1, 13]",Single Deprotonation
IGAMEK,"[0, 3]","[0, 3]",Single Deprotonation
IGAMOV,"[0, 3]","[0, 2]",Double Deprotonation
IGAMUB,"[0, 2]","[0, 2]",Double Deprotonation
IGANAI,"[0, 3]","[0, 2]",Double Deprotonation
IGANEM,"[1, 4]","[1, 3]",Double Deprotonation
IGANIO,"[0, 1]","[0, 1]",Double Deprotonation
IGASAK,"[0, 2]","[0, 1]",Double Deprotonation
IGAYEX,"[0, 6]","[0, 5]",Single Deprotonation
IGEFEH,"[3, 5]","[3, 4]",Double Deprotonation
IGEFOR,"[2, 11]","[2, 11]",No Deprotonation
IGEFUX,"[9, 15]","[9, 15]",No Deprotonation
IGEGEI,"[38, 39]","[38, 39]",No Deprotonation
IGEKIQ,"[21, 22]","[21, 22]",Single Deprotonation
IGEZEZ,"[1, 2]","[1, 2]",Single Deprotonation
IGIDIO,"[5, 6]","[5, 6]",Single Deprotonation
IGODIU,"[13, 15]","[13, 15]",No Deprotonation
IGOGIW,"[0, 2]","[0, 1]",Single Deprotonation
IGOSUV,"[1, 2]","[1, 2]",No Deprotonation
IGOVAC,"[0, 1]","[0, 1]",No Deprotonation
IGOVEI,"[1, 4]","[1, 3]",Double Deprotonation
IGOXOT,"[0, 13]","[0, 13]",No Deprotonation
IGOYEK,"[0, 1]","[0, 1]",Single Deprotonation
IGUNEF,"[2, 3]","[2, 3]",Single Deprotonation
IGUTIN,"[0, 3]","[0, 3]",Single Deprotonation
IGUWEN,"[22, 23]","[22, 23]",No Deprotonation
IGUXUF,"[34, 36]","[34, 35]",Single Deprotonation
NIJGET,"[3, 5]","[3, 5]",Single Deprotonation
NIJSUV,"[1, 3]","[1, 2]",Single Deprotonation
NIJVOU,"[2, 5]","[2, 4]",Double Deprotonation
NIJWOV,"[1, 3]","[1, 2]",Double Deprotonation
NIJXEL,"[0, 46]","[0, 46]",No Deprotonation
NIJYIP,"[19, 24]","[19, 24]",No Deprotonation
NIKBAN,"[17, 24]","[17, 23]",Single Deprotonation
NIKCER,"[44, 47]","[44, 47]",Single Deprotonation
NIKCIV,"[1, 4]","[1, 4]",Single Deprotonation
NIKHUN,"[10, 11]","[10, 11]",Single Deprotonation
NIKJID,"[0, 4]","[0, 3]",Single Deprotonation
NIKJOJ,"[0, 6]","[0, 5]",Single Deprotonation
NIKJUP,"[0, 5]","[0, 4]",Single Deprotonation
NIKLIE,"[0, 1]","[0, 1]",No Deprotonation
NIKLOK,"[2, 6]","[2, 5]",Single Deprotonation
NIKMAY,"[41, 42]","[41, 42]",No Deprotonation
NIKWUZ,"[24, 25]","[24, 25]",Double Deprotonation
NIKXAG,"[0, 20]","[0, 20]",Single Deprotonation
NILLEB,"[15, 19]","[15, 18]",Single Deprotonation
ERESOJ,"[3, 7]","[3, 7]",Single Deprotonation
EREVOM,"[58, 59]","[57, 58]",Single Deprotonation
EREVUS,"[1, 4]","[1, 4]",Single Deprotonation
EREXAA,"[0, 11]","[0, 11]",No Deprotonation
ERFIMP,"[38, 39]","[36, 37]",Double Deprotonation
ERISOO,"[16, 20]","[16, 20]",No Deprotonation
ERIWIM01,"[5, 6]","[5, 6]",Single Deprotonation
EROFEX,"[2, 5]","[2, 5]",No Deprotonation
EROGAU,"[0, 1]","[0, 1]",No Deprotonation
EROHAV,"[1, 2]","[1, 2]",Single Deprotonation
EROLIH,"[5, 8]","[5, 7]",Single Deprotonation
EROMAA01,"[1, 2]","[1, 2]",Single Deprotonation
EROYAN,"[3, 4]","[3, 4]",Single Deprotonation
EROYER,"[0, 1]","[0, 1]",Single Deprotonation
ERUCOK,"[19, 29]","[19, 29]",Single Deprotonation
ERUGEE,"[0, 5]","[0, 4]",Single Deprotonation
ESABIJ,"[1, 2]","[1, 2]",Single Deprotonation
ESACUY,"[2, 4]","[2, 4]",Single Deprotonation
ESAGIQ,"[3, 7]","[3, 6]",Single Deprotonation
ESAQUK,"[23, 24]","[23, 24]",No Deprotonation
EVAXOP,"[3, 7]","[3, 7]",Single Deprotonation
EVEBUD,"[10, 15]","[10, 15]",No Deprotonation
EVEDEP,"[5, 7]","[5, 6]",Single Deprotonation
EVEKAS,"[3, 6]","[3, 6]",Single Deprotonation
EVEMAU,"[2, 3]","[2, 3]",No Deprotonation
EVENIC,"[1, 5]","[1, 4]",Single Deprotonation
EVERED02,"[4, 6]","[4, 6]",Single Deprotonation
EVEVUX,"[1, 6]","[1, 6]",No Deprotonation
EVIBER,"[1, 2]","[1, 2]",No Deprotonation
EVIBUH,"[0, 22]","[0, 22]",No Deprotonation
EVIGEW,"[1, 2]","[1, 2]",Single Deprotonation
EVIGIA,"[24, 27]","[24, 27]",No Deprotonation
EVIGIZ,"[15, 18]","[15, 18]",No Deprotonation
EVIGUL,"[1, 4]","[1, 4]",Single Deprotonation
EVIJUO,"[6, 8]","[6, 8]",Single Deprotonation
EVILIF,"[0, 2]","[0, 2]",Single Deprotonation
EVIMAX,"[0, 3]","[0, 3]",No Deprotonation
EVIMEB,"[0, 1]","[0, 1]",Double Deprotonation
EVIMIF,"[1, 2]","[1, 2]",Single Deprotonation
GEKCEG,"[0, 3]","[0, 3]",Double Deprotonation
GEKCIL,"[1, 2]","[1, 2]",Single Deprotonation
GEKFAF01,"[1, 2]","[1, 2]",No Deprotonation
GEKFEJ,"[5, 7]","[5, 6]",Double Deprotonation
GEKGOT,"[42, 44]","[42, 43]",Single Deprotonation
GEKQAQ,"[3, 15]","[3, 14]",Single Deprotonation
GEKROG,"[43, 44]","[43, 44]",No Deprotonation
GEKWIE,"[4, 33]","[4, 33]",No Deprotonation
GEMNUI,"[0, 3]","[0, 3]",Single Deprotonation
GEMXEB,"[4, 5]","[4, 5]",Single Deprotonation
GEMYIG,"[11, 19]","[11, 19]",Single Deprotonation
GEMZED,"[1, 5]","[1, 5]",Single Deprotonation
GENJER,"[0, 5]","[0, 4]",Single Deprotonation
GENJIV,"[3, 4]","[3, 4]",Single Deprotonation
GENMIW,"[30, 31]","[29, 30]",Single Deprotonation
GENPEX,"[0, 2]","[0, 1]",Single Deprotonation
GENQOI,"[2, 11]","[2, 10]",Single Deprotonation
GENTBS01,"[7, 8]","[7, 8]",Double Deprotonation
GENVAX,"[27, 29]","[27, 28]",Single Deprotonation
TUPGUG,"[0, 2]","[0, 2]",No Deprotonation
TUPJOE,"[1, 2]","[1, 2]",Single Deprotonation
TUPMUN,"[1, 2]","[1, 2]",Single Deprotonation
TUPSIH,"[0, 1]","[0, 1]",No Deprotonation
TUPSON,"[0, 1]","[0, 1]",No Deprotonation
TUQCEN,"[0, 1]","[0, 1]",Double Deprotonation
TUQHET,"[0, 1]","[0, 1]",Single Deprotonation
TUQNID,"[0, 14]","[0, 13]",Double Deprotonation
TUQVAD,"[0, 4]","[0, 3]",Single Deprotonation
TUQWIM,"[0, 1]","[0, 1]",Single Deprotonation
TURACD,"[15, 19]","[14, 18]",Single Deprotonation
TURNIF,"[0, 3]","[0, 2]",Single Deprotonation
TURWOS,"[9, 11]","[9, 11]",No Deprotonation
TUSGUK,"[4, 7]","[4, 7]",No Deprotonation
TUSLOJ,"[3, 4]","[3, 4]",Single Deprotonation
TUSMOJ,"[39, 56]","[39, 56]",No Deprotonation
TUSQIH,"[0, 1]","[0, 1]",Single Deprotonation
TUSZEN,"[4, 7]","[4, 7]",No Deprotonation
TUTBUF,"[3, 5]","[3, 4]",Single Deprotonation
WIRSAR,"[4, 6]","[4, 6]",Single Deprotonation
WIRSOF,"[0, 3]","[0, 3]",No Deprotonation
WIRYEB,"[1, 7]","[1, 7]",Single Deprotonation
WIRZUS,"[3, 4]","[3, 4]",Double Deprotonation
WISGAG,"[0, 3]","[0, 3]",Single Deprotonation
WISJAJ,"[0, 1]","[0, 1]",Single Deprotonation
WISJIU01,"[28, 29]","[28, 29]",No Deprotonation
WISNUJ,"[1, 2]","[1, 2]",Single Deprotonation
WISPUM,"[1, 5]","[1, 4]",Single Deprotonation
WISRUN,"[39, 41]","[39, 40]",Single Deprotonation
WISSEY,"[18, 35]","[18, 35]",Single Deprotonation
WISTAV,"[3, 8]","[3, 8]",No Deprotonation
WITPIB,"[1, 2]","[1, 2]",No Deprotonation
WITSIB01,"[11, 14]","[11, 14]",No Deprotonation
WITTOI,"[0, 1]","[0, 1]",Single Deprotonation
WITWUU,"[1, 3]","[1, 3]",Single Deprotonation
WITZOP,"[15, 43]","[15, 43]",No Deprotonation
WIVGIU,"[35, 36]","[35, 36]",No Deprotonation
WIVKUI,"[0, 1]","[0, 1]",Double Deprotonation
HURWAU,"[16, 19]","[16, 19]",Single Deprotonation
HURXUN,"[1, 4]","[1, 4]",No Deprotonation
HURZOK,"[21, 25]","[21, 25]",No Deprotonation
HUSBEC,"[0, 5]","[0, 5]",Single Deprotonation
HUSNEP,"[1, 2]","[1, 2]",Single Deprotonation
HUTDUX,"[2, 12]","[2, 12]",No Deprotonation
HUTKEN,"[0, 1]","[0, 1]",Single Deprotonation
HUVGOV,"[23, 24]","[23, 24]",No Deprotonation
HUVHAH,"[0, 2]","[0, 2]",No Deprotonation
HUVXUR,"[2, 11]","[2, 10]",Double Deprotonation
HUVZEE,"[0, 1]","[0, 1]",Single Deprotonation
HUVZII,"[0, 2]","[0, 1]",Single Deprotonation
HUWRAU,"[0, 2]","[0, 1]",Double Deprotonation
HUWYEF,"[2, 4]","[2, 3]",Double Deprotonation
HUXGAJ,"[3, 4]","[3, 4]",Double Deprotonation
HUXLIW,"[5, 9]","[5, 9]",Single Deprotonation
HUXMAR,"[10, 12]","[10, 12]",No Deprotonation
HUXWII,"[3, 5]","[3, 4]",Double Deprotonation
HUXWOO,"[1, 3]","[1, 3]",Double Deprotonation
VANCAQ,"[10, 12]","[10, 11]",Single Deprotonation
VANCET,"[0, 4]","[0, 3]",Single Deprotonation
VANCIY,"[1, 2]","[1, 2]",Single Deprotonation
VANCOE,"[2, 3]","[2, 3]",Single Deprotonation
VAPGOL,"[2, 3]","[2, 3]",Single Deprotonation
VAPJEE,"[0, 2]","[0, 1]",Single Deprotonation
VAPROV,"[2, 4]","[2, 4]",No Deprotonation
VAPRUA,"[7, 8]","[7, 8]",Double Deprotonation
VAPZOB10,"[15, 16]","[15, 16]",Double Deprotonation
VAQJON,"[4, 5]","[4, 5]",Double Deprotonation
VAQJUT,"[3, 4]","[3, 4]",Single Deprotonation
VAQKAB,"[1, 7]","[1, 7]",Single Deprotonation
VAQPAF,"[3, 4]","[3, 4]",Single Deprotonation
VAQQOW,"[57, 61]","[57, 61]",Single Deprotonation
VARFUR,"[0, 1]","[0, 1]",Single Deprotonation
VARGOM,"[0, 1]","[0, 1]",Single Deprotonation
VARTAJ,"[10, 11]","[10, 11]",Single Deprotonation
VARVUH,"[1, 2]","[1, 2]",Double Deprotonation
VASDAV,"[5, 28]","[5, 27]",Single Deprotonation
XIZVAD,"[7, 17]","[7, 17]",Single Deprotonation
XIZXAI,"[1, 6]","[1, 6]",No Deprotonation
XOBPAI,"[3, 4]","[3, 4]",Single Deprotonation
XOCFAW,"[2, 4]","[2, 4]",Single Deprotonation
XOCFEA,"[2, 5]","[2, 5]",No Deprotonation
XOCFED,"[4, 25]","[4, 24]",Single Deprotonation
XOCFOK01,"[23, 25]","[23, 25]",Single Deprotonation
XOCJEE01,"[3, 4]","[3, 4]",Single Deprotonation
XOCVIW,"[2, 3]","[2, 3]",Single Deprotonation
XODBAU,"[20, 22]","[20, 22]",No Deprotonation
XODDAX,"[0, 32]","[0, 32]",No Deprotonation
XODDIF,"[1, 35]","[1, 35]",No Deprotonation
XODGEE,"[31, 33]","[31, 32]",Single Deprotonation
XODPUB,"[8, 9]","[8, 9]",Double Deprotonation
XODZIZ,"[0, 2]","[0, 2]",No Deprotonation
XODZOH,"[29, 35]","[29, 35]",No Deprotonation
XOFDEB,"[8, 12]","[8, 11]",Double Deprotonation
XOFFAB,"[28, 30]","[28, 30]",Single Deprotonation
XOFSOD,"[19, 21]","[19, 21]",No Deprotonation
XOFWIA,"[2, 6]","[2, 6]",Single Deprotonation
XOFYAS,"[1, 3]","[1, 3]",No Deprotonation
XOGLEL,"[3, 4]","[3, 4]",Single Deprotonation
XOGNIS,"[0, 21]","[0, 21]",Single Deprotonation
XOGSIW,"[0, 1]","[0, 1]",Single Deprotonation
FUWHIP,"[22, 24]","[22, 23]",Double Deprotonation
FUWKEO,"[2, 3]","[2, 3]",Double Deprotonation
FUWKOY,"[3, 4]","[3, 4]",Double Deprotonation
FUWRIZ,"[4, 17]","[4, 17]",No Deprotonation
FUWSIA,"[13, 16]","[13, 16]",No Deprotonation
FUXBAC,"[3, 5]","[3, 5]",Single Deprotonation
FUXBOQ,"[0, 1]","[0, 1]",No Deprotonation
FUXKEP,"[42, 43]","[42, 43]",No Deprotonation
FUXSOH,"[5, 16]","[5, 16]",No Deprotonation
FUYJEP,"[42, 44]","[42, 44]",Single Deprotonation
FUYJIT,"[72, 74]","[72, 73]",Single Deprotonation
FUYNET,"[0, 2]","[0, 2]",Single Deprotonation
FUZPOG,"[1, 2]","[1, 2]",Single Deprotonation
FUZTIE,"[0, 2]","[0, 1]",Single Deprotonation
FUZWII,"[1, 2]","[1, 2]",No Deprotonation
FUZZUX,"[0, 1]","[0, 1]",Single Deprotonation
GABYER,"[22, 25]","[22, 25]",Single Deprotonation
GACHEA,"[1, 16]","[1, 16]",Single Deprotonation
GACJAZ,"[0, 5]","[0, 4]",Double Deprotonation
CAMPLO10,"[0, 1]","[0, 1]",No Deprotonation
CAMPQU,"[10, 11]","[10, 11]",No Deprotonation
CAMTIU,"[0, 2]","[0, 1]",Double Deprotonation
CAMWEU,"[9, 14]","[9, 14]",No Deprotonation
CANCOK01,"[3, 4]","[3, 4]",No Deprotonation
CANGEF,"[5, 7]","[5, 6]",Single Deprotonation
CANHAB,"[20, 26]","[20, 26]",No Deprotonation
CANIAC,"[15, 16]","[15, 16]",No Deprotonation
CANKEH,"[8, 10]","[8, 10]",Double Deprotonation
CANLOT,"[40, 41]","[40, 41]",No Deprotonation
CANLUZ,"[22, 42]","[22, 42]",No Deprotonation
CANMAF,"[2, 3]","[2, 3]",Single Deprotonation
CANSAL,"[21, 31]","[21, 31]",Single Deprotonation
CANXOG,"[18, 20]","[18, 19]",Single Deprotonation
CANYAU,"[1, 3]","[1, 3]",Single Deprotonation
CAPDAA,"[20, 25]","[20, 24]",Double Deprotonation
CAPGOS,"[0, 2]","[0, 1]",Single Deprotonation
CAPHEI,"[12, 15]","[12, 15]",No Deprotonation
CAPHIN,"[0, 3]","[0, 2]",Single Deprotonation
NOXGIT,"[5, 6]","[5, 6]",Single Deprotonation
NOXXIH01,"[0, 1]","[0, 1]",Single Deprotonation
NOYYEI,"[19, 22]","[19, 22]",Single Deprotonation
NOZTEB,"[0, 1]","[0, 1]",Single Deprotonation
NPBDXY,"[26, 27]","[24, 25]",Double Deprotonation
NPHDZC,"[6, 16]","[6, 16]",No Deprotonation
NPRPLN,"[1, 2]","[1, 2]",Single Deprotonation
NQOXSK,"[10, 12]","[10, 12]",No Deprotonation
NQXSLA,"[10, 12]","[10, 12]",No Deprotonation
NTRGUA01,"[2, 3]","[2, 3]",Single Deprotonation
NTSALA,"[0, 3]","[0, 3]",Single Deprotonation
NUBDET,"[0, 3]","[0, 2]",Single Deprotonation
NUBKEA,"[0, 4]","[0, 4]",Single Deprotonation
NUBQUZ,"[2, 4]","[2, 4]",Single Deprotonation
NUBZUH,"[0, 1]","[0, 1]",Single Deprotonation
NUCKUR,"[0, 1]","[0, 1]",No Deprotonation
NUCVEO,"[1, 4]","[1, 4]",Single Deprotonation
NUDCAS01,"[22, 25]","[22, 24]",Single Deprotonation
NUDMOO,"[14, 15]","[14, 15]",Single Deprotonation
RUXPOS,"[38, 39]","[38, 39]",Single Deprotonation
RUYKOL01,"[3, 14]","[3, 14]",No Deprotonation
RUYLEE,"[9, 16]","[9, 16]",No Deprotonation
RUYLII,"[2, 4]","[2, 4]",No Deprotonation
RUYTAJ,"[15, 18]","[15, 18]",No Deprotonation
RUYWOA,"[1, 3]","[1, 2]",Single Deprotonation
RUYYER,"[0, 3]","[0, 3]",Single Deprotonation
RUZGUR,"[4, 23]","[4, 22]",Single Deprotonation
RUZMOO,"[0, 4]","[0, 4]",Single Deprotonation
RUZQIP,"[6, 8]","[6, 8]",Single Deprotonation
RUZSIQ,"[0, 3]","[0, 3]",Single Deprotonation
SABFIM,"[3, 4]","[3, 4]",Double Deprotonation
SABHIP,"[5, 11]","[5, 11]",Double Deprotonation
SABNES,"[6, 13]","[6, 13]",No Deprotonation
SABPUI,"[2, 3]","[2, 3]",Single Deprotonation
SABQAP,"[4, 6]","[4, 5]",Single Deprotonation
SABRIW,"[0, 1]","[0, 1]",Single Deprotonation
SABSAR,"[21, 24]","[21, 23]",Single Deprotonation
SABZEA,"[2, 3]","[2, 3]",Single Deprotonation
MARKIC,"[2, 3]","[2, 3]",No Deprotonation
MARRAZ,"[1, 3]","[1, 3]",Single Deprotonation
MARROO,"[10, 11]","[10, 11]",No Deprotonation
MARZUA,"[1, 4]","[1, 4]",No Deprotonation
MASBUD,"[0, 1]","[0, 1]",Double Deprotonation
MASJOG,"[0, 2]","[0, 2]",Double Deprotonation
MASREE,"[20, 24]","[20, 24]",No Deprotonation
MASZIQ,"[0, 1]","[0, 1]",Single Deprotonation
MASZOW,"[0, 3]","[0, 3]",Single Deprotonation
MASZUC,"[0, 1]","[0, 1]",Single Deprotonation
MATLUQ,"[1, 9]","[1, 9]",Single Deprotonation
MATQOO,"[18, 19]","[18, 19]",No Deprotonation
MATZOX,"[0, 4]","[0, 3]",Single Deprotonation
MAVDOD,"[1, 16]","[1, 16]",No Deprotonation
MAVGEW01,"[0, 2]","[0, 2]",Single Deprotonation
MAVMIF,"[20, 21]","[20, 21]",No Deprotonation
MAVNIJ,"[8, 11]","[8, 10]",Single Deprotonation
MAVZAM,"[18, 19]","[17, 18]",Single Deprotonation
MAWBAP,"[1, 3]","[1, 2]",Single Deprotonation
MAWLAX,"[0, 1]","[0, 1]",No Deprotonation
GUQJUZ,"[0, 2]","[0, 1]",Single Deprotonation
GUQKAG,"[4, 7]","[4, 7]",Single Deprotonation
GUQLIN,"[20, 21]","[20, 21]",No Deprotonation
GURGAB,"[0, 1]","[0, 1]",No Deprotonation
GURGUX01,"[0, 1]","[0, 1]",No Deprotonation
GURHAC,"[14, 17]","[14, 17]",Single Deprotonation
GURHAD,"[1, 19]","[1, 19]",Single Deprotonation
GURHAE,"[0, 1]","[0, 1]",No Deprotonation
GURHIL,"[1, 4]","[1, 4]",Single Deprotonation
GURLOV,"[1, 2]","[1, 2]",Single Deprotonation
GURXPX10,"[46, 48]","[44, 46]",Double Deprotonation
GUSRIV02,"[0, 1]","[0, 1]",Single Deprotonation
GUSVOH,"[15, 18]","[14, 17]",Single Deprotonation
GUTFIK,"[0, 1]","[0, 1]",Single Deprotonation
GUTHIN,"[1, 4]","[1, 4]",No Deprotonation
GUTNIS,"[1, 3]","[1, 2]",Single Deprotonation
GUTYEB01,"[3, 6]","[3, 6]",Single Deprotonation
GUTZAW,"[0, 1]","[0, 1]",Single Deprotonation
GUTZEA01,"[2, 4]","[2, 3]",Double Deprotonation
GUTZUS,"[1, 18]","[1, 17]",Single Deprotonation
GUVBEG,"[1, 18]","[1, 17]",Single Deprotonation
GUVBII,"[1, 2]","[1, 2]",Single Deprotonation
GUVBIK,"[1, 17]","[1, 16]",Single Deprotonation
GUVFEI,"[5, 6]","[5, 6]",Double Deprotonation
GUVHOW,"[6, 12]","[6, 11]",Single Deprotonation
GUVQOE,"[10, 18]","[10, 18]",Single Deprotonation
GUVZON,"[19, 20]","[19, 20]",No Deprotonation
HABVAJ,"[0, 3]","[0, 3]",Single Deprotonation
HABVAK,"[42, 45]","[41, 44]",Single Deprotonation
HABVEN,"[0, 4]","[0, 3]",Single Deprotonation
HABVIR,"[2, 3]","[2, 3]",Single Deprotonation
HABWUE,"[1, 2]","[1, 2]",Single Deprotonation
HABXEO,"[1, 3]","[1, 3]",No Deprotonation
HABXOX,"[1, 19]","[1, 19]",Single Deprotonation
HABYEQ,"[4, 8]","[4, 8]",No Deprotonation
HACBAO,"[7, 8]","[7, 8]",Double Deprotonation
HACFEW,"[3, 5]","[3, 4]",Single Deprotonation
HACMAC,"[4, 14]","[4, 14]",Single Deprotonation
HACMUT,"[7, 8]","[7, 8]",Single Deprotonation
HACNUV,"[6, 7]","[6, 7]",No Deprotonation
HACPAD,"[7, 10]","[7, 10]",No Deprotonation
HACSIQ,"[6, 7]","[6, 7]",Single Deprotonation
HACTAJ,"[1, 2]","[1, 2]",Double Deprotonation
HACYUH,"[0, 1]","[0, 1]",Single Deprotonation
HACZUG,"[0, 1]","[0, 1]",Double Deprotonation
HADDOF,"[8, 19]","[8, 18]",Single Deprotonation
BUYNAC,"[8, 9]","[7, 8]",Single Deprotonation
BUYPIW,"[2, 4]","[2, 4]",Single Deprotonation
BUYRUI03,"[1, 2]","[1, 2]",Double Deprotonation
BUYTIY10,"[12, 14]","[12, 14]",Double Deprotonation
BUYTOE10,"[12, 14]","[12, 14]",Double Deprotonation
BUYXEY10,"[2, 5]","[2, 5]",Single Deprotonation
BUZLUG,"[0, 1]","[0, 1]",Single Deprotonation
BVXIPO,"[23, 30]","[23, 30]",No Deprotonation
BXCGPL,"[15, 19]","[15, 19]",Single Deprotonation
BXPROL02,"[2, 3]","[2, 3]",Single Deprotonation
BZACIN01,"[0, 1]","[0, 1]",Single Deprotonation
BZALSC01,"[1, 3]","[1, 3]",Single Deprotonation
BZAPUC20,"[4, 5]","[4, 5]",No Deprotonation
BZETBH,"[50, 52]","[49, 51]",Single Deprotonation
BZMALA,"[10, 11]","[10, 11]",Single Deprotonation
