Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
ACIWIS,0,-11.7,13.8,10.4,-63,25.4,22.1,Minimum,Minimum,Correct TS
ACIXAL,0,-14,-10.2,13.8,-63,3.7,27.7,Minimum,Minimum,Correct TS
ACLLEU,0,-3.1,2.4,15.3,-63,5.5,18.4,Minimum,Minimum,Correct TS
ACLTRY,0,-14.6,-9.9,12.8,-63,4.7,27.4,Minimum,Minimum,Correct TS
ACOMUC01,0,-13.5,-12.9,13.1,-63,0.6,26.6,Minimum,Minimum,Correct TS
ACONIR,0,-13.1,-10.4,12.7,-63,2.6,25.7,Minimum,Minimum,Correct TS
ACOQIS,0,-3.9,-0.3,12.8,-63,3.6,16.7,Minimum,Minimum,Correct TS
ACPENC10,0,-2.1,8.1,8.9,-63,10.2,11,Minimum,Minimum,Correct TS
ACRLAC02,0,-13.9,-11.2,12.7,-63,2.7,26.6,Minimum,Minimum,Correct TS
ACSALA27,0,-13.1,-12.4,13.4,-63,0.7,26.5,Minimum,Minimum,Correct TS
ADAGAQ,0,-8.2,7.3,10.8,-63,15.6,19,Minimum,Minimum,Correct TS
ADALAS,0,-15.9,13.7,4.5,-63,29.5,20.3,Minimum,Minimum,Correct TS
ADANUR,0,-6.4,-5.2,11.1,-63,1.2,17.5,Minimum,Minimum,Correct TS
ADAQEC,0,-2.7,-5.5,13.5,-63,-2.8,16.2,Minimum,Minimum,Correct TS
ADEHXL10,0,-6.8,18,13.2,-63,24.7,20,Minimum,Minimum,Correct TS
ADESOS,0,-6.3,17.4,12.8,-63,23.7,19,Minimum,Minimum,Correct TS
ADIBAR,0,-13.9,-9.2,13.1,-63,4.6,26.9,Minimum,Minimum,Correct TS
ADIHOK,0,-12.2,-13.4,7.7,-63,-1.1,20,Minimum,Minimum,Correct TS
ADIJAB,0,-7.1,-3.8,10.8,-63,3.3,18,Minimum,Minimum,Correct TS
ADINAD,0,-7,13.6,12.2,-63,20.6,19.2,Minimum,Minimum,Correct TS
ADLFUC,0,-1,-10.9,16.8,-63,-9.9,17.8,Minimum,Minimum,Correct TS
ADOGEG01,0,-16.1,-8.6,12.3,-63,7.5,28.3,Minimum,Minimum,Correct TS
ADOKIN,0,-27.8,72.2,5.4,-63,100,33.1,Minimum,Minimum,Correct TS
ADOTUJ,0,-12.8,6.9,8.3,-63,19.8,21.2,Minimum,Minimum,Correct TS
ADOXAV,0,-15.1,-2.4,3.9,-63,12.7,19,Minimum,Minimum,Correct TS
ADOXEZ,0,-10.6,6.9,6.6,-63,17.5,17.1,Minimum,Minimum,Correct TS
ADUPIY,0,-12.4,16.1,9.7,-63,28.5,22.1,Minimum,Minimum,Correct TS
ADUYUU,0,-2.8,19.8,12.8,-63,22.6,15.6,Minimum,Minimum,Correct TS
AFABIT,0,-30.7,-22.1,13.8,-63,8.6,44.6,Minimum,Minimum,Correct TS
AFAPIH,0,-3.1,-11.3,18.3,-63,-8.2,21.4,Minimum,Minimum,Correct TS
AFAPUT,0,-3.6,-7.8,18.1,-63,-4.2,21.7,Minimum,Minimum,Correct TS
AFAXUC,0,-12.5,2.9,7.7,-63,15.5,20.2,Minimum,Minimum,Correct TS
AFAZAK,0,-8.7,10.4,9.1,-63,19.1,17.9,Minimum,Minimum,Correct TS
AFEBOC,0,-6,11.4,10.8,-63,17.4,16.8,Minimum,Minimum,Correct TS
AFENOP,0,-4.7,20.3,15.4,-63,25,20.2,Minimum,Minimum,Correct TS
AFEQEJ,0,-13.7,-9.2,12,-63,4.5,25.6,Minimum,Minimum,Correct TS
AFEQIN,0,-13.7,-10.1,13.5,-63,3.6,27.2,Minimum,Minimum,Correct TS
AFEQOS,0,-6.2,-8.4,14.7,-63,-2.2,21,Minimum,Minimum,Correct TS
AFEQOT,0,-13.4,-12.8,13.8,-63,0.5,27.1,Minimum,Minimum,Correct TS
AFEREJ,0,-14.6,-8.9,13.1,-63,5.7,27.7,Minimum,Minimum,Correct TS
AFESEJ,0,-15,16.8,12.6,-63,31.8,27.5,Minimum,Minimum,Correct TS
AFESUZ,0,-2.6,19.7,15.8,-63,22.3,18.4,Minimum,Minimum,Correct TS
AFETOU,0,-9.1,12.6,11.9,-63,21.7,20.9,Minimum,Minimum,Correct TS
AFEVIR,0,-3.4,1,20.6,-63,4.4,24,Minimum,Minimum,Correct TS
AFEWIS,0,-7.2,19.9,7.6,-63,27.1,14.8,Minimum,Minimum,Correct TS
AFEWOY,0,-4.7,22.7,10.4,-63,27.4,15.1,Minimum,Minimum,Correct TS
AFIDOK,0,-2.6,-16.7,20,-63,-14.1,22.6,Minimum,Minimum,Correct TS
AFIDUQ,0,-0.8,-14.3,21.4,-63,-13.5,22.2,Minimum,Minimum,Correct TS
AFIGOO,0,-5.2,-9.2,14.2,-63,-4,19.4,Minimum,Minimum,Correct TS
AFILIM,0,-2.1,-11.4,14.2,-63,-9.3,16.3,Minimum,Minimum,Correct TS
AFINAG,0,-2.1,-2,13.7,-63,0.1,15.8,Minimum,Minimum,Correct TS
AFIPEM,0,-7.9,8,15,-63,15.9,22.9,Minimum,Minimum,Correct TS
AFIQEN,0,-22.8,-15.8,3.2,-63,7,26,Minimum,Minimum,Correct TS
AFISIS,0,3.6,13.7,12.8,-63,13.7,12.8,Minimum,Minimum,Correct TS
AFIXUK,0,-23.7,-2.2,5.8,-63,21.5,29.4,Minimum,Minimum,Correct TS
AFLATC,0,-7.5,9.2,10.3,-63,16.6,17.8,Minimum,Minimum,Correct TS
AFOCUV,0,-3.5,15.3,13.9,-63,18.8,17.4,Minimum,Minimum,Correct TS
AFOLUD,0,-10.2,5.3,7.2,-63,15.6,17.5,Minimum,Minimum,Correct TS
AFONOA01,0,-16.8,-29,4.5,-63,-12.2,21.3,Minimum,Minimum,Correct TS
AFUJAO,0,-3.9,-5.1,16.2,-63,-1.2,20.1,Minimum,Minimum,Correct TS
AFUSEC,0,-7.7,11.3,11.1,-63,19,18.8,Minimum,Minimum,Correct TS
AFUTDZ10,0,-14,18.8,14.7,-63,32.8,28.7,Minimum,Minimum,Correct TS
AFUVEE,0,-5.8,10.3,9.4,-63,16,15.2,Minimum,Minimum,Correct TS
AFUVOM,0,-20.1,-13.8,7.8,-63,6.3,27.9,Minimum,Minimum,Correct TS
AFUVUS,0,-17.2,-9.8,11.3,-63,7.5,28.5,Minimum,Minimum,Correct TS
AFUXOR,0,-7,12.1,10.1,-63,19.1,17.1,Minimum,Minimum,Correct TS
AGADIX,0,-5.7,8.8,9.4,-63,14.5,15.1,Minimum,Minimum,Correct TS
AGAKIE,0,-6.7,8,9,-63,14.7,15.7,Minimum,Minimum,Correct TS
AGALAM10,0,0.7,-11.9,20.8,-63,-11.9,20.8,Minimum,Minimum,Correct TS
AGENAC,0,-3.5,-0.2,13.3,-63,3.3,16.8,Minimum,Minimum,Correct TS
AGEPEK,0,-16.1,2.2,5.4,-63,18.2,21.4,Minimum,Minimum,Correct TS
AGESOX,0,-17.6,-6.3,4.5,-63,11.2,22.1,Minimum,Minimum,Correct TS
AGEVOZ,0,-4,-11,14.5,-63,-7,18.4,Minimum,Minimum,Correct TS
AGEYER,0,1.2,18.7,14.2,-63,18.7,14.2,Minimum,Minimum,Correct TS
AGIBAV,0,-13.7,-18,6.8,-63,-4.3,20.5,Minimum,Minimum,Correct TS
AGIGIJ,0,-12.5,12,12,-63,24.5,24.6,Minimum,Minimum,Correct TS
AGIGUV,0,-0.9,-7.7,14.4,-63,-6.8,15.3,Minimum,Minimum,Correct TS
AGIHEF,0,-6.5,16.9,11.7,-63,23.4,18.2,Minimum,Minimum,Correct TS
AGLCAM,0,-2.8,-9.1,19.4,-63,-6.3,22.2,Minimum,Minimum,Correct TS
AGODOR,0,-10.1,2.9,9.7,-63,13.1,19.9,Minimum,Minimum,Correct TS
AGOLAK,0,-2.9,-4.8,15.7,-63,-1.9,18.7,Minimum,Minimum,Correct TS
AGOLIS,0,-1.7,-5.4,16.3,-63,-3.7,17.9,Minimum,Minimum,Correct TS
AGOMAL,0,-1.3,-3.6,14.5,-63,-2.3,15.8,Minimum,Minimum,Correct TS
AGOQEU,0,-3.5,-8.4,17.8,-63,-4.9,21.3,Minimum,Minimum,Correct TS
AGOROF,0,-0.5,5.1,13.3,-63,5.6,13.8,Minimum,Minimum,Correct TS
AGOSEW,0,-16.3,-0.7,19.1,-63,15.7,35.5,Minimum,Minimum,Correct TS
AGUCEM,0,-4.9,11.5,13.5,-63,16.3,18.4,Minimum,Minimum,Correct TS
AGUJAO,0,-7,11.4,10.1,-63,18.4,17.1,Minimum,Minimum,Correct TS
AGULOF,0,-3.4,-11.6,12.5,-63,-8.2,15.9,Minimum,Minimum,Correct TS
AGURAV,0,-1,-9.2,21.5,-63,-8.3,22.5,Minimum,Minimum,Correct TS
AGUTON,0,-17,-18.1,2.6,-63,-1.1,19.6,Minimum,Minimum,Correct TS
AHATEI,0,-13.7,-11.1,12.1,-63,2.6,25.8,Minimum,Minimum,Correct TS
AHEWUF,0,-13.8,-30.8,7.4,-63,-17,21.1,Minimum,Minimum,Correct TS
AHIDIT,0,-0.5,-11.8,19.2,-63,-11.3,19.7,Minimum,Minimum,Correct TS
AHIJEH,0,-14.9,7.6,5.6,-63,22.6,20.6,Minimum,Minimum,Correct TS
AHILIM,0,-13.1,-10.8,13,-63,2.3,26.1,Minimum,Minimum,Correct TS
AHILOS,0,-12.9,-11,13.2,-63,2,26.2,Minimum,Minimum,Correct TS
AHIMUA,0,-9.6,8,7.4,-63,17.6,17.1,Minimum,Minimum,Correct TS
AHINUA,0,-6.7,-5.9,13.4,-63,0.8,20,Minimum,Minimum,Correct TS
AHINUC,0,-13.4,-4.5,10.9,-63,8.9,24.3,Minimum,Minimum,Correct TS
AHIROA,0,-14.3,-9.1,13.4,-63,5.2,27.6,Minimum,Minimum,Correct TS
AHMPIC,0,-4,-1.5,12.6,-63,2.5,16.5,Minimum,Minimum,Correct TS
AHPAZP10,0,-13.4,9.9,4.8,-63,23.3,18.2,Minimum,Minimum,Correct TS
AHUHER,0,-10.7,15.8,15.3,-63,26.5,26,Minimum,Minimum,Correct TS
AIPTHL10,0,-5.9,18.4,13.8,-63,24.2,19.6,Minimum,Minimum,Correct TS
AJAGEX,0,-15.1,-12.3,11,-63,2.8,26.1,Minimum,Minimum,Correct TS
AJAKAX,0,-13.7,-9.4,13,-63,4.3,26.7,Minimum,Minimum,Correct TS
AJASEK,0,-7.3,-17.7,33.7,-63,-10.4,41,Minimum,Minimum,Correct TS
AJISOD,0,-2.8,17.4,11.6,-63,20.2,14.4,Minimum,Minimum,Correct TS
AJIYEX,0,-4.4,14,11.7,-63,18.4,16.1,Minimum,Minimum,Correct TS
AJIZAU,0,-4.7,13.6,11.4,-63,18.2,16,Minimum,Minimum,Correct TS
AJOHAK,0,-6,-3.9,11.6,-63,2.2,17.6,Minimum,Minimum,Correct TS
AJOHEO,0,-4,-6.2,12.5,-63,-2.2,16.5,Minimum,Minimum,Correct TS
AJONEV,0,-6.9,4.4,7.8,-63,11.3,14.6,Minimum,Minimum,Correct TS
AJOPOE01,0,-5.6,6.7,11.8,-63,12.4,17.4,Minimum,Minimum,Correct TS
AJUCOY,0,-8.9,6,8.2,-63,14.9,17.1,Minimum,Minimum,Correct TS
AJUJOF,0,-4.8,-1.1,20.7,-63,3.6,25.4,Minimum,Minimum,Correct TS
AKAKOM,0,-8.2,7.4,8.8,-63,15.6,17,Minimum,Minimum,Correct TS
AKAUAC,0,-13.3,-9.9,12.1,-63,3.4,25.5,Minimum,Minimum,Correct TS
AKAWAK,0,-6.3,17.9,11.3,-63,24.2,17.6,Minimum,Minimum,Correct TS
AKAWER,0,-18.5,2.4,6.8,-63,20.9,25.3,Minimum,Minimum,Correct TS
AKAWIS,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS
AKEFII,0,-5.1,14.6,12.2,-63,19.7,17.3,Minimum,Minimum,Correct TS
AKEQEN,0,-7.1,11.1,11.4,-63,18.3,18.6,Minimum,Minimum,Correct TS
AKEQIR,0,-7.4,12,12.3,-63,19.3,19.6,Minimum,Minimum,Correct TS
AKEQOX,0,-5.3,-2.9,13.4,-63,2.3,18.6,Minimum,Minimum,Correct TS
AKIHIN,0,-3.2,16.5,13.7,-63,19.7,16.9,Minimum,Minimum,Correct TS
AKIWEW,0,0.5,-16,18.1,-63,-16,18.1,Minimum,Minimum,Correct TS
AKOCOU,0,-17.2,-3.7,5.4,-63,13.5,22.6,Minimum,Minimum,Correct TS
AKOLAQ,0,-13.3,-9.6,12.8,-63,3.7,26.1,Minimum,Minimum,Correct TS
AKOSUQ,0,-3.5,-7.9,14,-63,-4.5,17.5,Minimum,Minimum,Correct TS
AKOTOL,0,-2,14.1,11.6,-63,16.1,13.6,Minimum,Minimum,Correct TS
AKUSOP,0,3.2,-9.7,18.5,-63,-9.7,18.5,Minimum,Minimum,Correct TS
ALACEV01,0,-5.6,-2.5,12,-63,3.1,17.6,Minimum,Minimum,Correct TS
ALAGEZ,0,-3.4,34.1,13.8,-63,37.6,17.3,Minimum,Minimum,Correct TS
ALALIJ,0,-16.9,-2.4,6.6,-63,14.6,23.5,Minimum,Minimum,Correct TS
ALAMET01,0,-2.2,34.7,16,-63,36.9,18.2,Minimum,Minimum,Correct TS
ALEGAC,0,-9.3,6.8,10.7,-63,16.1,20,Minimum,Minimum,Correct TS
ALEJOS,0,-5.9,-6.5,9.1,-63,-0.6,14.9,Minimum,Minimum,Correct TS
ALETIW,0,-9.2,10.5,8.5,-63,19.8,17.8,Minimum,Minimum,Correct TS
ALEVUK,0,-11.9,15.4,11.3,-63,27.3,23.3,Minimum,Minimum,Correct TS
ALOBOV,0,-12.5,-16,7.4,-63,-3.5,19.9,Minimum,Minimum,Correct TS
ALODAH,0,-11.9,5.2,8.9,-63,17,20.8,Minimum,Minimum,Correct TS
ALOLIW,0,-6,18.8,12.5,-63,24.8,18.4,Minimum,Minimum,Correct TS
ALPALC10,0,-0.1,37.8,32.5,-63,37.9,32.6,Minimum,Minimum,Correct TS
ALUJIC,0,-5,14.1,11.6,-63,19,16.6,Minimum,Minimum,Correct TS
ALUXUC,0,-1.4,-0.2,19.6,-63,1.2,21,Minimum,Minimum,Correct TS
ALXANM11,0,-4.3,15.2,13.8,-63,19.4,18.1,Minimum,Minimum,Correct TS
AMANOF,0,0.4,-6.7,21.3,-63,-6.7,21.3,Minimum,Minimum,Correct TS
AMAPTZ,0,-12.5,1.4,7.9,-63,13.9,20.3,Minimum,Minimum,Correct TS
AMAQIQ,0,-2.1,-10.4,20.3,-63,-8.4,22.4,Minimum,Minimum,Correct TS
AMATEO,0,-12.5,5.1,8.7,-63,17.6,21.2,Minimum,Minimum,Correct TS
AMAYIY,0,-13.8,-9.5,13.7,-63,4.4,27.5,Minimum,Minimum,Correct TS
AMBACO10,0,-13.9,-10.4,12.5,-63,3.5,26.5,Minimum,Minimum,Correct TS
AMBNAC04,0,-13.4,-9.5,13.3,-63,3.9,26.7,Minimum,Minimum,Correct TS
AMCYTS,0,-7.4,16.5,12.2,-63,23.9,19.6,Minimum,Minimum,Correct TS
AMEMEL,0,-3.8,-4.3,11.8,-63,-0.4,15.6,Minimum,Minimum,Correct TS
AMEROZ,0,-11.3,-6,14.9,-63,5.3,26.3,Minimum,Minimum,Correct TS
AMEVOF,0,-6,-5.1,9.6,-63,1,15.6,Minimum,Minimum,Correct TS
AMHPYR,0,-4.7,-7.1,16.4,-63,-2.4,21.1,Minimum,Minimum,Correct TS
AMIMCA,0,-3.4,-3.5,15.3,-63,-0.1,18.7,Minimum,Minimum,Correct TS
AMIMDZ,0,-11.6,48.1,16.5,-63,59.6,28,Minimum,Minimum,Correct TS
AMITDZ,0,-11.1,21.2,17.7,-63,32.3,28.8,Minimum,Minimum,Correct TS
AMNPHA,0,-11.1,0.3,8.3,-63,11.4,19.4,Minimum,Minimum,Correct TS
AMOADA,0,-11.7,-14,8.7,-63,-2.3,20.3,Minimum,Minimum,Correct TS
AMOWOQ,0,-13.9,-12,12.8,-63,1.9,26.7,Minimum,Minimum,Correct TS
AMPHOM03,0,-12,-3.9,9,-63,8.2,21,Minimum,Minimum,Correct TS
AMPTRB10,0,-17.8,-35.8,6.7,-63,-18,24.5,Minimum,Minimum,Correct TS
AMTURM,0,-15.5,-13.2,10.6,-63,2.3,26.1,Minimum,Minimum,Correct TS
AMURAC,0,-14.2,-10.2,11.6,-63,4,25.9,Minimum,Minimum,Correct TS
AMXPZT,0,-10,-23.6,10.9,-63,-13.6,20.9,Minimum,Minimum,Correct TS
AMXZPY10,0,-8.9,2.1,6.5,-63,11,15.5,Minimum,Minimum,Correct TS
ANAGUT,0,-8.8,7.7,8.9,-63,16.5,17.7,Minimum,Minimum,Correct TS
ANAMUZ,0,-13.6,-12.2,12.5,-63,1.3,26.1,Minimum,Minimum,Correct TS
ANAZTP10,0,-13.1,15.8,9,-63,29,22.1,Minimum,Minimum,Correct TS
ANITUN,0,-11.8,19.8,9.7,-63,31.6,21.5,Minimum,Minimum,Correct TS
ANITUO,0,-6,7.5,10.6,-63,13.5,16.5,Minimum,Minimum,Correct TS
ANONAL11,0,-1.9,-5.4,12.9,-63,-3.4,14.8,Minimum,Minimum,Correct TS
ANONEX02,0,-7,9.7,11.8,-63,16.7,18.7,Minimum,Minimum,Correct TS
ANONIC,0,-3.8,-13.1,10,-63,-9.3,13.9,Minimum,Minimum,Correct TS
ANOVEG,0,-7.1,11.3,12.7,-63,18.5,19.9,Minimum,Minimum,Correct TS
APAKEJ,0,-4,4.9,11.1,-63,8.8,15.1,Minimum,Minimum,Correct TS
APANIQ,0,-10.6,8.7,7,-63,19.2,17.6,Minimum,Minimum,Correct TS
APAPIR,0,-7.8,14.5,12.2,-63,22.3,20,Minimum,Minimum,Correct TS
APAVIX,0,-5.5,10.8,10.7,-63,16.3,16.2,Minimum,Minimum,Correct TS
APAWAR,0,No Value,22.8,12.9,-63,No Value,No Value,Minimum,Minimum,Correct TS
APEGAF,0,-5.7,9.1,9.9,-63,14.8,15.6,Minimum,Minimum,Correct TS
APEJEM,0,-5.7,14.9,10.9,-63,20.5,16.5,Minimum,Minimum,Correct TS
APEVAU,0,-4,14.6,15.2,-63,18.6,19.1,Minimum,Minimum,Correct TS
APGPHI,0,-0.8,-14.3,20.3,-63,-13.5,21.2,Minimum,Minimum,Correct TS
APIDUZ,0,-7.8,11.9,13.4,-63,19.7,21.2,Minimum,Minimum,Correct TS
APIFAH,0,-11.7,6.8,8.8,-63,18.5,20.5,Minimum,Minimum,Correct TS
APOBUD,0,-19,-10.5,6.1,-63,8.5,25.2,Minimum,Minimum,Correct TS
APOTIJ,0,-5.6,17.4,13.5,-63,23,19.1,Minimum,Minimum,Correct TS
APOTOP,0,-5.4,-5,11.2,-63,0.4,16.6,Minimum,Minimum,Correct TS
APUGEZ,0,6.3,-2.4,12.4,-63,-2.4,12.4,Minimum,Minimum,Correct TS
APUJEB,0,-12.7,-9.5,13.4,-63,3.2,26,Minimum,Minimum,Correct TS
APYNAC,0,-12.6,6.8,4.2,-63,19.4,16.8,Minimum,Minimum,Correct TS
AQAGOQ,0,-15.3,11.3,11.9,-63,26.6,27.2,Minimum,Minimum,Correct TS
AQAHOR,0,-20.5,-19.2,3.2,-63,1.3,23.8,Minimum,Minimum,Correct TS
AQARUF01,0,-1.4,3.6,17.3,-63,5,18.7,Minimum,Minimum,Correct TS
AQEPES,0,-2.7,-8.4,18.3,-63,-5.7,21,Minimum,Minimum,Correct TS
AQEWUP,0,-9,2.9,8.7,-63,11.9,17.7,Minimum,Minimum,Correct TS
AQEYUQ,0,-14.3,-5.3,14.8,-63,9.1,29.1,Minimum,Minimum,Correct TS
AQIDIO,0,-5.1,13.2,13,-63,18.3,18.1,Minimum,Minimum,Correct TS
AQINAP,0,-11,2,5.7,-63,13,16.7,Minimum,Minimum,Correct TS
AQITOL,0,-3.7,-5.2,13.6,-63,-1.5,17.3,Minimum,Minimum,Correct TS
AQIWUU,0,-3.5,16.7,11.2,-63,20.2,14.7,Minimum,Minimum,Correct TS
AQMEDA,0,-6.7,-1.2,9.9,-63,5.5,16.5,Minimum,Minimum,Correct TS
AQOPIG,0,-26.4,10.3,6.2,-63,36.8,32.6,Minimum,Minimum,Correct TS
ARADED,0,-9.9,16.3,10.8,-63,26.2,20.7,Minimum,Minimum,Correct TS
ARANOW,0,-6.9,12,11.6,-63,19,18.6,Minimum,Minimum,Correct TS
AREBAC,0,-0.8,-7.1,17,-63,-6.3,17.8,Minimum,Minimum,Correct TS
AREVAW,0,-1.5,12.3,11.6,-63,13.8,13.1,Minimum,Minimum,Correct TS
ARFMAD,0,-11.8,1.6,8.5,-63,13.4,20.3,Minimum,Minimum,Correct TS
ARIDOV,0,-14,-11.2,12.8,-63,2.8,26.8,Minimum,Minimum,Correct TS
ARIFUE,0,-6.6,12.2,12.6,-63,18.8,19.2,Minimum,Minimum,Correct TS
ARIPUN,0,-13.5,-9.3,12.2,-63,4.2,25.7,Minimum,Minimum,Correct TS
AROJAU,0,-3.8,24.9,14.6,-63,28.7,18.4,Minimum,Minimum,Correct TS
AROQOP,0,-4.2,-7,13.9,-63,-2.8,18.1,Minimum,Minimum,Correct TS
ARUZOE,0,-7.3,-7.2,13.3,-63,0.2,20.7,Minimum,Minimum,Correct TS
ASAFUV,0,-6.6,14,12.6,-63,20.6,19.2,Minimum,Minimum,Correct TS
ASATOF,0,-14.5,-7.1,6.9,-63,7.4,21.5,Minimum,Minimum,Correct TS
ASAXIC,0,-17.6,-6.4,3.5,-63,11.2,21.1,Minimum,Minimum,Correct TS
ASEFOU,0,-4,13.4,12.2,-63,17.4,16.1,Minimum,Minimum,Correct TS
ASENIW,0,-14.2,-36.2,9.6,-63,-21.9,23.9,Minimum,Minimum,Correct TS
ASIJOC,0,-11,0.7,4.7,-63,11.7,15.8,Minimum,Minimum,Correct TS
ASITOL,0,-7.7,-0.9,9.8,-63,6.8,17.4,Minimum,Minimum,Correct TS
ASOLOL,0,-7.8,7.4,9.5,-63,15.2,17.3,Minimum,Minimum,Correct TS
ASOSEG,0,-11.6,-1,11.4,-63,10.6,23,Minimum,Minimum,Correct TS
ASOZIS,0,-12,-5.9,8.6,-63,6.1,20.6,Minimum,Minimum,Correct TS
ASPARM06,0,-1.2,8.2,16.4,-63,9.4,17.6,Minimum,Minimum,Correct TS
ASUYAO,0,-17.4,-9.7,3.4,-63,7.7,20.8,Minimum,Minimum,Correct TS
ATAWIC,0,22.7,16.4,16.8,-63,16.4,16.8,Minimum,Minimum,Correct TS
ATDZPY,0,-18.8,-31.5,4,-63,-12.7,22.8,Minimum,Minimum,Correct TS
ATESUO,0,-3.3,-7.1,9.4,-63,-3.8,12.7,Minimum,Minimum,Correct TS
ATETCY10,0,-3.7,-26.1,-2.4,-63,-22.4,1.3,Minimum,Minimum,Correct TS
ATEXOO,0,-16.1,-27.8,7.6,-63,-11.7,23.7,Minimum,Minimum,Correct TS
ATIKAR,0,-1,-5,12.3,-63,-4,13.3,Minimum,Minimum,Correct TS
ATIKEV,0,-5,-10,14.4,-63,-5,19.4,Minimum,Minimum,Correct TS
ATISUT,0,-3.4,-5.4,19.9,-63,-2,23.3,Minimum,Minimum,Correct TS
ATMHYD,0,-5.8,6.2,9.7,-63,12,15.5,Minimum,Minimum,Correct TS
ATOJUQ,0,-13.2,12.4,8.6,-63,25.6,21.8,Minimum,Minimum,Correct TS
ATOKAX,0,-15.4,9.9,9.2,-63,25.2,24.6,Minimum,Minimum,Correct TS
ATOLIG,0,-5.5,-9.9,12.3,-63,-4.4,17.8,Minimum,Minimum,Correct TS
ATOMAY,0,-2.5,-8.4,17.8,-63,-5.9,20.3,Minimum,Minimum,Correct TS
ATOMED,0,7.6,13.7,11,-63,13.7,11,Minimum,Minimum,Correct TS
ATOSAF,0,-14.1,2.3,2.7,-63,16.5,16.8,Minimum,Minimum,Correct TS
