Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
EHAHAY,0,1.6,19.4,12,-63,19.4,12,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EHAPOV,0,-10.9,-7.4,10.7,-63,3.6,21.6,Minimum,Minimum,Incorrect TS,Correct TS
EHAROV,0,-5.3,-10.8,11.8,-63,-5.5,17.2,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EHATAJ,0,0.8,-16.8,22.9,-63,-16.8,22.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
EHAZAR,0,-2.4,-22.3,19.8,-63,-19.9,22.2,Minimum,Minimum,Incorrect TS,Incorrect TS
EHAZOF,0,-11.9,1.1,6.7,-63,13,18.6,Minimum,Not Minimum,Correct TS,Correct TS
EHAZUL,0,-17.5,-6.8,2.5,-63,10.7,20.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EHEBAX,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Not Minimum,Correct TS,Correct TS
EHEVAQ,0,-10.9,-9.4,3.6,-63,1.5,14.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EHIKEM,0,28469586.4,-1157615.9,-1159011.6,-63,-1157615.9,-1159011.6,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EHIMIT,0,-8.6,6.6,9.6,-63,15.2,18.2,Minimum,Not Minimum,Correct TS,Correct TS
EHIQOC,0,-14.5,13.7,7.9,-63,28.2,22.5,Minimum,Minimum,Correct TS,Correct TS
EHISEU,0,-7.1,-9.4,11,-63,-2.3,18.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EHITOF,0,-5.2,-9.2,12.4,-63,-4,17.6,Not Minimum,Minimum,Incorrect TS,Correct TS
EHIXIC,0,No Value,-479.6,-442.4,-63,No Value,No Value,Not Minimum,Minimum,Incorrect TS,Correct TS
EHIXUQ,0,-6.1,-5.1,11.5,-63,0.9,17.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EHIYEB01,0,-7.4,8.6,10.8,-63,16,18.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
EHIYEZ01,0,-2.3,-12.7,19.1,-63,-10.4,21.4,Minimum,Minimum,Incorrect TS,Correct TS
EHMOHN,0,-63.3,-41.3,-40.7,-63,22,22.5,Not Minimum,Minimum,Correct TS,Correct TS
EHOGAM,0,-11.5,5.7,10.1,-63,17.2,21.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EHOQIE,0,-11.1,14.3,10.5,-63,25.4,21.5,Minimum,Minimum,Correct TS,Correct TS
EHOREA,0,-17,-9.3,6,-63,7.7,23,Not Minimum,Minimum,Incorrect TS,Correct TS
EHUGOE,0,0.2,-5.3,20.9,-63,-5.3,20.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EHUJAT,0,-10.8,2.3,8.5,-63,13.1,19.3,Minimum,Minimum,Correct TS,Correct TS
EHUKAU,0,-9.1,34,9.2,-63,43.1,18.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EHUKIC,0,-6,-1.2,12,-63,4.8,18,Minimum,Minimum,Incorrect TS,Correct TS
EHUPAZ,0,-3.2,14.9,11.4,-63,18.1,14.6,Minimum,Minimum,Correct TS,Correct TS
EHUSIL,0,2.4,-9.8,18.6,-63,-9.8,18.6,Minimum,Not Minimum,Incorrect TS,Correct TS
EHUSOS,0,-11.8,10.1,8.6,-63,21.9,20.4,Minimum,Minimum,Correct TS,Correct TS
EHUXIO,0,651.7,-2,12.9,-63,-2,12.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EHUZUD,0,-2.5,14.9,-57.6,-63,17.4,-55.1,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
EINACN10,0,-10.5,8.9,7.3,-63,19.4,17.8,Minimum,Minimum,Correct TS,Correct TS
EJABIB,0,-13.7,9.3,9.5,-63,23.1,23.2,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EJADOJ,0,0.8,-9,14.7,-63,-9,14.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EJAKAE,0,-0.6,-7.6,22.4,-63,-7,23,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EJATIT,0,-2.5,-9.2,12.3,-63,-6.7,14.8,Minimum,Minimum,Incorrect TS,Correct TS
EJAVAN,0,-6.3,-9.2,12.8,-63,-2.9,19.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EJECUT,0,-4.8,-9.2,11.5,-63,-4.4,16.3,Minimum,Minimum,Incorrect TS,Correct TS
EJEGIJ,0,-17.8,-3.9,2.1,-63,13.8,19.9,Minimum,Minimum,Incorrect TS,Correct TS
EJEGOP,0,-16.4,-8,2.1,-63,8.3,18.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EJEGUV,0,-17.2,-7.2,1.5,-63,10,18.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EJEGUX,0,-2,-10.4,20.2,-63,-8.4,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EJEHAC,0,-25.3,-14.9,-0.9,-63,10.5,24.5,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EJEHOS,0,4,-15.5,22.4,-63,-15.5,22.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
EJENOW,0,-15.7,-14.2,16.4,-63,1.5,32.1,Minimum,Minimum,Incorrect TS,Correct TS
EJENUC,0,-12,-27,3.1,-63,-15,15.1,Not Minimum,Not Minimum,Incorrect TS,Correct TS
EJESUI,0,-3,-12.7,15,-63,-9.7,18,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EJEVIY,0,-13.6,-11.5,11.9,-63,2.1,25.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EJEXAT,0,3.2,30.5,20.9,-63,30.5,20.9,Minimum,Minimum,Correct TS,Correct TS
EJIBEE,0,-5,14.5,14.3,-63,19.5,19.3,Minimum,Minimum,Correct TS,Correct TS
EJIKUF01,0,-13.8,-11.3,11.7,-63,2.5,25.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EJISEW,0,24.6,1.1,10.2,-63,1.1,10.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EJOLIA01,0,-4.4,319,350.5,-63,323.4,354.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
EJULOM,0,-690.4,-667.2,-667.1,-63,23.1,23.3,Not Minimum,Minimum,Correct TS,Correct TS
EJUTOV,0,-5.4,9.5,10.4,-63,14.9,15.8,Minimum,Minimum,Correct TS,Correct TS
EJUZEO,0,-12.5,-11.1,13.2,-63,1.4,25.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EKATIU,0,-7.3,10,9.8,-63,17.4,17.2,Minimum,Minimum,Correct TS,Correct TS
EKATUG,0,-7.5,11.2,10,-63,18.7,17.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EKAWIW,0,-23.8,-11.6,-9.2,-63,12.3,14.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EKECOM05,0,-12.4,-10.5,13.5,-63,1.9,25.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EKELIP,0,-3.7,19.6,13.7,-63,23.3,17.4,Minimum,Not Minimum,Correct TS,Correct TS
EKEYOL,0,-13.4,11.3,7.2,-63,24.7,20.7,Minimum,Minimum,Correct TS,Correct TS
EKILUI,0,1.3,-17.1,22.3,-63,-17.1,22.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
EKIMAP,0,0.6,-17.3,21.8,-63,-17.3,21.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
EKOKOE,0,-1.8,-13.4,15.6,-63,-11.6,17.5,Minimum,Minimum,Incorrect TS,Correct TS
EKOQAZ,0,-4.1,-7.7,11.8,-63,-3.6,15.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EKOVIL,0,-6.5,-5.5,14.6,-63,1,21,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EKOVOR,0,-9.2,4.1,20.8,-63,13.3,30,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EKOWEJ,0,-1.7,19.2,11.3,-63,20.9,13,Minimum,Minimum,Correct TS,Correct TS
EKOXOU,0,-6.1,17,9.8,-63,23.1,15.9,Not Minimum,Not Minimum,Correct TS,Correct TS
EKOZOV,0,-17.6,-3.9,-5.4,-63,13.7,12.2,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EKUJOL,0,-1.9,-1.1,15.3,-63,0.8,17.1,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EKUMOO,0,-1.1,-7.8,12.9,-63,-6.6,14.1,Minimum,Not Minimum,Incorrect TS,Correct TS
EKUNAZ,0,-5.9,-6,15.4,-63,-0.2,21.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EKUXUG,0,-12.3,-16.2,14.2,-63,-3.9,26.5,Minimum,Minimum,Incorrect TS,Correct TS
EKUYUH,0,-3.5,-2.2,14,-63,1.3,17.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELABEZ,0,-9.8,-5.6,22.5,-63,4.3,32.4,Minimum,Minimum,Incorrect TS,Correct TS
ELANUD,0,-1.3,14,8.5,-63,15.3,9.7,Not Minimum,Not Minimum,Correct TS,Correct TS
ELAPEP,0,-15.2,-7.3,6.7,-63,7.9,21.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ELAPIT,0,-16.4,7.2,5.2,-63,23.6,21.6,Minimum,Minimum,Correct TS,Correct TS
ELATES,0,-36,-20.4,27.4,-63,15.6,63.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELAWAQ,0,-5,No Value,No Value,-63,No Value,No Value,Not Minimum,Minimum,Calc Fail,Calc Fail
ELAWOF,0,-8.7,15.7,12.1,-63,24.3,20.7,Minimum,Not Minimum,Correct TS,Correct TS
ELAZUM,0,-6.7,17,13.3,-63,23.7,20,Minimum,Not Minimum,Correct TS,Correct TS
ELENEQ,0,-4.8,-10.8,13.6,-63,-5.9,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELERUK01,0,-10.2,25.6,6.4,-63,35.8,16.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELEVIA,0,-13.9,13.5,7.9,-63,27.4,21.8,Minimum,Minimum,Correct TS,Correct TS
ELEVUM,0,-0.6,-13.8,22,-63,-13.2,22.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELEWOK,0,-23.5,-12.1,-9.4,-63,11.4,14.2,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ELEZUQ,0,-4.2,11.3,14.1,-63,15.5,18.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ELIBAE,0,-6.6,-4.8,9.7,-63,1.8,16.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELIDUY,0,-5.3,14.8,10.8,-63,20.1,16.1,Minimum,Minimum,Correct TS,Correct TS
ELIGIP,0,-37.7,100.6,-23.1,-63,138.3,14.6,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ELIJEO,0,-12.2,-9.7,13.3,-63,2.5,25.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ELIJOY,0,-11.2,-5.1,9.2,-63,6.2,20.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELOBOX,0,-3.3,-9.5,19.6,-63,-6.2,23,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELOCUF,0,-7.9,10.3,8.9,-63,18.2,16.9,Minimum,Not Minimum,Correct TS,Correct TS
ELOJUM,0,-9.3,2.3,8,-63,11.6,17.3,Minimum,Minimum,Correct TS,Correct TS
ELOKAT,0,-8,6.1,6.5,-63,14,14.4,Minimum,Not Minimum,Correct TS,Correct TS
ELONEY,0,-14.1,-12.9,13.2,-63,1.2,27.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ELOPUQ,0,-23,-14.3,-12.3,-63,8.7,10.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ELORAB,0,-8.5,11.2,12.5,-63,19.7,21.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ELOVOS,0,-16184.4,-16199.2,-16166.9,-63,-14.9,17.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ELUFUN,0,-16.8,6.9,5.6,-63,23.7,22.4,Minimum,Minimum,Correct TS,Correct TS
ELUGAU,0,-6,17.3,13.9,-63,23.3,19.9,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ELUGEY,0,-5,17.6,14.7,-63,22.6,19.8,Minimum,Minimum,Correct TS,Correct TS
ELUGOI,0,-983.4,-961.8,-963.8,-63,21.6,19.6,Not Minimum,Minimum,Correct TS,Correct TS
ELULUT,0,-11,5.4,12.6,-63,16.4,23.5,Minimum,Minimum,Correct TS,Correct TS
ELUWUF,0,-17.5,-31.5,-2.6,-63,-14,14.9,Not Minimum,Minimum,Incorrect TS,Correct TS
EMAWIZ,0,-11.6,9.1,8.3,-63,20.7,19.9,Minimum,Not Minimum,Correct TS,Correct TS
