Index,Reactant 1,Reactant 2,Product,Product MW,Procedure,Yield (%),Steps,Reagent(s),Ligand(s),Catalyst(s),Solvent(s),Time (h),Temperature (°C),All Reagents,All Catalysts,Reference Type,Reference
43,2-iodo(trifluoromethyl)benzene,para-thiocresol,2-(2-(trifluoromethyl)phenylthio)-5-methylphenol,284.302,None,84,1,caesium carbonate,(E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one,copper(I) iodide,dimethyl sulfoxide,10,100,copper(I) iodide | (E)-3-(dimethylamino)-1-(2-hydroxyphenyl)prop-2-en-1-one | caesium carbonate | dimethyl sulfoxide,None,Article,"Xu, Runsheng Wan, Jie-Ping Mao, Hui Pan, Yuanjiang, 2010, J. Am. Chem. Soc., 132, 44, 2010, 15531 - 15533, 10.1021/ja107758d"
14,2-iodoacetophenone,thiophenol,1-(2-(phenylthio)phenyl)ethanone,228.315,None,66,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
10,2-Sulfanylpyridine,p-nitrobenzene iodide,2-((4-nitrophenyl)thio)pyridine,232.263,None,69,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
12,2-Sulfanylpyridine,para-nitrophenyl bromide,2-((4-nitrophenyl)thio)pyridine,232.263,None,71,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
9,iodobenzene,p-Chlorothiophenol,phenyl p-chlorophenyl sulfide,220.722,None,73,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
13,1-(2-bromo-4-fluorophenyl)ethanone,p-Chlorothiophenol,2-acetyl-5-fluorophenyl 4-chlorophenyl sulfide,280.75,None,73,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
43,1-bromo-4-trifluoromethyl-2-nitrobenzene,thiophenol,(2-nitro-4-(trifluoromethyl)phenyl)phenylthioether,299.273,None,75,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
17,1-Chloro-4-iodobenzene,2-amino-benzenethiol,2-(4-chlorophenylthio)aniline,235.737,None,78,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
30,2-iodobenzyl alcohol,thiophenol,phenyl 2-hydroxymethylphenyl sulfide,216.304,None,79,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
42,2-bromophenyl methyl ketone,thiophenol,1-(2-(phenylthio)phenyl)ethanone,228.315,None,79,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
45,4-Methoxybenzenethiol,1-Chloro-4-iodobenzene,(4-chlorophenyl)-(4-methoxyphenyl)sulfane,250.749,None,80,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
2,"3,5-dimethylphenyl iodide",thiophenol,"3,5-dimethylphenyl phenyl sulfide",214.331,None,84,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
16,thiophenol,4-bromo-aniline,4-aminophenyl phenyl sulfide,201.292,None,84,2,sodium iodide,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water | water,24,120 | 120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane | sodium iodide | copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
1,2-Sulfanylpyridine,iodobenzene,2-phenylsulfanylpyridine,187.265,None,87,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
15,4-Methoxybenzenethiol,1-(2-bromo-4-fluorophenyl)ethanone,2-acetyl-5-fluorophenyl 4-methoxyphenyl sulfide,276.331,None,87,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
50,"6-ethyl-2-mercapto-7H-pyrrolo[2,3-d]pyrimidin-4-ol","7-iodopyrido[2,3-b]pyrazine","6-ethyl-2-(pyrido[3,2-b]pyrazin-7-ylthio)-7H-pyrrolo[2,3-d]pyrimidin-4-ol",324.366,None,93,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,1-methyl-pyrrolidin-2-one,None,None,"1-methyl-pyrrolidin-2-one | copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Tari, Leslie W. Trzoss, Michael Bensen, Daniel C. Li, Xiaoming Chen, Zhiyong Lam, Thanh Zhang, Junhu Creighton, Christopher J. Cunningham, Mark L. Kwan, Bryan Stidham, Mark Shaw, Karen J. Lightstone, Felice C. Wong, Sergio E. Nguyen, Toan B. Nix, Jay Finn, John, 2013, Bioorg. Med. Chem. Lett., 23, 5, 2013, 1529 - 1536, 10.1016/j.bmcl.2012.11.032"
21,2-iodophenylamine,thiophenol,2-phenylsulfanyl-aniline,201.292,None,95,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
39,4-Methoxybenzenethiol,para-nitrophenyl bromide,4-(4-methoxyphenylsulfanyl)nitrobenzene,261.301,None,95,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
12,p-nitrobenzene iodide,4-Methoxybenzenethiol,4-(4-methoxyphenylsulfanyl)nitrobenzene,261.301,None,97,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
50,iodobenzene,2-amino-benzenethiol,2-phenylsulfanyl-aniline,201.292,None,98,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
16,2-Sulfanylpyridine,1-bromo-4-trifluoromethyl-2-nitrobenzene,2-nitro-4-trifluoromethylphenyl 2-pyridinyl sulfide,300.261,None,99.9,1,None,"(S,S)-1,2-diaminocyclohexane",copper(I) iodide,water,None,120,"copper(I) iodide | (S,S)-1,2-diaminocyclohexane",None,Article,"Carril, Monica SanMartin, Raul Dominguez, Esther Tellitu, Imanol, 2007, Chem. Eur. J., 13, 18, 2007, 5100 - 5105, 10.1002/chem.200601737"
1,4-Fluorothiophenol,"1,2-Diiodobenzene",4-fluorophenyl 2-iodophenyl sulfide,330.164,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",69,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
2,4-Fluorothiophenol,"1,3-Diiodobenzene",4-fluorophenyl 3-iodophenyl sulfide,330.164,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",71,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
49,"1,3-Diiodobenzene",2-Naphthalenethiol,3-iodophenyl 2-naphthyl sulfide,362.234,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",72,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
50,"1,2-Diiodobenzene",2-amino-benzenethiol,2-(2-iodophenylsulfanyl)-phenylamine,327.189,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",74,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
44,"1,2-Diiodobenzene",para-bromobenzenethiol,4-bromophenyl 2-iodophenyl sulfide,391.07,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",76,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
46,"1,3-Diiodobenzene",para-bromobenzenethiol,4-bromophenyl 3-iodophenyl sulfide,391.07,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",78,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
39,toluene-3-thiol,"1,2-Diiodobenzene",2-iodophenyl 3-tolyl sulfide,326.201,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",80,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
45,"1,3-Diiodobenzene",thiophenol,3-iodophenyl phenyl sulfide,312.174,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",80,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
40,"1,2-Diiodobenzene",2-Naphthalenethiol,2-iodophenyl 2-naphthyl sulfide,362.234,"General procedure: Diiodobenzene 1 (0.2 mmol), (het)aryl thiol 2 (0.3 mmol), CuI (0.04mmol), ligand L1 (0.04 mmol), and Cs2CO3 (0.4 mmol) were added to DMSO (1 mL) in a 25-mL round-bottomed flask equipped witha stirring bar. The mixture was stirred at 100 °C for 18 h under N2 then cooled to r.t. H2O (8 mL) was added and the resulting residue was extracted with EtOAc (3 × 8 mL). The organic layers were combined, dried (MgSO4), and concentrated under reduced pressure.The residue was purified by silica flash column chromatography (petroleum ether).",81,1,caesium carbonate,1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone,copper(I) iodide,dimethyl sulfoxide,18,100,copper(I) iodide | 1-(2-hydroxyphenyl)-3-dimethylaminoprop-2-enone | caesium carbonate,None,Article,"Liu, Yunyun Wang, Hang Cao, Xiaoji Fang, Zheng Wan, Jie-Ping, 2013, Synthesis, 45, 21, 2013, 2977 - 2982, 10.1055/s-0033-1338525"
