Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
QUZFAT,75.97,4.84,212.13,2.03,-3.3198,-3.0136,0.2916,-0.2132,1.3366,2.9974,5.9286,8.4635,0.3946,1.106,10.1582,6.3142,12.6375,9.7567,1.5327,0.0713,12.5
HITQUW,83.06,1.07,199.31,3.84,-3.0536,-2.2089,0.1798,-0.2053,1.3182,3.0642,5.7112,6.8964,0.3947,1.1259,10.1719,6.3377,12.735,9.7474,1.3355,0.0097,20.3
LOLYOC,78.39,1.37,221.84,2.15,-3.1958,-2.4171,0.2067,-0.2359,1.3413,3.0459,5.9505,7.0206,0.3948,1.1237,10.1685,6.3341,12.6738,9.7854,1.4123,0.0116,13.5
EJEXAT,82.7,2.07,204.43,2.14,-2.7638,-1.9127,0.1943,-0.2234,1.3202,3.0176,5.8293,7.033,0.3948,1.0244,10.1878,6.3477,12.6541,9.8039,1.3706,0.0097,30.5
KOTMOV,80.46,-0.53,178.38,1.87,-3.2733,-2.2776,0.1996,-0.1941,1.3172,3.1352,5.8288,6.9718,0.3951,0.9911,10.1614,6.3558,12.6642,9.7804,1.3622,0.0124,19.3
GOKSAC,81.16,4.46,174.79,1.7,-3.3512,-2.8614,0.3905,-0.1711,1.3106,1.9752,5.8674,8.4174,0.3953,0.9954,10.1456,6.2961,12.5877,9.7256,1.4297,0.0972,17
XAXLIU,75.67,4.37,212.05,2.14,-3.293,-2.8988,0.2898,-0.2168,1.3408,3.0815,5.9054,8.4458,0.3955,1.0983,10.1594,6.3133,12.636,9.7609,1.5503,0.0686,11.4
HESRUS10,84.19,-5.46,183.25,3.2,-4.3221,-2.0066,0.179,-0.2373,1.4358,3.0445,6.099,6.9379,0.3956,1.0614,10.172,6.3152,12.581,9.9248,1.3895,0.0168,7.4
KUTTOJ,81.19,2.3,195.45,2,-2.6223,-1.607,0.1744,-0.2183,1.3302,3.1417,5.9517,7.0578,0.3957,1.0206,10.1918,6.3516,12.6618,9.8122,1.3698,0.0123,30.3
YORBAL,81.53,3.19,232.89,3.52,-2.7049,-1.9173,0.2158,-0.2223,1.3153,2.9184,5.7996,7.0194,0.3958,1.02,10.1918,6.3491,12.6329,9.8022,1.3435,0.0089,21
KUFLUU01,90.46,7.23,208.31,2.39,-3.1529,-2.8956,0.2944,-0.1928,1.3056,3.1907,5.9259,8.4314,0.3958,0.9914,10.1656,6.3091,12.6468,9.7497,1.4396,0.0648,16.2
FIRKID,91.62,8.97,183,1.1,-3.4824,-3.1106,0.3871,-0.1685,1.3071,1.9355,5.8034,8.4248,0.3961,0.9923,10.1435,6.3011,12.5954,9.7164,1.444,0.0849,14.7
SODRUA,81.39,-1.57,174.67,1.49,-3.2431,-2.3942,0.2885,-0.2016,1.3497,2.9593,5.8689,8.3859,0.3961,1.0072,10.1587,6.3159,12.6095,9.7861,1.4917,0.053,28.1
ABOSOB,75.63,4.37,213.24,2.5,-3.1006,-2.414,0.2947,-0.2278,1.3462,3.0255,6.0203,8.4601,0.3963,1.1104,10.1675,6.3118,12.6173,9.7762,1.5217,0.0738,12.1
WALNOP,84.97,12.94,208.75,1.79,-3.0171,-2.4048,0.2855,-0.1929,1.2864,3.2218,5.9206,8.4743,0.3971,0.9916,10.1597,6.3228,12.6482,9.7435,1.432,0.0524,22
JIGDAE,85.91,-2.2,188.82,3.4,-2.8442,-2.5457,0.2995,-0.219,1.4036,2.9391,5.9218,8.4359,0.3972,1.0438,10.1736,6.3191,12.5562,9.8253,1.5421,0.0556,30.5
JORMEI,94.28,2.28,183.96,4.14,-2.6863,-1.9112,0.3616,-0.2091,1.4003,1.9292,5.9029,8.4398,0.3973,1.0187,10.1873,6.3063,12.5391,9.793,1.4398,0.053,15.3
YUMDOA,80.83,13.49,176.6,1.55,-2.614,-1.6552,0.3508,-0.2189,1.351,1.9262,5.9273,8.4322,0.3975,1.0696,10.1835,6.2965,12.5576,9.795,1.4437,0.0561,19.3
ATOMED,85.13,10.43,184.6,1.8,-2.7288,-2.0441,0.3584,-0.213,1.3005,1.9315,5.9549,8.3694,0.3975,1.0681,10.1725,6.2874,12.5779,9.7764,1.4238,0.0591,13.7
RECNOF,80.28,-0.98,171.58,1.76,-3.4504,-2.9568,0.204,-0.1794,1.329,2.9797,5.8232,7.0184,0.3982,1.0025,10.144,6.3639,12.6528,9.7793,1.3673,0.0106,23.7
TUNBAH,82.74,1.99,214.06,2.28,-3.3786,-2.3415,0.1739,-0.1982,1.3101,2.8402,5.6941,6.9674,0.3982,1.131,10.1663,6.3441,12.7391,9.7429,1.2755,0.0096,13.7
IXEWOY,75.38,3.59,204.47,2.59,-3.3557,-2.76,0.2063,-0.1887,1.3196,2.9019,5.7069,7.0353,0.3984,0.9845,10.1555,6.3644,12.6571,9.7722,1.3979,0.0093,17.8
KINTUY,79.6,9.73,187.14,4.36,-2.8755,-1.9525,0.2869,-0.2211,1.3396,2.0294,5.8663,7.2374,0.3985,1.0737,10.186,6.3106,12.6041,9.7984,1.3104,0.0158,24.2
FERFOZ,78.24,-0.9,180.44,1.7,-3.5207,-2.7626,0.1991,-0.1753,1.3407,2.9358,5.8025,6.9804,0.3988,0.9972,10.1408,6.3706,12.6499,9.7804,1.3768,0.0135,26.9
XOSHOD,90.4,2.81,186.84,3.11,-3.358,-3.3586,0.3624,-0.1562,1.3246,2.0161,5.7976,8.3693,0.3988,0.9996,10.1373,6.2928,12.6031,9.7417,1.5002,0.0526,19.4
YEFVEL,74.71,5.82,210.92,2.55,-3.3156,-2.6225,0.2967,-0.2146,1.3428,3.0637,5.9854,8.444,0.3989,1.1094,10.1601,6.3127,12.6325,9.7582,1.5156,0.0711,9.9
KOZPUN,87.96,3.57,196.79,1.7,-3.556,-3.0091,0.1667,-0.167,1.3036,3.1816,5.8224,7.0379,0.3991,0.9831,10.1429,6.3502,12.7217,9.7614,1.2525,0.0124,14.2
QAJVOO,75.74,4.3,213.82,2.32,-3.1672,-2.6246,0.2894,-0.2215,1.3462,3.0154,5.9648,8.4515,0.3992,1.1032,10.1662,6.3109,12.6298,9.7698,1.5333,0.0696,12.3
CUFRIH,79.94,2.8,183.64,1.85,-3.4666,-2.2546,0.1933,-0.2095,1.3686,3.0459,5.912,6.945,0.3992,1.0401,10.1658,6.352,12.647,9.8077,1.3321,0.015,17.8
FOGSEA,81.83,0.72,194.42,2.06,-3.2958,-2.8351,0.182,-0.1945,1.3045,2.972,5.8615,6.9856,0.3992,0.9956,10.1667,6.3411,12.704,9.7729,1.3557,0.0089,21.3
ROFLIJ,87.86,7.7,185.75,1.7,-2.6922,-2.7147,0.364,-0.2103,1.3144,1.9571,5.9029,8.3896,0.3994,1.0362,10.1787,6.2862,12.5988,9.751,1.4486,0.0664,18
ECIBOJ,83.91,11.77,179.63,1.59,-2.6678,-1.7417,0.3445,-0.215,1.3607,1.9277,5.9154,8.4143,0.3995,1.0624,10.1799,6.2933,12.567,9.7952,1.4447,0.0561,19.4
YUHYEF,59.53,2.23,148.53,2.28,-2.6422,-1.8084,0.3402,-0.2122,1.411,1.9167,5.8035,8.5484,0.3996,1.0758,10.2013,6.3463,12.5168,9.7967,1.6618,0.0774,26.3
GUHXOZ,84.17,3.41,203.57,2.2,-2.5779,-2.0171,0.2741,-0.215,1.2932,1.6625,5.9505,7.026,0.3996,1.0722,10.1895,6.3171,12.6299,9.7789,1.4404,0.0105,23.6
HIGCAB,79.69,6.91,178.61,3.51,-2.8758,-1.8791,0.2982,-0.2177,1.3422,2.0127,5.9044,7.328,0.3999,1.0516,10.1786,6.3093,12.5977,9.7947,1.4059,0.0204,25.7
MOSYAV,80.98,0.49,206.6,2.21,-3.5482,-2.6888,0.3032,-0.1896,1.3147,2.9456,5.7155,8.3659,0.4,1.0975,10.1407,6.3166,12.6293,9.7509,1.5015,0.0597,23.3
PATBEU,80.76,3.56,172.64,1.87,-2.9579,-2.2822,0.3626,-0.1947,1.329,1.9692,5.8483,8.3897,0.4003,1.0077,10.153,6.3055,12.5699,9.7621,1.4572,0.055,14.4
SECHUG01,94.55,7.54,188.39,1.52,-2.5065,-1.5604,0.3408,-0.2102,1.3696,1.9311,5.9005,8.4524,0.4003,1.0514,10.1872,6.2965,12.5628,9.7999,1.4638,0.0487,19.9
VIXNEY,81.92,0.75,195.57,1.54,-3.4636,-2.7098,0.171,-0.1857,1.3271,3.2277,5.7258,7.0138,0.4005,1.1094,10.1526,6.3356,12.7435,9.7499,1.3193,0.009,20
CIZRAE,74.95,5.42,210.93,2.1,-3.2512,-2.7523,0.2951,-0.2195,1.3426,3.062,5.9246,8.4461,0.4007,1.1145,10.1609,6.3131,12.6281,9.7637,1.524,0.0738,10.9
TICYAG,84.51,11.84,203.75,2.56,-2.6772,-1.7027,0.2965,-0.2109,1.2478,1.8845,5.7919,6.9729,0.4008,1.0366,10.1818,6.3266,12.6008,9.7761,1.3642,0.0162,24.1
LEJYOP,64.63,-0.7,170.97,1.7,-2.7601,-1.8843,0.2368,-0.2083,1.416,1.9542,5.934,7.1671,0.401,1.0348,10.1762,6.3358,12.5968,9.8306,1.3778,0.0115,28.6
QUZNOP,76.34,4.28,214.29,2.03,-3.1524,-2.5803,0.2942,-0.2252,1.347,2.9826,5.9708,8.4696,0.4019,1.1125,10.1655,6.3127,12.62,9.7731,1.5289,0.0718,12.4
ZOLRAW,79.32,1.42,205.36,2.75,-3.5023,-2.5861,0.2718,-0.1822,1.3566,1.9452,5.8708,6.9918,0.4022,1.0011,10.1528,6.3348,12.6283,9.7652,1.2087,0.0122,15.8
DOWROY,79.68,1.59,204.17,1.75,-2.9235,-2.2341,0.2116,-0.2156,1.3221,2.9335,5.8489,7.0081,0.4023,1.0166,10.182,6.3411,12.6507,9.7966,1.3434,0.0098,22.9
TIVPOE,67.4,0.72,203.05,2.45,-2.5308,-1.9753,0.1898,-0.2278,1.3193,2.9374,6.0003,7.0482,0.4023,1.1241,10.1871,6.3451,12.6724,9.7926,1.3951,0.0106,24.6
FUFLEX,83.06,-0.25,173.49,2.6,-2.5217,-1.7072,0.3326,-0.2074,1.3543,2.0867,5.8785,8.5854,0.4025,1.028,10.1863,6.3215,12.5458,9.8001,1.4772,0.0906,26.3
KERTAD,86.02,-15.82,175.33,1.7,-3.2897,-3.2818,0.3174,-0.1928,1.3663,2.8933,5.8074,8.462,0.4026,1.0185,10.1442,6.3187,12.59,9.774,1.5415,0.0645,29.9
NILLEB,81.24,13.69,177.13,1.7,-2.6403,-1.8633,0.3479,-0.2216,1.3532,1.9215,5.9791,8.4076,0.4027,1.0769,10.1841,6.2933,12.5623,9.7965,1.4499,0.0589,22.6
HOHRIF,76.14,2.12,209.35,1.96,-3.1321,-2.8712,0.3,-0.2026,1.3417,3.037,5.834,8.4309,0.4031,1.0414,10.1732,6.315,12.6259,9.7591,1.5234,0.0663,16.2
NUJKEJ02,79.38,0.89,228.87,2.59,-3.4308,-2.8993,0.2875,-0.2045,1.3567,3.175,5.9162,8.4178,0.4031,1.029,10.1666,6.3061,12.6431,9.7633,1.5202,0.0693,17.1
HETTUY,79.61,1.28,197.08,2.09,-4.119,-3.1444,0.1643,-0.1747,1.3381,3.1223,5.7856,7.0475,0.4035,1.0874,10.1372,6.3396,12.7387,9.7575,1.1855,0.0123,23.7
RELZEN,62.2,1.99,184.8,3.28,-2.4471,-1.565,0.2773,-0.2098,1.3392,1.8624,5.8696,7.2088,0.4037,1.028,10.1951,6.3473,12.5795,9.7959,1.386,0.0101,22.5
BADQEF,83.85,15.87,204,2.3,-2.609,-1.591,0.1316,-0.2308,1.3249,1.9374,5.7772,7.0011,0.4043,1.0394,10.1979,6.3919,12.6497,9.8268,1.3369,0.0125,26.5
XEXNEU,83.69,6.28,177.41,1.75,-3.5363,-3.3087,0.3719,-0.1565,1.277,1.9924,5.8165,8.3751,0.4045,1.0111,10.1292,6.2991,12.6131,9.7158,1.4462,0.0578,15.5
BIPXUW,84.75,12.57,182.27,1.8,-2.7558,-1.8565,0.3529,-0.2146,1.3518,1.9728,5.8913,8.4218,0.4049,1.0936,10.1794,6.2913,12.5799,9.7759,1.4669,0.064,16.5
KOXBUW,78.93,1.89,189.59,1.7,-3.8158,-3.0434,0.2962,-0.1739,1.3353,2.0748,5.6376,6.8901,0.4051,1.1004,10.1376,6.3019,12.6815,9.7205,1.282,0.0137,18.3
DBZCTD,107.79,6.56,199.74,3.14,-3.3503,-2.6298,0.3805,-0.1712,1.3088,2.0014,5.7993,8.4068,0.4053,1,10.147,6.2949,12.5894,9.7352,1.4503,0.0672,12.8
BOPMAU,80.97,2.58,190.7,2.24,-2.8124,-1.8779,0.1704,-0.2202,1.343,3.1598,5.9911,7.0609,0.4057,1.0166,10.1863,6.3467,12.6759,9.8071,1.3475,0.012,25.7
JATTOO,80.54,14.02,178.87,1.7,-2.5944,-1.7608,0.3592,-0.2102,1.3379,1.9259,5.9718,8.4345,0.4059,1.061,10.1756,6.2947,12.5601,9.786,1.4424,0.0545,21.9
QUYDUK,85.15,14.71,199.23,2.36,-2.5639,-1.5946,0.2802,-0.2166,1.3206,3.0445,5.958,8.4839,0.406,1.0289,10.1873,6.3266,12.5998,9.7934,1.4525,0.0672,24.3
VUXRAI,81.28,1.85,180.93,1.98,-3.6216,-2.4009,0.2726,-0.2134,1.3833,2.9605,5.8963,8.4204,0.4071,1.0445,10.1632,6.3208,12.6173,9.7893,1.4678,0.06,13.8
TASHAW01,81.27,11.71,173.54,1.81,-2.905,-2.4414,0.3113,-0.2119,1.3276,2.0132,5.9482,7.5974,0.4073,1.0754,10.1706,6.321,12.5814,9.7863,1.4382,0.0064,33.9
VIRDEH,85.41,13.82,215.39,1.64,-3.1642,-2.5642,0.3959,-0.1901,1.3054,1.9126,5.8781,8.4657,0.4076,1.0038,10.1655,6.2872,12.6048,9.7122,1.4437,0.0565,15.3
FOZLEM,86.53,7.52,185.53,1.71,-2.556,-1.5514,0.1741,-0.2202,1.3158,2.9303,5.9117,7.5082,0.4077,1.0328,10.1881,6.3622,12.6435,9.8202,1.3233,0.0071,29.1
WIBZEM,60.23,1.7,156.58,3.68,-2.4582,-1.7183,0.3286,-0.2086,1.4024,1.9157,5.8708,8.4852,0.4081,1.0459,10.1847,6.3383,12.5262,9.8069,1.6849,0.0589,25.9
MOYWUU,81.49,0.8,195.33,1.85,-3.2889,-2.4209,0.1713,-0.1993,1.3309,3.2188,5.7613,7.0305,0.4083,1.1138,10.1627,6.3348,12.7335,9.7604,1.3138,0.009,19
YERZUT,75.06,5.28,211.11,2.25,-3.1683,-2.5403,0.3017,-0.2224,1.3388,3.0376,5.9538,8.4489,0.4085,1.1129,10.1625,6.3106,12.6223,9.7653,1.5211,0.0712,12.8
TUSGUK,79.92,0.29,189.42,2.65,-3.362,-2.4073,0.3009,-0.1919,1.338,2.9118,5.8522,8.3758,0.4085,0.997,10.1522,6.3186,12.6101,9.7704,1.4781,0.0642,26.3
QEVRAN,82.54,11.24,182.37,1.4,-2.6247,-2.3016,0.3584,-0.2156,1.3319,1.9606,5.9283,8.4187,0.4085,1.0296,10.1773,6.2927,12.5634,9.7854,1.4309,0.0539,20.3
ZAQCEB,81.92,0.71,195.83,1.75,-3.483,-2.8949,0.1689,-0.1834,1.3208,3.2222,5.7095,7.0094,0.4085,1.125,10.151,6.3366,12.7486,9.7459,1.3116,0.0093,18.6
GADZER02,85.04,-0.15,177.41,1.72,-3.5517,-2.9772,0.3819,-0.1606,1.3538,2.0195,5.8404,8.3807,0.4087,0.9971,10.139,6.3023,12.5891,9.7267,1.3972,0.1039,13.4
XACSOL,84.32,2.58,185.44,2.94,-3.5617,-3.3339,0.426,-0.151,1.2312,1.8559,5.8588,8.3886,0.4092,1.0031,10.1413,6.2813,12.6305,9.6622,1.4416,0.076,24.6
MIZMIT01,83.89,0.87,190.23,1.7,-2.8054,-1.7809,0.2458,-0.2113,1.3741,3.1826,5.9739,8.4067,0.4093,1.0591,10.1861,6.3099,12.6488,9.7954,1.4401,0.0536,24.9
QUDPOW,86.02,10.97,180.6,1.63,-2.5931,-1.5405,0.2315,-0.2147,1.3755,1.6083,5.8767,7.0134,0.4094,1.0454,10.1901,6.3428,12.6006,9.825,1.2745,0.0137,25.3
HEFXIB,60.01,1.8,154.77,1.88,-2.5188,-1.9788,0.328,-0.2124,1.4163,1.9047,5.8257,8.5034,0.4101,1.0132,10.2021,6.3451,12.5279,9.7989,1.5937,0.0559,24.2
SEJCIV,86.24,12.94,202.93,2.53,-2.7375,-2.3117,0.2977,-0.2163,1.3196,3.1469,5.9527,8.4732,0.4101,1.0741,10.1791,6.3196,12.5909,9.7918,1.4973,0.0671,19.7
WEKBAP,93.75,-1.14,187.91,3.72,-2.93,-2.2989,0.3764,-0.1917,1.3281,1.9265,5.7937,8.4251,0.4102,1.0008,10.1643,6.2904,12.5809,9.7523,1.4867,0.0662,17.2
SAFBAG,83.24,12.42,178.44,1.63,-2.5866,-1.6115,0.3423,-0.2151,1.3627,2.0815,5.915,8.4782,0.4102,1.0553,10.1836,6.2979,12.5619,9.7979,1.4511,0.0558,19.5
CEBJAX,82.26,0.09,217.35,2.44,-3.0503,-2.2031,0.1732,-0.2147,1.3076,3.1032,5.9259,7.0137,0.4103,1.0127,10.1765,6.3546,12.6832,9.789,1.3708,0.0124,19.8
OXUMAW,65.1,1.24,203.02,2.69,-2.7477,-1.9673,0.2027,-0.2247,1.331,2.972,5.8935,7.1018,0.4104,1.0141,10.1864,6.3526,12.6391,9.8057,1.4175,0.0096,22.6
RIWCOR,85.45,5.63,177.58,3.31,-3.5303,-2.8959,0.3707,-0.176,1.3321,2.0651,5.8674,8.3816,0.4105,0.9979,10.1413,6.3009,12.5836,9.7448,1.4304,0.0539,12.7
VACDEK,88.33,1.52,185.15,3.67,-3.0979,-2.558,0.3979,-0.195,1.2989,1.8538,5.7442,8.3723,0.4105,1.0133,10.1689,6.2808,12.5965,9.7248,1.4491,0.0924,18.9
ZAJTUC,81.51,-1.05,175.27,2.37,-3.2116,-2.6651,0.2931,-0.2061,1.3525,2.9823,5.8806,8.3865,0.4106,1.0098,10.161,6.3117,12.6056,9.7896,1.4911,0.0553,27.5
FAXWIL,79.2,14.62,181.31,1.8,-2.879,-1.8309,0.3824,-0.2201,1.3174,1.9428,5.902,8.3932,0.4106,1.0636,10.1684,6.2873,12.5671,9.7632,1.52,0.0715,20.4
DUXGAF,82.96,13.35,178.74,1.7,-2.6436,-1.6654,0.3435,-0.2189,1.3578,2.1208,5.9324,8.4819,0.4109,1.0602,10.185,6.2959,12.5639,9.7968,1.4576,0.0577,19.5
TORFUD,84.1,1.02,206.6,1.79,-2.9303,-2.1495,0.2561,-0.2113,1.3645,3.202,5.9612,8.4012,0.4109,1.0441,10.183,6.3095,12.6474,9.787,1.44,0.055,22.1
BETJIV,77.31,0,220.36,1.97,-3.3102,-2.3902,0.1995,-0.2356,1.3583,3.1015,5.9378,6.9267,0.411,1.1081,10.1722,6.3453,12.6663,9.789,1.1859,0.0169,16
POVLET,89.35,9.18,190.57,1.7,-2.9582,-2.2849,0.2955,-0.2025,1.3469,1.6182,5.8432,7.0034,0.411,1.0383,10.1641,6.3301,12.6048,9.7695,1.2212,0.0154,17.7
DIBYOF,82.55,14.43,203.94,3.98,-2.9247,-2.4611,0.2843,-0.2031,1.3281,1.8802,5.9535,6.9996,0.411,1.0015,10.1761,6.316,12.6453,9.7544,1.3854,0.0209,54.4
ADALAS,60.79,0.53,171.87,1.7,-2.6771,-1.9215,0.2578,-0.2102,1.3748,1.9605,5.9277,7.2272,0.4119,1.0288,10.1751,6.3553,12.5793,9.8075,1.4109,0.0104,29.5
PAPREE,83.25,5.52,175.77,1.7,-3.3717,-2.6758,0.3691,-0.1797,1.3215,2.0273,5.8693,8.3914,0.412,1.0045,10.1442,6.3014,12.5858,9.7437,1.4345,0.0562,14.7
SIVVUO,76.42,8.65,185.44,1.83,-3.7323,-3.2559,0.1975,-0.1639,1.3078,2.8117,5.794,7.0535,0.4121,1.0694,10.1344,6.3686,12.6827,9.7511,1.2003,0.0207,20.8
ILICOX,81.49,7.13,174.68,1.4,-3.6661,-3.159,0.3703,-0.1635,1.3217,2.0312,5.8699,8.3756,0.4122,1.0074,10.1344,6.2991,12.5987,9.732,1.4312,0.0557,14.5
FIFKUD,80.05,0.93,198.22,4.31,-3.3743,-3.2651,0.2034,-0.1863,1.2819,3.1654,5.7309,6.9678,0.4123,0.985,10.1547,6.3511,12.6861,9.7594,1.406,0.0086,19
KAYQUY,82.85,0.49,188.97,1.7,-3.159,-2.0656,0.1568,-0.2151,1.359,3.0098,5.9678,7.0374,0.4123,1.0558,10.1724,6.3381,12.6911,9.814,1.379,0.0101,22.2
ZERHOT,82.12,-0.31,187.8,1.65,-3.315,-2.4264,0.2743,-0.1888,1.3187,3.1902,5.7404,8.3697,0.4128,1.1045,10.1522,6.3011,12.6719,9.7527,1.5049,0.0616,23.1
COTKEC,81.44,1.01,195.5,1.7,-3.4253,-2.5631,0.1721,-0.1907,1.3281,3.2096,5.726,7.0151,0.4128,1.0772,10.1572,6.3361,12.7388,9.753,1.3318,0.0097,18.7
RAKHUH,77.29,2.57,200.77,2.12,-3.0817,-2.3496,0.298,-0.2209,1.3602,3.0357,5.8658,8.4631,0.4131,1.0372,10.1722,6.3252,12.5742,9.8026,1.4921,0.0532,17.8
IJUVIS,88.32,8.39,180.79,1.79,-3.1328,-2.8485,0.3703,-0.1882,1.3112,1.9592,5.8746,8.4075,0.4132,1.0015,10.1498,6.2973,12.5828,9.7496,1.4318,0.0527,14.8
SEDJIX,81.71,6.52,174.93,1.52,-3.5086,-2.9962,0.3712,-0.1692,1.3175,2.0322,5.8753,8.3827,0.4135,0.9937,10.1385,6.2991,12.5946,9.7351,1.4252,0.0565,14.2
POCLIE,82,6.82,175.27,1.7,-3.2681,-2.7321,0.3693,-0.1868,1.3334,2.0354,5.9058,8.3959,0.4137,1.0316,10.1498,6.2963,12.5818,9.7526,1.434,0.0524,15.1
PUQQAW,83.61,11.94,192.6,1.7,-2.6619,-2.0896,0.3519,-0.2201,1.3372,1.8852,5.9687,8.4038,0.4138,1.0638,10.1799,6.2885,12.5692,9.7904,1.4403,0.0577,19.7
BEWLIY10,76.9,1.29,202.84,1.83,-3.5187,-2.6779,0.2816,-0.2115,1.3625,1.9826,6.0904,7.01,0.4142,1.0876,10.1546,6.3307,12.6181,9.7696,1.2965,0.0155,22.9
LIVSEP,81.59,0.39,173.59,1.7,-3.4279,-2.811,0.366,-0.1889,1.3367,1.9963,5.8592,8.4706,0.4147,1.0051,10.1478,6.2959,12.5814,9.7567,1.5129,0.0545,14.8
PDHTEZ,81.86,1.97,197.98,1.7,-2.7588,-2.1053,0.1701,-0.2252,1.3344,2.9574,6.0285,7.0163,0.4147,1.0279,10.1856,6.3503,12.665,9.8146,1.3579,0.0098,24.2
YOCBAW,95.91,-7.25,188.62,2.19,-2.707,-1.8992,0.2242,-0.2053,1.3729,2.7254,5.9279,7.058,0.4153,1.0262,10.1779,6.3665,12.5943,9.8151,1.3682,0.0223,26.5
GUZZAD,82.09,12.85,178.08,1.63,-2.6338,-1.7394,0.3504,-0.214,1.3455,1.8992,5.9171,8.4192,0.4154,1.0423,10.1776,6.2929,12.5669,9.7899,1.4347,0.0563,16.7
AJIZAU,81.39,12.74,177.17,1.7,-2.717,-1.7767,0.3454,-0.2183,1.3615,1.9344,5.9305,8.4019,0.4155,1.0644,10.1812,6.2959,12.5647,9.7939,1.4452,0.0587,18.2
QUQYIM,83.73,13.04,191.99,1.7,-2.7188,-1.9355,0.361,-0.2184,1.3354,1.9371,5.879,8.4299,0.416,1.0843,10.1811,6.2926,12.5697,9.7767,1.4608,0.0594,15.8
GOLWUZ,93.2,5.56,192.64,3.47,-2.8399,-2.1164,0.4088,-0.203,1.2291,1.7937,5.7631,8.3916,0.416,1.0586,10.1771,6.2809,12.5991,9.7112,1.4704,0.0634,26.8
ONEXOV,85.3,7.8,179.19,1.9,-2.63,-1.5834,0.3586,-0.2113,1.3006,2.0778,5.9107,8.4929,0.4164,1.0527,10.1798,6.3033,12.5502,9.7879,1.4255,0.0871,18.8
SOMCAA,82.6,-0.7,178.41,1.81,-2.7755,-1.7367,0.1891,-0.2256,1.3341,3.1186,5.9039,7.0697,0.4167,1.0297,10.1812,6.3477,12.6382,9.8249,1.4109,0.0095,20.9
VORCUB,82.59,-0.7,178.41,1.84,-2.7752,-1.7362,0.1889,-0.2255,1.3343,3.1184,5.9024,7.0706,0.4169,1.03,10.1812,6.3479,12.6381,9.8251,1.4115,0.0095,20.9
CEKYOI,81.65,0.61,196.14,2.06,-3.4445,-2.6229,0.1706,-0.1873,1.324,3.2094,5.7121,7.0162,0.4169,1.1256,10.1544,6.3361,12.7456,9.7476,1.3101,0.0092,19.2
KEFXOL,82.56,6.6,175.59,1.8,-3.609,-3.3507,0.3725,-0.1559,1.2995,2.0676,5.8442,8.379,0.4173,1.0168,10.1299,6.3026,12.6022,9.7227,1.4447,0.0576,13.8
GURLOV,81.1,13.34,176.88,1.4,-2.6204,-1.812,0.3417,-0.2177,1.3678,2.095,5.941,8.4746,0.4173,1.0648,10.1846,6.2964,12.5636,9.7983,1.4533,0.0566,19.8
ABALIA01,78.33,2.65,228.51,2.15,-3.0976,-2.3683,0.2758,-0.2317,1.3708,3.129,5.962,8.4677,0.4174,1.0718,10.1779,6.3135,12.6213,9.7894,1.5493,0.0664,13
PUKPIV,79.64,18.76,226.73,3.58,-2.8239,-1.8587,0.3345,-0.2282,1.2607,2.9346,5.8895,8.4926,0.4176,1.0536,10.1793,6.3294,12.5543,9.7818,1.562,0.1285,19
FOZHEK,88.18,8.51,221.62,3.97,-2.5454,-2.2513,0.3054,-0.2304,1.3258,1.9107,5.8454,7.0877,0.4178,1.0402,10.1821,6.3146,12.5792,9.8008,1.3238,0.0134,21.8
UWATES,82.51,13.41,179.21,1.7,-2.6232,-1.6255,0.3479,-0.2188,1.3497,1.9161,5.9354,8.4108,0.418,1.0506,10.1846,6.296,12.5624,9.7937,1.4535,0.0586,17.2
IQICOB,81.85,6.16,174.79,1.63,-3.5012,-2.9658,0.3717,-0.1715,1.3173,2.0221,5.8684,8.3734,0.4181,1.0137,10.1389,6.2997,12.592,9.7366,1.4269,0.053,13.7
QEWDUT,61.15,1.91,180.59,3.59,-2.56,-1.7931,0.2706,-0.2063,1.371,1.9346,5.8857,7.1824,0.4181,1.0312,10.185,6.3514,12.5762,9.8018,1.3646,0.0096,25
PUJCIH,76.74,2.83,198.56,2.98,-3.4966,-2.6315,0.3125,-0.1927,1.3623,2.9751,5.7321,8.4449,0.4183,1.0263,10.1572,6.3254,12.6006,9.7614,1.4864,0.0606,17.6
QIBVUT,85.15,-14.93,174.26,1.71,-2.7935,-1.8037,0.2552,-0.2138,1.3899,2.0381,5.8896,7.0283,0.4185,1.0343,10.1765,6.3509,12.5704,9.8235,1.4363,0.0094,28.5
BENBUU,86.74,13.15,206.52,2.29,-2.6252,-1.5461,0.2707,-0.2231,1.3317,3.052,5.9162,8.4842,0.4186,1.1402,10.1913,6.3251,12.6097,9.7945,1.5676,0.086,25.6
AROJAU,76.7,3.57,219.89,3.02,-2.6912,-2.13,0.2413,-0.2137,1.2939,3.0339,5.6794,7.1269,0.4187,1.0099,10.1991,6.3419,12.6193,9.7975,1.3712,0.0097,28.7
