Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-N,Cu-C,C-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
AGOSEW,87.98,12.79,203.37,2.37,13.98,8.8,41.6,31.4,17.9,828,-3.0603,-1.7898,1.97,2.06,-0.08,-0.1,2,3.23,2.19,81.96,87.38,98.35,0.292,-0.3313,-0.1652,0.1812,-0.7442,-0.1924,2.3612,2.6098,3.4451,1.3792,1.9771,3.0663,28.9017,7.2632,5.7682,25.1767,8.5348,7.243,0.4189,0.8298,0.5929,0.5687,0.4007,2.9373,0.9988,1.0996,1.0345,3.2449,1.3146,1.2469,1.4506,3.7085,3.4549,3.8968,3.558,10.2006,2.0247,2.0817,2.0216,2.0489,2.0237,6.3321,12.5515,4.1606,4.1459,4.2451,9.8244,1.9748,1.9578,1.9497,1.9673,1.9747,1.5648,1.7343,1.4976,0.4231,0.0634,0.0944,0.0947,0.0759,1.3479,1.2816,1.2887,0.0874,0.0146,0.0137,0.0277,-98.83,35.5
CILDOQ,81.32,1.41,212.87,2.34,6.67,9.01,37,25.7,14.1,639.74,-3.4218,-2.1374,1.99,2.09,-0.06,0.01,1.99,3.2,2.26,81.31,89.29,101.15,0.1997,-0.3023,-0.1353,0.1177,-0.6172,-0.0437,2.2078,2.6505,3.4659,1.3705,1.941,3.0572,28.8443,7.2583,5.7523,25.2035,8.4633,7.0939,0.4582,0.7661,0.5771,0.4379,0.3922,2.9392,1.0038,1.1135,0.9837,3.2468,1.2821,1.2786,1.4191,3.7273,3.4644,3.8907,3.6151,10.1848,2.0267,2.0767,2.0195,2.0399,2.022,6.3513,12.5983,4.1926,4.1718,4.234,9.8507,1.9542,1.9758,1.988,1.9681,1.9645,1.5546,1.6604,1.506,0.3865,0.0492,0.0775,0.105,0.0504,1.3264,1.1426,1.289,0.1197,0.0182,0.0154,0.0167,-185.86,35.3
HUFNUS,80.73,0.29,218.51,3.32,9.21,9.93,36.2,26.8,17.1,748.27,-3.713,-2.5897,2.01,2.09,-0.01,-0.01,1.97,3.23,2.26,82.43,89.06,103.5,0.2261,-0.2939,-0.1304,0.1507,-0.6342,-0.0606,2.2883,2.6541,3.5611,1.4466,2.087,3.1858,28.8525,7.2409,5.7763,25.1714,8.5222,7.0559,0.4918,0.7436,0.5889,0.4447,0.4419,2.938,0.9784,1.1376,0.9813,3.244,1.3517,1.2144,1.4071,3.7269,3.5319,3.8915,3.5155,10.1836,2.0214,2.0723,2.0183,2.0437,2.0279,6.3443,12.5957,4.2,4.1542,4.2416,9.8339,1.9609,1.9184,2.0032,1.9835,1.9678,1.5208,1.6572,1.5206,0.4253,0.0545,0.0932,0.1127,0.0593,1.3421,1.2487,1.1889,0.1159,0.0233,0.0182,0.0128,-202.86,35.2
WADFAM,94.74,-2.79,237.37,2.89,6.44,8.59,42.6,34,18.9,677.11,-2.7608,-1.5721,1.99,1.99,-0.04,0,1.99,3.37,2.14,73.93,90.57,102.78,0.3046,-0.3446,-0.1902,0.1083,-0.7116,-0.1247,2.0007,2.6218,3.4904,1.1321,1.9031,2.7534,28.8198,7.2682,5.7899,25.2229,8.5326,7.0626,0,0.9342,0.6043,0.4702,0.5395,2.9337,1.0515,1.0456,1.063,3.2443,1.2548,1.3318,1.4397,3.72,3.5626,3.9159,3.529,10.1642,2.0284,2.0622,2.0192,2.0305,2.0239,6.3702,12.5081,4.1114,4.1592,4.2376,9.8171,1.9833,1.9693,1.9491,1.9408,1.9747,1.5782,1.6376,1.5529,0.4243,0.0787,0.0951,0.0852,0.0813,1.2089,1.2405,1.424,0.0857,0.0155,0.0246,0.0151,-85.04,35.2
ROTDAI,62.12,0.7,199.93,1.9,9.16,9.38,26.3,23.3,20.9,744.62,-3.0359,-1.5167,2.15,2.08,-0.04,-0.01,1.94,3.15,2.22,80.55,88.51,97.82,0.2942,-0.3182,-0.1542,0.1201,-0.6369,-0.5803,2.0513,2.6191,3.4424,1.3517,1.9007,1.9318,28.9081,7.2561,5.7443,25.2331,8.5735,8.5084,0.4707,0.7374,0.6249,0.3861,0.4341,2.9412,0.9765,1.125,1.0174,3.2387,1.3444,1.2086,1.4495,3.7154,3.5306,3.9048,3.5253,10.2039,2.0233,2.0872,2.0206,2.0445,2.0283,6.3655,12.4928,4.1727,4.102,4.2182,9.8475,1.9752,1.936,1.989,1.9827,1.9646,1.5623,1.6112,1.5562,0.3697,0.0667,0.0526,0.0959,0.0544,1.5414,1.5026,1.6617,0.344,0.0592,0.0478,0.0505,-117.74,35.1
NIYTEV,83.45,-0.44,219.87,2.82,8.15,6.76,40.4,30.6,18.3,660.64,-3.4122,-1.8889,2.09,1.97,0.01,-0.04,1.99,3.3,2.24,82.4,90.05,106.52,0.1296,-0.3042,-0.1399,0.0926,-0.1457,-0.1357,2.2915,2.6573,3.6487,1.338,3.1406,3.1448,28.8624,7.2562,5.8217,25.2167,7.1488,6.9758,0.3612,0.8105,0.5554,0.3978,0.5548,2.9388,0.972,1.1394,0.9937,3.2471,1.3565,1.1977,1.4263,3.7355,3.5965,3.9046,3.4878,10.183,2.02,2.0706,2.0177,2.0421,2.0327,6.3912,12.6296,4.1705,4.1913,4.2678,9.8495,1.969,1.9267,2.011,1.9838,1.959,1.3685,1.2438,1.2834,0.0878,0.0168,0.0127,0.021,0.0106,1.2843,1.159,1.4017,0.1221,0.0233,0.0147,0.0153,-171.89,35
BEMNEM,78.09,3.51,222.54,2.94,7.57,6.43,42.5,34.1,18.6,638.4,-3.415,-2.0128,2.21,1.98,-0.08,-0.04,1.99,3.22,2.22,76.82,91.86,103.74,0.1895,-0.3112,-0.1487,0.0688,-0.0926,-0.2082,1.9598,2.5967,3.3949,1.1902,2.9994,2.9748,28.7956,7.2402,5.7081,25.247,7.1006,7.2646,0.217,0.8488,0.597,0.2809,0.5157,2.9368,0.9985,1.1038,1.0114,3.2458,1.2904,1.2578,1.4411,3.7409,3.4172,3.9245,3.683,10.1656,2.0201,2.0695,2.013,2.0445,2.0185,6.4276,12.5298,4.1597,4.142,4.228,9.8531,1.9774,1.9543,1.9888,1.9792,1.9534,1.3978,1.1945,1.1993,0.1183,0.0178,0.0163,0.029,0.0239,1.3783,1.1859,1.4189,0.0815,0.0158,0.0094,0.0105,-152.95,34.7
BEBPAA,63.84,-3.4,158.34,2.48,4.93,6.91,27.1,19,10.7,554.95,-2.9527,-1.5527,2.1,2.04,0.1,0.14,1.96,3.12,2.29,81.14,86.88,93.91,0.2489,-0.3065,-0.1403,0.1004,-0.5696,-0.6058,2.299,2.6505,3.4388,1.4345,1.9668,1.9288,29.0223,7.2438,5.7661,25.2512,8.5076,8.4962,0.6277,0.6366,0.5809,0.468,0.5314,2.9472,0.9767,1.1174,1.009,3.2459,1.3401,1.2096,1.4353,3.7157,3.4961,3.9149,3.5624,10.2106,2.0252,2.0939,2.0216,2.0423,2.0277,6.3419,12.5605,4.2031,4.1291,4.2282,9.8487,1.9775,1.957,1.9833,1.9618,1.9691,1.5527,1.6237,1.525,0.3362,0.049,0.0497,0.0927,0.0524,1.5569,1.4946,1.6547,0.3778,0.0676,0.0534,0.0553,-135.86,33.9
CIKVEA,68.89,0.23,179.78,2.14,9.16,7.12,32.1,25.2,14.5,644.81,-2.7406,-1.4164,2.03,1.95,-0.03,-0.01,1.97,3.05,2.28,78.5,86.07,91.09,0.0639,-0.3203,-0.1438,0.0625,-0.2404,-0.2222,2.4105,2.6532,3.3292,1.3703,2.9125,3.0368,29.0165,7.2418,5.7308,25.2825,7.0692,7.2464,0.5523,0.6486,0.5678,0.3923,0.486,2.946,1.003,1.088,1.0156,3.2463,1.3378,1.2439,1.4168,3.7169,3.3715,3.9098,3.7184,10.2209,2.0246,2.0792,2.0279,2.0637,2.0255,6.3793,12.6726,4.2155,4.2022,4.2548,9.8842,1.9833,2.0187,1.9794,1.9483,1.9545,1.4203,1.1836,1.373,0.084,0.012,0.0096,0.0274,0.009,1.4602,1.185,1.3649,0.0846,0.0157,0.0099,0.0092,-135.18,33.6
FAPLUD,64.46,0.56,168.02,1.65,4.81,8,27.8,19.2,10.7,561.35,-2.9346,-1.4657,1.99,2.15,0.01,-0.04,1.95,3.1,2.26,79.81,86.82,94.08,0.1816,-0.3207,-0.1459,0.1055,-0.1504,-0.6535,2.1914,2.6427,3.3934,1.3857,3.0078,1.9801,28.9356,7.2579,5.7534,25.251,7.3203,8.5224,0.5557,0.6788,0.5966,0.4672,0.3381,2.9436,0.9816,1.1083,1.0204,3.2418,1.3353,1.2195,1.448,3.7159,3.4716,3.8953,3.6038,10.2079,2.0255,2.0924,2.0228,2.0436,2.0235,6.376,12.5785,4.2047,4.1256,4.2482,9.8639,1.9759,1.9716,1.98,1.9671,1.9694,1.389,1.1915,1.3663,0.0828,0.0109,0.01,0.0228,0.0108,1.5707,1.6795,1.5053,0.3522,0.0471,0.0648,0.0456,-138.17,33.5
HCITEN10,85.77,1.8,185.08,2.38,5.06,8.91,31.9,23.3,12.5,583.69,-2.18,-1.3442,2.04,1.95,-0.11,0.01,1.96,3.11,2.31,79.65,83.88,90.65,0.2883,-0.31,-0.1535,0.0023,-0.5984,-0.84,2.4007,2.7129,3.3569,1.299,1.897,1.752,28.8836,7.2299,5.7842,25.3642,8.4689,8.637,0.5819,0.5607,0.5875,0.4297,0.5859,2.9529,0.9694,1.069,1.0742,3.2441,1.335,1.2355,1.4195,3.7272,3.558,3.818,3.6621,10.2325,2.0404,2.0948,2.0356,2.0414,2.0202,6.3192,12.5964,4.1895,4.1656,4.2412,9.7961,1.9726,1.9185,1.9727,1.9729,1.9596,1.5748,1.6879,1.4435,0.3818,0.0288,0.08,0.1172,0.0544,1.7723,1.6,1.4771,0.4509,0.0462,0.1054,0.0525,-102.81,33.5
KEDYUO,66.39,0.1,168.16,1.63,5.36,7.61,27.8,17.4,8.4,522.35,-2.8326,-1.4839,2.06,1.98,-0.02,0.01,1.96,3.09,2.28,79.54,86.36,92.77,0.1602,-0.3156,-0.1433,0.0858,-0.6897,-0.1576,2.3139,2.6424,3.3803,1.3944,1.9173,2.9124,28.9759,7.2434,5.7554,25.2647,8.4874,7.2538,0.579,0.6473,0.5753,0.4239,0.4729,2.9457,0.9793,1.1083,1.019,3.2442,1.3369,1.2165,1.442,3.7181,3.4832,3.8948,3.6059,10.2123,2.0264,2.0937,2.0252,2.0428,2.0241,6.3644,12.6153,4.2072,4.1587,4.2494,9.8601,1.9762,1.9648,1.9808,1.9674,1.9709,1.5858,1.7042,1.4871,0.3685,0.049,0.0698,0.0982,0.0507,1.3886,1.2033,1.341,0.0835,0.01,0.0126,0.0111,-137.58,33.3
LAYDIB,85.89,0.77,180.08,2.33,8.08,9.46,34.3,23.4,15.5,663.85,-3.0292,-1.5482,2.3,1.94,-0.13,0.01,1.93,3.23,2.18,78.36,88.85,101.88,0.28,-0.3389,-0.1648,0.1555,-0.6378,-0.458,2.0842,2.6072,3.45,1.2305,1.9597,2.7823,28.9242,7.2892,5.736,25.2299,8.4618,7.641,0.2613,0.8722,0.6593,0.2164,0.638,2.936,1.0239,1.0658,1.0428,3.2376,1.3003,1.2814,1.4428,3.7183,3.6847,3.8933,3.3633,10.1849,2.0243,2.0552,2.0224,2.046,2.037,6.4127,12.4766,4.1066,4.1244,4.2456,9.8307,1.9777,1.9503,1.9708,1.9689,1.963,1.498,1.7161,1.4892,0.388,0.0505,0.0799,0.1013,0.0546,1.1977,1.5333,1.3799,0.0627,0.0224,0.0134,0.0099,-100.59,33.1
TERMIM,64.9,0.61,161.45,1.96,4.57,7.98,25.5,16.5,8.8,548.37,-2.8891,-1.5663,2.08,2,-0.06,0.02,1.96,3.09,2.3,80.09,86.55,92.48,0.2362,-0.3031,-0.1381,0.0834,-0.5831,-0.5948,2.3515,2.6523,3.405,1.4282,1.9534,1.898,29.0295,7.2366,5.7658,25.2641,8.4944,8.5084,0.6472,0.6124,0.572,0.4671,0.538,2.9479,0.9783,1.1148,1.0074,3.2465,1.3305,1.2191,1.4316,3.717,3.4889,3.9159,3.5813,10.2135,2.0256,2.096,2.0219,2.0423,2.0276,6.3379,12.5792,4.2052,4.1445,4.2295,9.8468,1.9746,1.9603,1.975,1.9623,1.9746,1.5659,1.6476,1.5012,0.3413,0.0483,0.0635,0.0881,0.0474,1.5731,1.476,1.6592,0.3699,0.0676,0.0554,0.0493,-147.16,33
YULNOJ,99.12,-0.68,203.42,1.78,10.33,8.57,41.9,27.6,18.2,764.73,-3.3544,-2.3467,2.08,1.83,-0.14,0.09,1.94,3.04,2.24,78.28,87.29,94.38,0.3462,-0.2892,-0.1325,0.2115,-0.7596,-0.5394,3.0756,2.6707,3.4001,1.424,1.7083,2.0674,29.1678,7.2309,5.7337,25.1702,8.4954,8.3534,0.5153,0.7245,0.6264,0.4639,0.6926,2.9356,1.0003,1.0747,1.0264,3.2351,1.2899,1.2544,1.4338,3.7047,3.5344,3.9039,3.4577,10.1878,2.0291,2.0707,2.0191,2.0425,2.0264,6.26,12.6314,4.2036,4.1925,4.2353,9.7624,1.9841,1.8653,1.9589,2.0063,1.9478,1.7697,1.6365,1.3985,0.3936,0.0476,0.0959,0.096,0.0511,1.5264,1.6716,1.4429,0.4046,0.0811,0.0839,0.0915,-196.79,32.7
YOKLOC,85.02,-2.67,184.28,1.69,6.94,5.72,35.9,25.7,11.9,546.57,-2.4904,-1.2886,2,2.03,0.03,0.02,1.96,3.04,2.25,77.81,86.79,92.71,0.3068,-0.3034,-0.1481,0.0692,-0.5119,-0.8375,2.2389,2.6582,3.3646,1.3003,2.0369,1.7309,28.8763,7.2451,5.7527,25.3061,8.4733,8.5474,0.4842,0.6952,0.5725,0.4169,0.5262,2.9424,0.9674,1.1194,1.0254,3.2429,1.3406,1.2046,1.4387,3.7145,3.5928,3.8657,3.5337,10.224,2.0314,2.0901,2.0299,2.044,2.0285,6.3105,12.5432,4.1717,4.1781,4.1935,9.8395,1.969,1.9217,1.9715,1.9836,1.9936,1.5164,1.5473,1.5376,0.4225,0.0581,0.08,0.1018,0.0688,1.7731,1.6983,1.4029,0.3971,0.0389,0.0859,0.054,-144.89,32.5
