Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
ROGVAN,80.21,224.47,2.16,11.27,6.36,45,34,20.3,709.52,-3.6918,-2.759,1.98,2.11,1.91,0.2507,-0.2585,-0.1839,-0.071,1.979,2.9866,3.059,3.1562,28.8423,7.2873,7.1871,7.0225,0.6772,0.5397,0.3859,3.1666,1.3427,1.2315,1.4374,6.4434,12.4837,4.1926,4.1213,4.1698,9.8223,1.9699,1.9509,1.9826,1.9483,1.9706,1.391,1.1637,1.3468,0.1151,0.0276,0.0119,0.0317,0.0136,0.0304,1.1721,1.4895,1.1158,0.1229,0.0149,0.0296,0.0298,0.019,0.0296,40.5
PIHLUO,65.88,203.43,3.17,7.31,6.17,39.8,32.4,19.2,593.4,-2.8213,-2.0467,2,2.02,1.88,0.2012,-0.2628,-0.2275,-0.2218,1.8667,2.9265,2.9786,2.789,28.8431,7.2986,7.2408,7.2473,0.6425,0.4389,0.386,3.1636,1.3025,1.3916,1.3212,6.4494,12.5115,4.1327,4.2173,4.1616,9.8378,1.9228,1.9705,1.9813,1.988,1.9753,1.3663,1.3727,1.253,0.08,0.0115,0.0159,0.0196,0.01,0.023,1.4281,1.266,1.309,0.0796,0.0131,0.0153,0.0172,0.01,0.024,39.8
FAJYOI,63.18,157.11,3.42,5.53,7.6,28.2,23,16.6,525.14,-3.1219,-0.5327,2.04,2.12,1.85,0.3824,-0.2554,-0.6176,-0.6146,1.684,2.9513,1.9347,1.9602,28.8702,7.3309,8.4927,8.489,0.7066,0.4786,0.386,3.1567,1.4188,1.4212,1.1732,6.4288,12.373,4.1609,4.1543,4.0578,9.8158,1.9105,1.9704,1.9683,1.998,1.9686,1.6759,1.471,1.5558,0.3866,0.0888,0.0758,0.077,0.0767,0.0682,1.4634,1.6554,1.5786,0.381,0.0832,0.0757,0.0689,0.1001,0.0531,37.7
PIMBAP01,91.28,190.11,1.52,5.6,6.35,31.4,20.1,10.4,433.02,-3.0229,-1.901,1.96,2.05,1.91,0.3916,-0.2478,-0.5719,-0.6257,1.7283,2.9316,2.03,2.0632,28.7671,7.2947,8.483,8.4957,0.6541,0.4464,0.3861,3.1653,1.3752,1.3051,1.32,6.3728,12.4241,4.1857,4.1632,4.0752,9.8116,1.9531,1.958,1.9719,1.9469,1.9816,1.6177,1.5774,1.5223,0.3551,0.0733,0.0711,0.0716,0.0738,0.0653,1.6494,1.5829,1.497,0.3732,0.0583,0.0677,0.0929,0.0438,0.1105,35.8
VONFEM,79.47,223.24,2.44,8.23,9.39,37.3,27.8,17.3,603.38,-3.6545,-2.5189,2.01,2.12,1.89,0.3668,-0.2513,-0.6253,-0.0525,1.8022,2.9496,2.1076,3.1389,28.7461,7.3013,8.5498,7.03,0.6966,0.433,0.3862,3.1624,1.3487,1.3131,1.3454,6.3846,12.4246,4.1371,4.1724,4.1151,9.824,1.9411,1.9735,1.9783,1.9442,1.9868,1.577,1.502,1.6309,0.4049,0.09,0.0641,0.0974,0.0574,0.096,1.1902,1.4593,1.1243,0.1158,0.0173,0.025,0.0241,0.0207,0.0288,33.5
NUWVEH,62.96,158.62,1.98,5.82,9.25,26.2,19.4,12.5,538.7,-3.2008,-1.607,2.06,2.11,1.86,0.3946,-0.2578,-0.5641,-0.5575,1.6724,2.925,1.9785,1.8924,28.8458,7.3267,8.5338,8.5345,0.6827,0.4689,0.3863,3.1597,1.3935,1.4256,1.1948,6.4311,12.3606,4.1397,4.1608,4.0601,9.8137,1.9213,1.9605,1.9573,1.9992,1.9754,1.669,1.458,1.5775,0.3309,0.0883,0.0464,0.0609,0.0614,0.074,1.4687,1.6688,1.5277,0.3674,0.0885,0.0748,0.0554,0.0861,0.0627,38.4
ORUXEF,78.91,232.36,2.36,6.32,7.85,43.5,31.6,16.4,500.34,-3.7391,-3.0708,2.09,2.08,1.89,0.4436,-0.2241,0.0184,-0.6075,1.944,2.9449,3.1184,2.0067,28.7776,7.2371,6.9148,8.516,0.6917,0.4347,0.3864,3.16,1.3353,1.2218,1.4255,6.3467,12.4127,4.1608,4.1682,4.0837,9.797,1.9086,1.9663,1.9859,1.9525,1.9838,1.157,1.428,1.1456,0.1287,0.0189,0.028,0.0221,0.0284,0.0312,1.5743,1.5681,1.5849,0.3552,0.0708,0.0605,0.082,0.0593,0.0826,33.4
WUMYAG,84.13,206.67,2.7,7.62,9.21,35.5,26.6,19.3,664.92,-4.2565,-3.6403,1.99,2.1,1.87,0.4188,-0.2509,-0.0726,-0.5707,1.9728,2.9749,3.199,2.1025,28.7385,7.3037,7.1443,8.5089,0.7202,0.5596,0.3865,3.1672,1.4002,1.4073,1.1951,6.3788,12.4337,4.1646,4.1335,4.1356,9.7688,1.951,1.9592,1.9919,1.8665,2.0002,1.3098,1.2176,1.3123,0.09,0.0224,0.0091,0.0229,0.0112,0.0244,1.4834,1.6427,1.5548,0.3585,0.0583,0.0671,0.0868,0.0527,0.0936,33.1
HUNGEC,100.94,256.95,1.69,8.35,7,47.4,39.6,26.2,647.54,-3.7005,-2.0581,2,2.03,1.92,0.4784,-0.2256,-0.6399,-0.6571,1.877,2.9245,2.0344,2.0253,28.7506,7.2715,8.5534,8.5737,0.6851,0.4258,0.3866,3.1658,1.1743,1.3922,1.4131,6.317,12.3894,4.0455,4.1929,4.151,9.8151,1.9703,1.9685,1.9489,1.9477,1.9797,1.4981,1.465,1.7596,0.4131,0.0887,0.083,0.0663,0.0983,0.0768,1.5246,1.7203,1.4881,0.4181,0.0599,0.0983,0.0827,0.077,0.1001,34.2
PATBEU,83.18,180.8,1.56,5.93,6.57,31,25.3,14.8,526.15,-3.9016,-2.2176,2.02,2.02,1.89,0.475,-0.2537,-0.5469,-0.547,1.7808,2.954,2.0645,2.0612,28.67,7.3122,8.4547,8.4693,0.6825,0.371,0.3869,3.1671,1.253,1.4022,1.3509,6.351,12.3793,4.0649,4.1733,4.1411,9.7947,1.9469,1.9424,1.9473,1.9656,1.9925,1.477,1.5216,1.6576,0.391,0.0995,0.0676,0.0658,0.0999,0.0581,1.5001,1.6217,1.5352,0.3908,0.0897,0.0846,0.0656,0.1002,0.0507,38.6
MIHNOI,81.36,202.38,1.78,5.63,11.53,35,25.1,15,565.44,-3.9969,-2.9439,2.02,2.06,1.89,0.2629,-0.2689,-0.1174,-0.1108,1.851,2.9707,3.1636,3.1162,28.7501,7.3166,7.1398,7.1141,0.6943,0.4565,0.3869,3.1696,1.4077,1.3444,1.2663,6.4255,12.492,4.1423,4.1883,4.1614,9.8196,1.9388,1.9742,1.9639,1.9431,1.9996,1.2557,1.4095,1.2037,0.0926,0.0126,0.02,0.0252,0.014,0.0208,1.2885,1.2001,1.374,0.0929,0.0227,0.0103,0.025,0.0118,0.0231,34.1
VUYJOO,88.13,189.08,1.52,8.2,8.71,32.3,22.8,14.9,613.08,-3.4821,-1.9384,1.94,2.03,1.9,0.4217,-0.2473,-0.6862,-0.5033,1.8307,2.9635,2.0331,1.9988,28.8117,7.2643,8.5499,8.4819,0.669,0.5516,0.3869,3.1659,1.2073,1.3763,1.4167,6.3788,12.4134,4.069,4.2029,4.1416,9.7861,1.941,1.9679,1.9784,1.9554,1.9433,1.5071,1.583,1.6914,0.3994,0.0952,0.0719,0.07,0.0919,0.0705,1.4799,1.6737,1.4772,0.3725,0.0883,0.0819,0.0539,0.096,0.0523,40.9
LAJWIE,79.95,222.5,1.83,9.92,8.31,36.9,26.7,16.2,623.18,-3.7828,-3.0694,2,2.14,1.9,0.3805,-0.2521,-0.5999,-0.0507,1.8689,2.9573,2.0869,3.0876,28.7817,7.3128,8.5377,6.9817,0.7049,0.4665,0.387,3.1656,1.3665,1.233,1.4062,6.3719,12.4272,4.1552,4.1561,4.1159,9.8204,1.951,1.9725,1.982,1.9421,1.9727,1.5134,1.51,1.6733,0.3888,0.0805,0.0601,0.0979,0.0569,0.0934,1.2248,1.4451,1.1071,0.1149,0.0125,0.0285,0.026,0.0157,0.0323,32.6
VOHCAY,85.23,184.56,1.55,5.53,5.63,32.4,21.6,9.8,424.85,-3.7539,-1.9951,2,2.07,1.9,0.2553,-0.2563,-0.0983,-0.1089,1.9201,2.9953,3.0958,3.0453,28.8145,7.2504,6.9636,7.0347,0.6691,0.4942,0.387,3.1633,1.4002,1.4121,1.1987,6.3807,12.5026,4.1523,4.2257,4.1246,9.8614,1.9343,1.9835,1.9756,1.9746,1.9933,1.2556,1.2282,1.3058,0.1252,0.0232,0.0151,0.0246,0.0148,0.0475,1.2359,1.1269,1.4184,0.1181,0.0187,0.0172,0.0457,0.0134,0.0231,25.8
JATTOO,92.18,193.81,2.09,6.98,11.05,30.8,22.9,15.2,641.58,-3.0496,-1.7826,1.93,1.99,1.92,0.4141,-0.2466,-0.6947,-0.5287,1.7836,2.908,2.0668,2.0515,28.7062,7.2794,8.5752,8.4946,0.6173,0.507,0.387,3.1676,1.233,1.3846,1.3798,6.3523,12.4355,4.1168,4.1833,4.1355,9.7981,1.9278,1.9812,1.9794,1.9761,1.9337,1.5475,1.5746,1.6386,0.4316,0.0919,0.0606,0.107,0.0769,0.0954,1.4939,1.501,1.6557,0.3858,0.0722,0.062,0.0914,0.0577,0.1024,42.1
WUXKIJ,62.38,154.93,2.25,5.35,9.35,24,15.5,10.3,520.33,-3.1681,-1.097,2.07,2.14,1.87,0.3804,-0.259,-0.591,-0.562,1.6406,2.9217,1.9186,1.9699,28.848,7.3287,8.5427,8.5245,0.6794,0.4472,0.3872,3.1606,1.3995,1.4199,1.1949,6.4444,12.3575,4.1393,4.1582,4.06,9.8178,1.9272,1.9665,1.9508,2.002,1.9713,1.677,1.4744,1.5681,0.3415,0.0902,0.0523,0.0613,0.072,0.0656,1.4706,1.691,1.5533,0.3067,0.0842,0.0611,0.0387,0.0884,0.0344,39.1
XEXMUI,62.52,155.28,2.12,5.68,11.94,24.8,17.2,11.1,583.38,-3.1261,-0.5103,2.07,2.13,1.87,0.3806,-0.2585,-0.5719,-0.5807,1.648,2.9172,1.9232,1.931,28.8514,7.3233,8.5228,8.5292,0.6767,0.4571,0.3872,3.1608,1.3016,1.3716,1.3404,6.4432,12.3589,4.1097,4.157,4.0922,9.8173,1.9196,1.9627,1.9641,1.9796,1.9914,1.6192,1.469,1.6218,0.3343,0.0747,0.0496,0.0735,0.0532,0.0833,1.5174,1.6895,1.5076,0.3312,0.0679,0.0751,0.0645,0.0527,0.071,39.7
HOLXIS,61.1,151.68,3.14,6.24,8.29,24.2,18.5,13.2,529.13,-3.5929,-1.0691,2.16,2.12,1.87,0.4106,-0.2579,-0.653,-0.5236,1.6019,2.9398,1.8674,2.0386,28.8294,7.335,8.6206,8.4842,0.6995,0.3917,0.3873,3.1597,1.2988,1.3339,1.382,6.4292,12.3356,4.0875,4.1543,4.0938,9.8246,1.9189,1.9778,1.9657,1.9746,1.9876,1.6294,1.5006,1.6066,0.3815,0.0698,0.0854,0.0834,0.0489,0.0939,1.5225,1.6505,1.493,0.334,0.0576,0.0794,0.0711,0.0537,0.0722,42.4
BADRAC,81.38,247.59,1.6,5.48,9.03,42.2,27.2,14.3,524.14,-3.9483,-3.1416,1.99,2.06,1.9,0.3777,-0.2358,-0.1087,-0.3346,2.3756,2.9952,3.1939,2.5661,28.7418,7.2513,7.1231,7.5297,0.663,0.5018,0.3873,3.1623,1.4183,1.3906,1.1851,6.3488,12.5345,4.1673,4.195,4.1722,9.739,1.9274,1.9798,1.9713,1.9861,1.8744,1.2584,1.4029,1.1765,0.0947,0.0156,0.0157,0.0323,0.0167,0.0144,1.2948,1.2783,1.4138,0.0861,0.016,0.0228,0.0246,0.0136,0.0091,31
XUHVEC,63.19,156.98,2.06,7.14,15.1,24.1,13.2,7.4,679.31,-3.11,-2.094,2.05,2.11,1.86,0.382,-0.2584,-0.5833,-0.5994,1.6857,2.9191,1.9394,1.9352,28.837,7.3264,8.5324,8.5352,0.6766,0.4715,0.3874,3.1604,1.3132,1.3661,1.3344,6.4389,12.3672,4.1134,4.1605,4.0934,9.8119,1.9089,1.9735,1.9728,1.9724,1.9844,1.6254,1.4754,1.6239,0.3213,0.0704,0.0482,0.0763,0.0455,0.0809,1.5287,1.6878,1.5135,0.3296,0.0584,0.0738,0.0686,0.0554,0.0734,38.3
WOCHUR,88.19,183.08,1.52,5.6,6.02,35,24.6,11.4,458.32,-3.4504,-1.2777,2.09,2.05,1.9,0.4257,-0.2502,-0.5864,-0.5891,1.7403,2.9399,2.1206,2.1154,28.738,7.3004,8.4815,8.4759,0.6652,0.3562,0.3876,3.1647,1.275,1.4179,1.3106,6.3501,12.3904,4.089,4.1611,4.1403,9.8338,1.9567,1.9532,1.9489,1.9778,1.9971,1.5306,1.6503,1.5224,0.3718,0.0935,0.0628,0.0639,0.0927,0.0587,1.4783,1.537,1.6884,0.3796,0.0896,0.0848,0.0697,0.0702,0.0652,36.5
SAHBAG,80.7,203.7,2.71,5.63,9.2,35.2,25.2,16.6,575.72,-3.9517,-2.8218,2.02,2.05,1.89,0.2594,-0.2691,-0.1204,-0.1144,1.8463,2.9719,3.1582,3.1209,28.7503,7.3129,7.1604,7.1324,0.6937,0.4569,0.3876,3.1695,1.4171,1.3572,1.2443,6.4276,12.4931,4.149,4.1734,4.1707,9.8199,1.9373,1.9734,1.9689,1.9391,2.0013,1.2838,1.3843,1.2045,0.092,0.0107,0.0219,0.0257,0.0138,0.02,1.2987,1.1999,1.3681,0.0923,0.0225,0.011,0.0236,0.0136,0.0216,33.9
VAWMUD,96.43,198.26,1.74,7.51,8.88,38.9,26.4,17.1,612.81,-2.6702,-1.7181,1.96,2.04,1.93,0.3909,-0.2405,-0.8441,-0.5142,1.8899,2.9692,1.8997,2.1352,28.8336,7.2717,8.5261,8.4592,0.6303,0.6062,0.3876,3.1675,1.3835,1.2398,1.367,6.3472,12.449,4.192,4.1316,4.1255,9.813,1.9423,1.9608,1.984,1.942,1.9838,1.7659,1.4773,1.6492,0.4017,0.1069,0.0478,0.097,0.0497,0.1003,1.5535,1.6253,1.4747,0.3686,0.0641,0.0832,0.0786,0.0704,0.0724,35.4
XURKIG,89.23,183.91,1.52,4.78,8.41,33.6,20.5,12.3,466.2,-3.8751,-1.8229,2.07,2.06,1.92,0.4675,-0.2312,-0.4361,-0.4363,1.675,3.0042,2.1435,2.1425,28.7291,7.2502,8.4455,8.4473,0.6697,0.384,0.3877,3.1642,1.3831,1.3504,1.252,6.3028,12.3807,4.189,4.1252,4.0665,9.849,1.9623,1.9846,1.9758,1.9292,1.9971,1.5126,1.5754,1.5251,0.3279,0.0532,0.0534,0.0795,0.0423,0.0994,1.6062,1.5296,1.4776,0.3285,0.0552,0.0679,0.0852,0.0464,0.0739,31.1
MENBUD,79.82,222.76,2.43,7.82,8.79,37.6,28.1,18.2,606.96,-3.7099,-2.7157,2,2.11,1.89,0.3773,-0.249,-0.6317,-0.041,1.8503,2.9592,2.1146,3.0627,28.7442,7.2974,8.5573,7.0005,0.6989,0.4564,0.3877,3.1614,1.359,1.2833,1.3635,6.3804,12.4276,4.1455,4.1606,4.1215,9.8148,1.9521,1.9695,1.9817,1.9277,1.9837,1.5761,1.5016,1.632,0.4133,0.0909,0.0685,0.097,0.0575,0.0994,1.1814,1.4619,1.1197,0.1168,0.0174,0.0251,0.0253,0.0203,0.0287,33.3
TIGYUE,80.33,204.3,3.79,5.63,9.13,35.3,25.2,16.6,585.42,-3.9324,-2.808,2.02,2.05,1.89,0.2594,-0.2692,-0.1209,-0.1146,1.8438,2.9734,3.1616,3.1126,28.7496,7.3113,7.1462,7.1303,0.6945,0.4467,0.3879,3.1698,1.4114,1.345,1.2621,6.4284,12.493,4.1401,4.1874,4.1655,9.8192,1.9385,1.9725,1.9631,1.9428,2.0024,1.2572,1.4112,1.2045,0.092,0.0122,0.0199,0.0258,0.0137,0.0204,1.2826,1.2013,1.3835,0.0924,0.0221,0.0101,0.0255,0.012,0.0226,34
VUGRIA,62.57,155.54,2.11,5.47,10.99,24.3,15.4,9.8,547.06,-3.2234,-1.4354,2.08,2.12,1.86,0.3888,-0.2587,-0.5784,-0.5811,1.6587,2.921,1.9471,1.9034,28.8439,7.329,8.5296,8.5462,0.6809,0.4545,0.388,3.1602,1.3963,1.4229,1.1953,6.4386,12.3577,4.126,4.1699,4.0619,9.8149,1.9202,1.9663,1.9586,1.9979,1.9719,1.4807,1.7,1.5314,0.3325,0.0864,0.0694,0.0503,0.0736,0.0529,1.6588,1.4602,1.59,0.3333,0.0807,0.0427,0.0601,0.0605,0.0893,37.7
BEWNAV,62.5,173.56,2.16,7.41,13.06,32.1,29.5,22.4,800.12,-3.1224,-0.9438,2.06,2.14,1.86,0.3978,-0.2575,-0.5791,-0.5455,1.6446,2.929,1.8476,1.9321,28.838,7.3321,8.5614,8.5308,0.6691,0.4593,0.3881,3.1603,1.2923,1.4049,1.3157,6.4296,12.3553,4.0641,4.1643,4.1269,9.8174,1.9798,1.9872,1.9016,1.9628,1.986,1.5413,1.665,1.5008,0.3422,0.0643,0.075,0.0722,0.0619,0.0689,1.5644,1.4842,1.6357,0.3307,0.0778,0.0526,0.0692,0.0668,0.0643,39.5
MEMTOO,81.53,216.14,2.41,9.49,8.59,39.4,30.7,19.9,660.57,-3.8776,-2.5493,1.98,2.14,1.95,0.4166,-0.2193,-0.5934,-0.0767,2.2132,2.9813,2.1004,2.9849,28.8683,7.1978,8.5113,7.1872,0.5987,0.5046,0.3883,3.1671,1.303,1.3691,1.2981,6.2916,12.4749,4.1923,4.1374,4.1452,9.8169,1.9326,1.9688,1.9784,1.984,1.9531,1.5446,1.5709,1.5819,0.3868,0.1046,0.0664,0.0598,0.0966,0.0594,1.2324,1.2786,1.2767,0.1123,0.0149,0.0265,0.0167,0.0324,0.0219,23.8
PEWROA,99.3,227.96,3.54,5.76,8.8,46.5,36.1,21.4,604.11,-2.0644,-0.4576,1.95,2.03,1.93,0.3171,-0.2379,-0.8349,-0.1833,1.8992,2.8586,1.9464,2.8594,28.7747,7.2718,8.607,7.2609,0.5767,0.5724,0.3883,3.1678,1.231,1.363,1.3922,6.3658,12.5033,4.1149,4.1953,4.193,9.8139,1.9491,1.9466,1.9596,1.9711,1.9875,1.5639,1.6003,1.6799,0.4359,0.0793,0.1013,0.079,0.0839,0.0924,1.4055,1.38,1.1765,0.0818,0.0079,0.0166,0.0287,0.0097,0.0189,48.5
NICCEH,78.56,209.58,1.94,7.88,6.19,35.5,27.2,16.6,531.62,-3.5835,-1.5587,2.1,2.09,1.9,0.3493,-0.2557,-0.0452,-0.5949,1.7182,2.9772,3.1956,2.0856,28.7631,7.3066,7.0439,8.5054,0.6823,0.4099,0.3884,3.1648,1.3728,1.2048,1.4318,6.4013,12.4127,4.1572,4.1293,4.1263,9.8367,1.9441,1.9782,1.9793,1.9478,1.9872,1.2258,1.4399,1.1069,0.1171,0.0124,0.0312,0.0298,0.0154,0.0283,1.5112,1.5112,1.682,0.3679,0.0844,0.0644,0.0813,0.0546,0.0832,33.8
PEFFOX,62.95,156.48,1.95,9.99,11.37,24.1,14.1,9.2,704.9,-3.1696,-2.4212,2.06,2.12,1.86,0.3868,-0.258,-0.5837,-0.5796,1.6684,2.919,1.9417,1.9352,28.8327,7.3251,8.5375,8.5329,0.6791,0.4584,0.3884,3.1602,1.3181,1.3516,1.344,6.4368,12.3617,4.1163,4.1554,4.09,9.8147,1.9032,1.9784,1.9799,1.9732,1.9801,1.6196,1.4825,1.6146,0.3351,0.069,0.0565,0.081,0.0483,0.0802,1.5223,1.6798,1.5126,0.3266,0.0591,0.0746,0.0682,0.052,0.0727,39.8
TINVOC,84.38,215.6,1.82,8.07,5.69,36.8,25.7,13.6,474.76,-3.4603,-2.0077,1.97,2.04,1.88,0.3465,-0.2508,-0.603,-0.0422,1.8723,2.9621,1.9938,2.9735,28.7488,7.2862,8.4997,7.0873,0.686,0.466,0.3885,3.1606,1.3739,1.2745,1.3591,6.3827,12.4568,4.159,4.1707,4.127,9.814,1.969,1.9418,1.983,1.9459,1.9743,1.6133,1.5309,1.5871,0.3547,0.0701,0.0608,0.0787,0.0515,0.0935,1.1919,1.2408,1.3033,0.1216,0.0278,0.0149,0.0233,0.0184,0.0371,34.3
KUFNIL,86.08,187.12,2.16,7.64,11.61,30.9,22.1,15,636.9,-4.1037,-3.6867,1.99,2.11,1.87,0.3866,-0.2567,-0.5561,-0.088,1.8882,2.9612,2.1245,3.1207,28.7504,7.3323,8.5075,7.0504,0.7125,0.5113,0.3887,3.1668,1.394,1.3201,1.2935,6.3752,12.4386,4.1385,4.1566,4.1436,9.7996,1.9358,1.9606,1.9663,1.9415,1.9955,1.4525,1.6742,1.5253,0.3836,0.0709,0.0774,0.0822,0.0635,0.0896,1.2991,1.2165,1.3163,0.0928,0.0225,0.0112,0.0228,0.0113,0.0251,34.4
ROKKEI,85.19,212.22,3.33,11.9,9.23,41.5,37.7,27.1,795.98,-2.8557,-1.4386,1.95,2.01,1.91,0.2833,-0.2583,-0.8711,-0.1121,1.8553,2.9397,1.7182,3.171,28.7918,7.2782,8.5607,7.1067,0.6238,0.5557,0.3887,3.1673,1.4164,1.332,1.2593,6.4088,12.5028,4.1799,4.161,4.162,9.8051,1.9358,1.9501,1.9863,1.9704,1.9625,1.6152,1.5119,1.7329,0.4468,0.0944,0.0689,0.1033,0.0872,0.093,1.2304,1.4325,1.2007,0.0944,0.0135,0.0196,0.0288,0.0131,0.0194,41.7
SIVKEQ,77.49,223.36,1.97,7.69,9.73,37.2,27.1,14.8,592.95,-3.6885,-2.9797,2.04,2.11,1.9,0.4089,-0.2446,-0.6333,-0.0285,1.7931,2.9504,2.1121,3.1914,28.7427,7.2831,8.5378,6.9942,0.6929,0.4089,0.389,3.1636,1.3375,1.2346,1.4279,6.3773,12.4058,4.1357,4.1783,4.0918,9.808,1.9303,1.9667,1.9715,1.9561,1.9836,1.5687,1.5201,1.6255,0.4031,0.0837,0.0634,0.1045,0.0571,0.0944,1.186,1.4543,1.1256,0.1175,0.0167,0.0259,0.0238,0.0209,0.0302,34.3
HONXOX,62.16,222.31,1.89,7.28,9.23,51.5,40.1,26.8,631.48,-3.8438,-2.8334,2.14,2.08,3.19,0.5823,-0.216,-0.5517,-0.6461,2.0708,3.0408,1.9524,1.8248,28.7935,7.2924,8.5188,8.5364,0,0.4291,0.389,3.1276,1.2549,1.2769,1.4784,6.2159,12.405,4.1291,4.1364,4.1395,9.7968,1.9558,1.9873,1.9454,1.9771,1.9312,1.6522,1.4703,1.5646,0.333,0.0794,0.056,0.0616,0.0614,0.0746,1.4801,1.6678,1.5422,0.4403,0.0993,0.0952,0.0708,0.0968,0.0783,45.7
XIPWEA,88.93,223.96,2.27,7.39,8.94,38.1,33.3,22.6,611.09,-4.2128,-3.5087,1.86,2.15,1.93,0.4729,-0.1949,-0.5402,-0.0517,2.6928,3.0356,2.153,3.1338,28.9291,7.1805,8.5357,7.0108,0.571,0.7591,0.389,3.1626,1.2553,1.4004,1.2934,6.2446,12.5313,4.1907,4.1933,4.1472,9.7513,1.95,1.9943,1.8738,1.9414,1.9917,1.4662,1.7098,1.4743,0.3915,0.0995,0.0806,0.0591,0.0941,0.0581,1.3958,1.1941,1.2109,0.0918,0.0292,0.011,0.0185,0.0135,0.0195,20.5
AHIMUA,81.59,202.23,2.15,9.06,7.62,35,26.1,18.6,648.3,-4.0124,-2.8555,2.03,2.06,1.89,0.2639,-0.267,-0.111,-0.1034,1.851,2.9867,3.1878,3.1575,28.7557,7.3069,7.1437,7.1339,0.6962,0.4522,0.3891,3.1691,1.4032,1.3614,1.2525,6.4237,12.4905,4.149,4.1894,4.1521,9.8219,1.9342,1.9806,1.9685,1.9458,1.9928,1.2575,1.405,1.2018,0.0935,0.0134,0.0198,0.0254,0.0148,0.02,1.2927,1.2025,1.3624,0.0942,0.0229,0.0111,0.0243,0.0119,0.0241,34.4
EDEGUQ,81.12,203.18,1.77,5.63,9.66,35.2,25.1,14.9,522.53,-3.9627,-3.1014,2.02,2.05,1.89,0.2599,-0.2689,-0.1198,-0.1135,1.8446,2.9693,3.1524,3.1065,28.7495,7.3147,7.1447,7.1213,0.6923,0.4537,0.3893,3.1694,1.4092,1.3417,1.2676,6.4263,12.493,4.1418,4.1885,4.1627,9.8208,1.9395,1.9727,1.9639,1.9439,2.0008,1.2563,1.411,1.2042,0.0922,0.0126,0.0199,0.0253,0.0139,0.0206,1.289,1.2006,1.3757,0.0924,0.0225,0.0101,0.0252,0.0119,0.0228,33.9
DERRAW,94.11,197.19,1.69,7.29,7.86,41.4,30.8,20.3,602.96,-3.2123,-1.5457,1.93,2.04,1.9,0.4618,-0.237,-0.737,-0.5822,2.0633,2.9323,1.9345,2.0587,28.8581,7.2656,8.515,8.432,0.6556,0.6345,0.3894,3.1638,1.42,1.2805,1.2903,6.3445,12.4348,4.083,4.1533,4.1985,9.7589,1.9666,1.9585,1.9117,1.961,1.9612,1.4987,1.6234,1.6764,0.3991,0.0803,0.0948,0.0587,0.0911,0.0742,1.5136,1.4327,1.7279,0.3836,0.0851,0.0775,0.0574,0.0916,0.072,37.9
YINGUY,77.72,222.51,3.2,7.34,10.86,37.3,28.4,17.4,712.7,-3.7023,-2.9637,2.1,2.06,1.9,0.4044,-0.2447,-0.0293,-0.6104,1.7725,2.9567,3.228,2.1146,28.7521,7.2877,7.0239,8.5468,0.6995,0.4195,0.3895,3.1623,1.3662,1.1988,1.4363,6.3795,12.403,4.1523,4.1572,4.0935,9.8132,1.9436,1.9813,1.9765,1.9234,1.9883,1.1918,1.4567,1.1174,0.1161,0.0162,0.0267,0.0267,0.0196,0.0269,1.5419,1.5073,1.6384,0.404,0.095,0.0577,0.0922,0.0711,0.088,34
FASDOS,85.82,183.51,1.52,8.74,8.86,31.9,21.9,13.6,588.69,-3.9025,-3.0218,2,2.04,1.91,0.4816,-0.233,-0.4832,-0.456,1.8486,3.0268,2.061,2.146,28.7373,7.2405,8.4686,8.4461,0.7035,0.4156,0.3896,3.1641,1.3783,1.3382,1.2708,6.3076,12.4011,4.1733,4.1657,4.0621,9.8097,1.9185,1.9783,1.9756,1.9634,1.9738,1.5928,1.5248,1.5048,0.3749,0.0689,0.0589,0.0917,0.0456,0.1098,1.5312,1.584,1.5034,0.3486,0.052,0.0805,0.0819,0.057,0.0772,33
